time,open,high,low,close,volume,ticker
2023-01-05,31760,31760,31760,31760,100,ABT
2023-01-11,31760,33870,31760,33780,300,ABT
2023-01-19,33780,36060,33780,34000,700,ABT
2023-01-31,33950,34000,33950,34000,1000,ABT
2023-02-03,31620,31620,31620,31620,1100,ABT
2023-02-08,32590,33780,32590,33780,300,ABT
2023-02-09,31490,33640,31490,33640,2100,ABT
2023-02-20,33600,33680,33600,33680,200,ABT
2023-02-21,31400,33680,31400,33680,1200,ABT
2023-02-23,33180,33230,33180,33230,200,ABT
2023-02-24,32910,32910,32910,32910,100,ABT
2023-02-27,32910,34000,30620,30620,400,ABT
2023-02-28,32729,32729,30800,32729,600,ABT
2023-03-02,33870,33870,33870,33870,300,ABT
2023-03-03,33780,33820,31670,31670,400,ABT
2023-03-06,30250,33870,30210,33870,2100,ABT
2023-03-07,33500,33500,33500,33500,100,ABT
2023-03-08,33500,33500,33450,33450,500,ABT
2023-03-10,33450,33500,33450,33500,1100,ABT
2023-03-13,33410,34320,33410,33870,1800,ABT
2023-03-14,32080,32080,31540,31540,1000,ABT
2023-03-15,33670,33670,33670,33670,100,ABT
2023-03-16,33670,33670,32420,32420,1200,ABT
2023-03-21,32850,32850,32850,32850,100,ABT
2023-03-24,32850,32850,32850,32850,200,ABT
2023-03-27,30630,31400,30630,31350,400,ABT
2023-03-28,31110,31110,31110,31110,100,ABT
2023-03-29,31010,31010,31010,31010,100,ABT
2023-03-30,31930,31930,31930,31930,100,ABT
2023-03-31,31980,31980,31980,31980,100,ABT
2023-04-04,31930,31930,31930,31930,100,ABT
2023-04-05,31930,31930,31740,31740,800,ABT
2023-04-06,31450,31450,31450,31450,200,ABT
2023-04-12,31160,31930,31160,31930,300,ABT
2023-04-13,32130,32130,32130,32130,300,ABT
2023-04-17,32130,32130,32130,32130,100,ABT
2023-04-18,32130,32130,32130,32130,2500,ABT
2023-04-24,32030,32030,32030,32030,100,ABT
2023-04-26,31160,31160,30670,30670,1000,ABT
2023-04-28,33870,33920,31690,31690,700,ABT
2023-05-04,31690,31690,31690,31690,600,ABT
2023-05-05,31540,31540,31540,31540,100,ABT
2023-05-08,31010,31450,30960,31450,500,ABT
2023-05-09,31880,31930,31880,31930,200,ABT
2023-05-10,31930,32850,31930,32850,1500,ABT
2023-05-15,30770,35130,30770,31160,800,ABT
2023-05-19,30770,30770,30580,30580,500,ABT
2023-05-22,31500,31500,30670,31350,40200,ABT
2023-05-23,29370,29370,29370,29370,2200,ABT
2023-05-24,31110,31250,31110,31250,400,ABT
2023-05-25,30870,30870,30870,30870,100,ABT
2023-05-26,29130,30670,29130,30670,600,ABT
2023-05-29,30630,30670,29170,30670,2100,ABT
2023-05-31,30480,30480,30190,30190,300,ABT
2023-06-05,30190,30380,30190,30380,300,ABT
2023-06-06,30380,30380,30380,30380,200,ABT
2023-06-07,30380,30380,30380,30380,2300,ABT
2023-06-08,30380,30870,30380,30870,300,ABT
2023-06-14,30870,30870,30870,30870,200,ABT
2023-06-15,30000,30770,30000,30770,600,ABT
2023-06-19,30000,30000,30000,30000,1100,ABT
2023-06-20,29800,31160,29800,31160,400,ABT
2023-06-22,29220,29220,29220,29220,1100,ABT
2023-06-23,29320,30920,29320,30920,200,ABT
2023-06-26,30920,30920,30920,30920,300,ABT
2023-06-28,30820,30920,29320,30920,900,ABT
2023-07-03,29460,31060,29460,29560,600,ABT
2023-07-04,30920,30920,30920,30920,100,ABT
2023-07-06,30870,30920,30870,30920,300,ABT
2023-07-07,30920,30920,30920,30920,200,ABT
2023-07-10,30920,30920,30920,30920,100,ABT
2023-07-12,30480,30920,30480,30920,500,ABT
2023-07-13,30960,30960,30960,30960,100,ABT
2023-07-14,30960,31350,30960,31350,1100,ABT
2023-07-17,31450,31790,31450,31540,2900,ABT
2023-07-18,29660,29660,29560,29560,600,ABT
2023-07-19,31450,31540,29900,29900,500,ABT
2023-07-20,30200,31750,29900,31750,500,ABT
2023-07-21,30250,31750,30200,31750,400,ABT
2023-07-25,31750,31950,31750,31950,1300,ABT
2023-07-26,32000,32000,32000,32000,6800,ABT
2023-07-27,32000,32000,32000,32000,100,ABT
2023-07-28,32000,32500,32000,32500,5300,ABT
2023-07-31,32700,34750,32700,34750,500,ABT
2023-08-01,34750,34750,34750,34750,100,ABT
2023-08-02,34500,37150,34500,37150,1900,ABT
2023-08-03,37100,37100,35000,35000,5200,ABT
2023-08-04,36800,36800,36800,36800,200,ABT
2023-08-07,34250,34300,34250,34300,1200,ABT
2023-08-08,34300,36000,34300,36000,200,ABT
2023-08-10,34000,35950,34000,35950,200,ABT
2023-08-14,33650,35900,33650,35900,200,ABT
2023-08-23,35850,35850,35850,35850,100,ABT
2023-08-25,35850,35850,34850,34850,3100,ABT
2023-08-28,34850,34850,34850,34850,100,ABT
2023-08-29,34850,34850,34850,34850,1000,ABT
2023-08-30,34850,34850,34850,34850,100,ABT
2023-09-05,34000,34000,34000,34000,300,ABT
2023-09-06,32049,34000,32000,33950,5300,ABT
2023-09-07,33000,33000,33000,33000,1300,ABT
2023-09-08,33000,33000,30750,33000,4800,ABT
2023-09-11,33000,33000,32000,33000,6200,ABT
2023-09-12,32200,32200,32200,32200,300,ABT
2023-09-13,32200,33800,32200,33800,10000,ABT
2023-09-14,33000,33800,33000,33800,300,ABT
2023-09-15,33800,33800,33500,33500,2500,ABT
2023-09-18,33500,33500,33500,33500,500,ABT
2023-09-20,32299,33450,32299,33450,2200,ABT
2023-09-21,33450,33450,33400,33400,2400,ABT
2023-09-22,31450,33450,31450,33450,1200,ABT
