time,open,high,low,close,volume,ticker
2023-01-03,10040,10610,10040,10610,145100,ACL
2023-01-04,10940,10940,10610,10610,72900,ACL
2023-01-05,10610,10660,10330,10660,67000,ACL
2023-01-06,10660,10940,10470,10700,93200,ACL
2023-01-09,10890,11030,10560,10800,153200,ACL
2023-01-10,10420,10750,10190,10520,58100,ACL
2023-01-11,10520,10800,10520,10750,79200,ACL
2023-01-12,10750,11320,10520,11080,128000,ACL
2023-01-13,11180,11270,10800,11030,85500,ACL
2023-01-16,11130,11220,10560,10800,43100,ACL
2023-01-17,10940,10940,10660,10940,94500,ACL
2023-01-18,10940,11410,10750,11410,161600,ACL
2023-01-19,11080,11510,11080,11410,38900,ACL
2023-01-27,11410,11690,11130,11270,100300,ACL
2023-01-30,11360,11600,11130,11600,120600,ACL
2023-01-31,11130,11650,11130,11460,100200,ACL
2023-02-01,11600,11690,11130,11130,62300,ACL
2023-02-02,11080,11270,10990,11130,62800,ACL
2023-02-03,11220,11220,10850,11030,51100,ACL
2023-02-06,10890,11080,10800,10850,76500,ACL
2023-02-07,10940,11510,10850,10990,122000,ACL
2023-02-08,10990,11220,10660,11130,56400,ACL
2023-02-09,11030,11880,11030,11880,368900,ACL
2023-02-10,12310,12400,11880,12260,165600,ACL
2023-02-13,12260,12260,11410,11410,172700,ACL
2023-02-14,11320,11410,10890,11220,149400,ACL
2023-02-15,11030,11550,10750,11550,107800,ACL
2023-02-16,11790,11790,11410,11550,69100,ACL
2023-02-17,11740,11740,11320,11510,68100,ACL
2023-02-20,11740,11980,11510,11980,135900,ACL
2023-02-21,12350,12400,12070,12260,204000,ACL
2023-02-22,12170,12170,11460,11460,118800,ACL
2023-02-23,11320,11840,10940,11840,176900,ACL
2023-02-24,11600,11930,11180,11930,40700,ACL
2023-02-27,11840,11840,11220,11460,57900,ACL
2023-02-28,11130,11410,11130,11410,68700,ACL
2023-03-01,11410,11600,11180,11600,51000,ACL
2023-03-02,11320,11600,11270,11460,27300,ACL
2023-03-03,11270,11460,11220,11460,36100,ACL
2023-03-06,11320,11510,11270,11270,37200,ACL
2023-03-07,11410,11410,11130,11220,19100,ACL
2023-03-08,11030,11510,11030,11410,36400,ACL
2023-03-09,11410,11600,11360,11600,44300,ACL
2023-03-10,11600,11880,11460,11600,48500,ACL
2023-03-13,11320,11600,11320,11410,14300,ACL
2023-03-14,11690,11690,10990,11130,41400,ACL
2023-03-15,11320,11740,11180,11690,95700,ACL
2023-03-16,11650,11650,11270,11650,45900,ACL
2023-03-17,11880,11880,11460,11690,42200,ACL
2023-03-20,11690,11690,11220,11220,45200,ACL
2023-03-21,11510,11510,11220,11320,21800,ACL
2023-03-22,11410,11410,11410,11410,500,ACL
2023-03-23,11320,11320,11320,11320,2500,ACL
2023-03-24,11460,11510,11220,11510,19700,ACL
2023-03-27,12000,12000,11850,11950,27800,ACL
2023-03-28,12100,12100,12100,12100,4500,ACL
2023-03-29,11900,12050,11600,11650,32600,ACL
2023-03-30,12000,12000,11900,12000,6200,ACL
2023-03-31,11850,11850,11800,11800,300,ACL
2023-04-03,12000,12000,11700,11850,11300,ACL
2023-04-04,11800,12000,11750,12000,54100,ACL
2023-04-05,12200,12200,11850,11900,36800,ACL
2023-04-06,12100,12200,12000,12000,69300,ACL
2023-04-07,11950,11950,11800,11950,6700,ACL
2023-04-07,11950,11950,11850,11850,2700,ACL
2023-04-10,11950,11950,11850,11900,15100,ACL
2023-04-11,11800,12100,11800,12000,33200,ACL
2023-04-12,12050,12050,11800,11850,31000,ACL
2023-04-13,12000,12000,11800,11850,19200,ACL
2023-04-14,11850,12550,11850,12050,84700,ACL
2023-04-17,12000,12200,11900,12000,18400,ACL
2023-04-18,12150,12150,11900,11950,62000,ACL
2023-04-19,12100,12150,12000,12050,50600,ACL
2023-04-20,12000,12100,12000,12000,17200,ACL
2023-04-21,12100,12100,11500,11700,74800,ACL
2023-04-24,11950,11950,11700,11750,15100,ACL
2023-04-25,11850,11850,11700,11700,35500,ACL
2023-04-26,11800,11800,11500,11600,15400,ACL
2023-04-27,11800,11850,11550,11550,56700,ACL
2023-04-28,11550,11800,11550,11650,18900,ACL
2023-05-04,11600,11650,11450,11500,44300,ACL
2023-05-05,11600,11600,11400,11500,24800,ACL
2023-05-08,11550,11550,11300,11350,52100,ACL
2023-05-09,11400,11400,11300,11300,34000,ACL
2023-05-10,11400,11500,11250,11400,70600,ACL
2023-05-11,11550,11650,11300,11450,47400,ACL
