time,open,high,low,close,volume,ticker
2023-01-03,13520,13520,12770,12770,1600,ADP
2023-01-10,13610,13610,12770,12770,2300,ADP
2023-01-11,14920,14920,14920,14920,200,ADP
2023-01-13,14450,16970,14450,16970,3900,ADP
2023-01-16,14450,14450,14450,14450,100,ADP
2023-01-17,16410,16600,16410,16600,600,ADP
2023-01-18,15660,15750,15660,15660,500,ADP
2023-01-19,16500,16500,13890,13890,1400,ADP
2023-01-30,16500,16680,16500,16680,200,ADP
2023-01-31,17150,17150,14270,14270,5900,ADP
2023-02-01,16320,16320,16320,16320,1100,ADP
2023-02-02,15850,16320,15850,16320,200,ADP
2023-02-03,16320,16320,16320,16320,400,ADP
2023-02-07,14640,14640,13990,13990,6700,ADP
2023-02-08,14540,14540,14540,14540,100,ADP
2023-02-09,15950,16129,15950,16129,3300,ADP
2023-02-10,15660,15660,13700,14270,5400,ADP
2023-02-13,14540,16129,14540,16129,2200,ADP
2023-02-14,15750,15750,15750,15750,700,ADP
2023-02-15,15750,15850,15750,15850,3100,ADP
2023-02-16,15850,16129,15850,16129,1100,ADP
2023-02-17,16780,16780,15850,16780,700,ADP
2023-02-20,17250,17250,17150,17150,600,ADP
2023-02-21,17250,17250,17250,17250,1400,ADP
2023-02-23,17250,17250,17250,17250,100,ADP
2023-02-24,17430,17430,17430,17430,100,ADP
2023-02-27,16320,16320,16320,16320,100,ADP
2023-03-01,15850,15850,15850,15850,100,ADP
2023-03-03,16780,16780,13800,15850,5500,ADP
2023-03-06,15850,15850,15850,15850,300,ADP
2023-03-07,18080,18080,18080,18080,100,ADP
2023-03-08,15850,17710,15570,17710,3300,ADP
2023-03-09,17810,18180,17810,18180,2700,ADP
2023-03-10,19580,19580,16320,16320,200,ADP
2023-03-13,16320,20610,16320,20510,2900,ADP
2023-03-14,17170,17170,16980,16980,1200,ADP
2023-03-16,18900,19000,18900,19000,1400,ADP
2023-03-17,21300,21780,16309,16309,5200,ADP
2023-03-21,18230,20150,18230,20150,1200,ADP
2023-03-22,17750,17750,17750,17750,100,ADP
2023-03-23,15930,15930,15930,15930,200,ADP
2023-03-24,17840,17840,17840,17840,100,ADP
2023-03-27,18900,18900,18900,18900,200,ADP
2023-03-29,16309,16309,16309,16309,400,ADP
2023-03-30,18040,18040,18040,18040,200,ADP
2023-04-03,16890,16890,16890,16890,500,ADP
2023-04-05,19090,19090,19090,19090,100,ADP
2023-04-07,19860,19860,19860,19860,500,ADP
2023-04-11,18230,18230,17360,17360,1000,ADP
2023-04-13,18230,18230,18230,18230,100,ADP
2023-04-14,18230,18230,18230,18230,100,ADP
2023-04-17,18420,18420,18420,18420,600,ADP
2023-04-18,18320,18320,18320,18320,100,ADP
2023-04-19,18420,18420,18420,18420,300,ADP
2023-04-20,18520,18520,18520,18520,100,ADP
2023-04-21,18520,18520,18520,18520,400,ADP
2023-04-24,18900,18900,18900,18900,100,ADP
2023-04-25,18900,19090,18900,19090,800,ADP
2023-04-26,19000,19000,19000,19000,100,ADP
2023-05-05,20150,20150,20050,20050,200,ADP
2023-05-08,20050,20050,20050,20050,300,ADP
2023-05-12,19190,19190,18710,18900,1700,ADP
2023-05-15,18900,18900,18900,18900,300,ADP
2023-05-30,21000,21000,19000,19000,600,ADP
2023-05-31,20000,20000,20000,20000,100,ADP
2023-06-01,21000,21000,21000,21000,100,ADP
2023-06-02,20500,20500,20500,20500,500,ADP
2023-06-05,20700,20700,20700,20700,900,ADP
2023-06-06,20700,20700,20700,20700,100,ADP
2023-06-08,20700,20700,20700,20700,100,ADP
2023-06-09,21000,21000,21000,21000,300,ADP
2023-06-12,21200,21200,20000,20000,600,ADP
2023-06-14,21200,21200,21200,21200,600,ADP
2023-06-19,19600,19600,18100,18100,15500,ADP
2023-06-21,19200,19200,18300,18300,9000,ADP
2023-06-22,18500,18500,18300,18300,6900,ADP
2023-06-23,18600,19400,18400,19000,6500,ADP
2023-06-26,18400,18400,18300,18300,3500,ADP
2023-06-27,18500,18500,18500,18500,600,ADP
2023-06-28,18900,18900,18900,18900,200,ADP
2023-06-29,18800,18900,18800,18900,1600,ADP
2023-06-30,18900,19000,18900,19000,1600,ADP
2023-07-03,20100,20100,20000,20000,2800,ADP
2023-07-04,20200,20200,18500,18500,15000,ADP
2023-07-05,18500,18500,18400,18400,3000,ADP
2023-07-06,18500,20100,18400,19900,2500,ADP
2023-07-10,18600,18600,18500,18500,2300,ADP
2023-07-11,19800,19800,18600,19800,18100,ADP
2023-07-12,20000,20000,20000,20000,100,ADP
2023-07-13,20000,20500,19900,20500,7000,ADP
2023-07-27,23000,23000,19700,20700,20200,ADP
2023-07-28,20000,20000,19300,19450,5500,ADP
2023-07-31,19400,20000,19150,19400,5000,ADP
2023-08-01,19250,19450,18400,19450,20300,ADP
2023-08-02,19400,19400,18700,18800,3700,ADP
2023-08-03,18700,18700,18500,18500,5500,ADP
2023-08-04,19300,19350,18700,19300,400,ADP
2023-08-07,20300,20300,19100,19200,6200,ADP
2023-08-08,19300,19500,19200,19500,4000,ADP
2023-08-09,19300,19400,19200,19400,3700,ADP
2023-08-10,18550,19400,18550,19200,700,ADP
2023-08-11,19000,19200,19000,19200,1200,ADP
2023-08-14,19100,19100,18900,18900,600,ADP
2023-08-15,19200,19200,19000,19200,600,ADP
2023-08-16,19200,19300,19000,19200,2000,ADP
2023-08-18,19000,19100,19000,19100,5200,ADP
2023-08-22,19200,19200,19200,19200,200,ADP
2023-08-24,19500,19500,19500,19500,300,ADP
2023-08-25,19500,19500,19000,19000,2300,ADP
2023-08-28,19700,19700,19700,19700,2800,ADP
2023-08-29,19700,20500,19700,20500,6600,ADP
2023-08-30,20600,21000,20000,20800,5900,ADP
2023-08-31,21200,21200,21200,21200,200,ADP
2023-09-06,21100,21100,21100,21100,100,ADP
2023-09-07,21100,21100,21000,21000,400,ADP
2023-09-11,20000,20000,20000,20000,200,ADP
2023-09-13,20500,20500,20500,20500,400,ADP
2023-09-18,20000,20000,20000,20000,100,ADP
2023-09-21,19500,19500,19200,19200,700,ADP
2023-09-22,19200,19200,19200,19200,300,ADP
2023-09-25,18500,18500,18500,18500,500,ADP
2023-09-26,18500,19000,18500,19000,600,ADP
2023-09-27,18000,18000,18000,18000,600,ADP
2023-10-02,18050,18050,18050,18050,100,ADP
2023-10-04,19300,19300,19300,19300,100,ADP
2023-10-06,20000,20000,19600,19600,1400,ADP
2023-10-09,20000,20000,20000,20000,1100,ADP
2023-10-10,19950,19950,18600,18600,7500,ADP
2023-10-11,18000,19900,18000,19900,5800,ADP
2023-10-12,18550,19000,18550,18800,800,ADP
2023-10-13,18800,20000,18800,20000,2200,ADP
