time,open,high,low,close,volume,ticker
2023-01-03,12300,12500,12000,12200,38400,AFX
2023-01-04,12500,12500,12000,12200,39400,AFX
2023-01-05,12500,12500,11900,12100,533100,AFX
2023-01-06,12300,12300,11900,11900,18800,AFX
2023-01-09,11900,12200,11800,11900,63600,AFX
2023-01-10,12200,12200,11200,11400,1189400,AFX
2023-01-11,12200,12200,11400,11600,423000,AFX
2023-01-12,11800,11800,11500,11600,1232900,AFX
2023-01-13,11800,11800,11500,11600,840500,AFX
2023-01-16,12000,12000,11200,11600,43100,AFX
2023-01-17,11800,11800,10800,11000,224700,AFX
2023-01-18,11000,11300,10000,10900,204600,AFX
2023-01-19,11000,11200,10800,11000,41900,AFX
2023-01-27,11200,11800,11000,11300,55700,AFX
2023-01-30,11400,11400,10900,11100,19200,AFX
2023-01-31,10500,11300,10500,11100,18200,AFX
2023-02-01,11200,11200,10400,10900,51400,AFX
2023-02-02,10900,11000,10300,10800,28400,AFX
2023-02-03,10900,10900,10500,10700,15500,AFX
2023-02-06,11200,11200,10600,10700,30900,AFX
2023-02-07,10800,10800,10300,10400,528500,AFX
2023-02-08,10600,10800,10000,10800,107700,AFX
2023-02-09,10800,10800,10400,10500,65000,AFX
2023-02-10,10800,10800,10400,10600,62600,AFX
2023-02-13,10800,10800,10400,10500,54200,AFX
2023-02-14,10700,10700,10200,10500,50100,AFX
2023-02-15,10600,10600,10000,10300,85500,AFX
2023-02-16,10400,10400,10000,10300,16100,AFX
2023-02-17,10400,10400,10200,10300,9400,AFX
2023-02-20,10800,10800,10000,10200,96500,AFX
2023-02-21,10600,10600,10000,10200,78800,AFX
2023-02-22,10400,10400,10000,10100,55000,AFX
2023-02-23,10300,10300,9800,10000,64500,AFX
2023-02-24,10200,11000,9900,10300,118900,AFX
2023-02-27,10500,10600,10300,10400,28700,AFX
2023-02-28,10400,10500,10000,10400,87000,AFX
2023-03-01,10400,10700,10000,10300,82300,AFX
2023-03-02,10800,10800,10000,10200,37700,AFX
2023-03-03,10500,10500,10000,10200,85700,AFX
2023-03-06,10400,10400,10000,10000,72800,AFX
2023-03-07,10300,10300,9900,10100,69200,AFX
2023-03-08,10400,10400,9900,10200,157600,AFX
2023-03-09,10200,10200,9800,9900,312900,AFX
2023-03-10,10200,10700,9800,10600,1306600,AFX
2023-03-13,10500,10600,10200,10400,176400,AFX
2023-03-14,10400,10400,10000,10100,112100,AFX
2023-03-15,10300,10300,9800,10200,222900,AFX
2023-03-16,10200,10200,9700,10000,124900,AFX
2023-03-17,10000,10300,9900,9900,355800,AFX
2023-03-20,10100,10200,9900,10000,61800,AFX
2023-03-21,10100,10100,9700,9900,120900,AFX
2023-03-22,10000,10000,10000,10000,2800,AFX
2023-03-23,10000,10000,9800,9900,17300,AFX
2023-03-24,10000,10000,9900,9900,2600,AFX
2023-03-27,9900,10100,9800,9800,279800,AFX
2023-03-28,10000,10000,9900,10000,4500,AFX
2023-03-29,9900,9900,9700,9700,30100,AFX
2023-03-30,9900,9900,9800,9900,8200,AFX
2023-03-31,9800,9800,9400,9500,138200,AFX
2023-04-03,9700,9700,9600,9600,14900,AFX
2023-04-04,9600,10200,9600,9700,439000,AFX
2023-04-05,10000,10000,9600,9600,87300,AFX
2023-04-06,9700,9800,9400,9400,162900,AFX
2023-04-07,9500,9500,9400,9400,22800,AFX
2023-04-07,9500,9700,9500,9500,23300,AFX
2023-04-10,9600,9600,9300,9500,110400,AFX
2023-04-11,9600,9600,9400,9500,34000,AFX
2023-04-12,9700,9700,9200,9500,473700,AFX
2023-04-13,9500,9600,9100,9200,155400,AFX
2023-04-14,9400,9600,8900,8900,417300,AFX
2023-04-17,9300,9300,8800,9300,151900,AFX
2023-04-18,9300,9300,8800,8900,45300,AFX
2023-04-19,9500,9500,8800,8800,460800,AFX
2023-04-20,9300,9300,8800,9000,107000,AFX
2023-04-21,9000,9000,8700,8700,78300,AFX
2023-04-24,8900,9300,8900,9000,389900,AFX
2023-04-25,9300,9300,8900,9100,190800,AFX
2023-04-26,9200,9200,9000,9000,54400,AFX
2023-04-27,9200,9700,9100,9500,643400,AFX
2023-04-28,9800,9800,9400,9400,240800,AFX
2023-05-04,9200,9400,8500,8800,298800,AFX
2023-05-05,8900,9000,8800,8900,4400,AFX
2023-05-08,9000,9200,8900,9000,79200,AFX
2023-05-09,9000,9000,8800,8900,32400,AFX
2023-05-10,9000,9000,8700,8700,72900,AFX
2023-05-11,8900,8900,8600,8800,43200,AFX
2023-05-12,8800,9000,8800,8800,117000,AFX
2023-05-15,8900,9000,8800,8800,52100,AFX
2023-05-16,8800,8800,8800,8800,31500,AFX
2023-05-17,8700,8900,8700,8800,90500,AFX
2023-05-18,8900,8900,8900,8900,200,AFX
2023-05-19,8900,9000,8900,9000,13600,AFX
2023-05-22,8900,8900,8900,8900,300,AFX
2023-05-23,8800,8900,8700,8800,36100,AFX
2023-05-24,8800,8900,8600,8700,46400,AFX
2023-05-25,8800,8900,8700,8700,28000,AFX
2023-05-26,8900,8900,8700,8800,72300,AFX
2023-05-29,8900,9200,8900,9100,204000,AFX
2023-05-30,9100,9100,8900,9100,160500,AFX
2023-05-31,9100,9700,9000,9700,354200,AFX
2023-06-01,9700,10200,9500,9600,139300,AFX
2023-06-02,9800,9800,9200,9400,132500,AFX
2023-06-05,9400,9700,9100,9200,96300,AFX
2023-06-06,9300,9400,9200,9400,114900,AFX
2023-06-07,9500,9500,9200,9300,86500,AFX
2023-06-08,9400,9500,9100,9300,196000,AFX
2023-06-09,9300,9800,9200,9500,307400,AFX
2023-06-12,9800,10100,9800,9800,540200,AFX
2023-06-13,10100,10100,9700,9800,476900,AFX
2023-06-14,9800,9800,9500,9500,196200,AFX
2023-06-15,9700,9700,9300,9500,285800,AFX
2023-06-16,9300,9600,9300,9500,499900,AFX
2023-06-19,9600,9600,9300,9500,169600,AFX
2023-06-20,9400,9400,9200,9300,146900,AFX
2023-06-21,9300,9400,9100,9300,227200,AFX
2023-06-22,9400,9600,9200,9300,185500,AFX
2023-06-23,9400,9500,9300,9400,134700,AFX
2023-06-26,9400,9500,9200,9200,166800,AFX
2023-06-27,9300,9500,9100,9300,202100,AFX
2023-06-28,9400,10300,9400,10000,1855100,AFX
2023-06-29,10200,10500,9700,10200,593700,AFX
2023-06-30,10200,10500,9900,10000,363800,AFX
2023-07-03,10200,10200,9900,10000,243200,AFX
2023-07-04,10100,10700,10000,10500,450600,AFX
2023-07-05,10400,10600,10300,10400,271600,AFX
2023-07-06,10400,10500,10100,10300,218100,AFX
2023-07-07,10400,10400,10100,10200,196200,AFX
2023-07-10,10400,10400,10200,10300,157800,AFX
2023-07-11,10400,10800,10300,10600,348600,AFX
2023-07-12,10600,10800,10500,10700,163100,AFX
2023-07-13,10700,10800,10600,10700,123800,AFX
2023-07-14,10800,10900,10700,10900,232800,AFX
2023-07-17,11000,12300,11000,12200,380800,AFX
2023-07-18,12200,12700,12200,12200,352200,AFX
2023-07-19,12500,12500,12000,12300,347800,AFX
2023-07-20,12300,12900,12300,12500,205200,AFX
2023-07-21,12600,12700,12300,12500,327400,AFX
2023-07-24,12600,14000,12600,13300,641700,AFX
2023-07-25,13600,13900,13400,13500,912100,AFX
2023-07-26,13600,13600,13100,13500,383400,AFX
2023-07-27,13500,13800,13100,13300,362400,AFX
2023-07-28,13400,13500,12500,12700,817400,AFX
2023-07-31,13000,13900,13000,13400,560900,AFX
2023-08-01,13500,13500,12700,12800,406100,AFX
2023-08-02,12900,12900,12600,12800,609700,AFX
2023-08-03,12700,13500,12700,13000,537700,AFX
2023-08-04,13100,13400,12700,12900,536700,AFX
2023-08-07,13000,13400,13000,13300,1676800,AFX
2023-08-08,13500,13800,13300,13800,1094200,AFX
2023-08-09,13800,15500,13800,15100,1741000,AFX
2023-08-10,15100,16000,14100,14300,864100,AFX
2023-08-11,14600,14600,13200,14000,806300,AFX
2023-08-14,13800,14500,13600,13900,531900,AFX
2023-08-15,13900,14100,13500,13900,710200,AFX
2023-08-16,14000,14400,13600,13800,269900,AFX
2023-08-17,13600,13700,13100,13200,667900,AFX
2023-08-18,13100,13300,11700,12100,743700,AFX
2023-08-21,12000,12500,11700,12100,293600,AFX
2023-08-22,12200,12300,11400,12100,266600,AFX
