time,open,high,low,close,volume,ticker
2023-01-05,39020,39020,39020,39020,100,AGX
2023-01-13,38050,38050,38050,38050,200,AGX
2023-01-27,35650,35650,35650,35650,1100,AGX
2023-01-30,33720,33720,33720,33720,400,AGX
2023-01-31,33720,33720,32759,33720,5900,AGX
2023-02-01,32759,34680,32759,34680,3100,AGX
2023-02-02,33720,37770,33720,33720,270600,AGX
2023-02-03,33720,37770,33720,37770,89300,AGX
2023-02-07,29870,38050,29870,38050,600,AGX
2023-02-08,32560,32560,32560,32560,100,AGX
2023-02-10,33720,37380,33720,37380,4600,AGX
2023-02-13,33910,33910,33910,33910,500,AGX
2023-02-21,38630,38630,38630,38630,100,AGX
2023-02-23,37770,37770,37770,37770,100,AGX
2023-03-10,38730,38730,38730,38730,100,AGX
2023-03-28,37770,37770,37770,37770,900,AGX
2023-03-31,37770,37770,37770,37770,1700,AGX
2023-04-03,42290,42290,42290,42290,100,AGX
2023-04-05,36030,36030,36030,36030,500,AGX
2023-04-06,41520,41520,41520,41520,100,AGX
2023-04-07,36420,36420,36420,36420,100,AGX
2023-04-10,39500,39500,38540,38540,1300,AGX
2023-04-20,39500,39500,39500,39500,100,AGX
2023-04-21,39500,39500,39500,39500,1200,AGX
2023-04-27,39500,39500,39500,39500,100,AGX
2023-05-15,39500,39500,39500,39500,200,AGX
2023-05-16,36100,36100,36100,36100,2300,AGX
2023-05-18,40000,40000,40000,40000,300,AGX
2023-05-26,40000,40000,40000,40000,100,AGX
2023-06-01,40000,40000,40000,40000,100,AGX
2023-06-02,40000,40000,40000,40000,1700,AGX
2023-06-05,40000,40000,40000,40000,3300,AGX
2023-06-08,38600,38600,38600,38600,100,AGX
2023-06-12,39000,39000,39000,39000,200,AGX
2023-06-13,39000,39000,39000,39000,200,AGX
2023-06-14,39000,39000,39000,39000,200,AGX
2023-06-22,40000,40000,40000,40000,100,AGX
2023-06-26,38500,38500,38500,38500,100,AGX
2023-06-29,38600,38600,38600,38600,100,AGX
2023-07-10,38600,38600,38600,38600,600,AGX
2023-07-11,38000,38000,37000,37000,16900,AGX
2023-07-13,37500,37500,37500,37500,300,AGX
2023-07-14,38000,38000,38000,38000,100,AGX
2023-07-19,38000,38000,38000,38000,300,AGX
2023-07-20,37000,37000,37000,37000,100,AGX
2023-07-28,35100,35100,35100,35100,2600,AGX
2023-08-02,37000,37000,37000,37000,100,AGX
2023-08-04,40000,40000,40000,40000,200,AGX
2023-08-09,40000,40000,40000,40000,700,AGX
2023-08-10,40000,40000,40000,40000,800,AGX
2023-08-15,37000,37000,37000,37000,100,AGX
2023-08-21,37000,37000,37000,37000,100,AGX
2023-08-22,37000,37000,37000,37000,100,AGX
2023-08-29,42000,42500,42000,42500,1200,AGX
2023-08-31,40000,47000,38000,38000,500,AGX
2023-09-18,40600,40600,40600,40600,400,AGX
2023-10-04,38000,38000,38000,38000,100,AGX
2023-10-09,38000,38000,38000,38000,900,AGX
