time,open,high,low,close,volume,ticker
2023-01-03,8700,8700,8700,8700,100,AIC
2023-01-04,8700,8700,8700,8700,100,AIC
2023-01-05,8700,8700,8700,8700,3100,AIC
2023-01-06,9800,9800,9400,9400,6500,AIC
2023-01-09,9400,9400,8000,9400,19400,AIC
2023-01-10,9700,9700,8600,8700,2900,AIC
2023-01-11,8800,8800,8500,8500,1300,AIC
2023-01-12,9500,9500,9500,9500,100,AIC
2023-01-16,9400,9500,9400,9500,5700,AIC
2023-01-17,9700,9700,9600,9600,600,AIC
2023-01-18,9600,9600,9600,9600,2800,AIC
2023-01-27,9600,9900,9600,9900,3100,AIC
2023-01-30,9700,9700,9700,9700,5600,AIC
2023-01-31,9900,9900,9700,9800,4500,AIC
2023-02-01,9800,9800,9800,9800,2700,AIC
2023-02-02,10300,10300,9000,9900,2800,AIC
2023-02-03,9700,10200,9700,9900,2500,AIC
2023-02-06,10000,10200,10000,10200,2300,AIC
2023-02-07,10200,10600,10200,10600,13200,AIC
2023-02-08,10600,11200,10600,11200,8000,AIC
2023-02-09,11500,12400,11500,12400,17900,AIC
2023-02-10,13200,13200,12100,12600,8500,AIC
2023-02-13,12300,12500,11500,12400,3200,AIC
2023-02-14,11700,12000,11700,12000,1600,AIC
2023-02-15,11500,12000,11500,12000,2400,AIC
2023-02-16,11600,12000,11600,11600,2800,AIC
2023-02-17,10500,11800,10500,11600,17800,AIC
2023-02-20,10800,10900,10800,10900,3500,AIC
2023-02-21,11600,11600,11600,11600,500,AIC
2023-02-22,10200,11300,10100,10100,9400,AIC
2023-02-23,10200,10200,10000,10000,9700,AIC
2023-02-24,11500,11500,11500,11500,49600,AIC
2023-02-27,13200,13200,13200,13200,10800,AIC
2023-02-28,15100,15100,13500,13900,25700,AIC
2023-03-01,16000,16000,12300,12700,5900,AIC
2023-03-02,13800,14000,12800,12900,6300,AIC
2023-03-03,14200,14200,12000,12100,18000,AIC
2023-03-06,12500,12500,11100,11100,8600,AIC
2023-03-07,12000,12000,11500,11500,1900,AIC
2023-03-08,11600,11800,10700,11800,1600,AIC
2023-03-09,10800,11900,10800,11000,3800,AIC
2023-03-10,11000,11800,11000,11700,3000,AIC
