time,open,high,low,close,volume,ticker
2023-01-03,13440,14000,13350,13440,3300,ALT
2023-01-06,14560,14560,14560,14560,100,ALT
2023-01-09,13250,15870,13160,15870,5900,ALT
2023-01-12,14280,14280,14280,14280,100,ALT
2023-01-16,14280,14280,13160,13160,1300,ALT
2023-01-17,13160,13160,13160,13160,800,ALT
2023-01-19,13160,13160,13160,13160,200,ALT
2023-01-27,13530,13530,13530,13530,2200,ALT
2023-01-31,12320,14190,12320,13910,800,ALT
2023-02-07,13160,13160,13160,13160,600,ALT
2023-02-08,13160,13160,13160,13160,3800,ALT
2023-02-09,13160,13530,13160,13530,7600,ALT
2023-02-10,13250,13250,13250,13250,100,ALT
2023-02-13,13160,13160,13160,13160,2500,ALT
2023-02-16,14280,14280,14280,14280,100,ALT
2023-02-22,12880,13720,12880,13720,600,ALT
2023-02-27,12690,13630,12690,13630,600,ALT
2023-02-28,12410,14840,12410,14840,1700,ALT
2023-03-02,13440,14840,13440,13440,3700,ALT
2023-03-03,12690,14750,12690,14750,200,ALT
2023-03-07,13350,14650,13350,13350,1200,ALT
2023-03-23,12320,12320,12320,12320,200,ALT
2023-03-24,13440,13440,13440,13440,100,ALT
2023-03-27,14650,14650,14650,14650,100,ALT
2023-03-28,13350,13350,13350,13350,2000,ALT
2023-03-30,14090,14090,14090,14090,100,ALT
2023-04-10,13070,13910,12790,13910,1400,ALT
2023-04-12,12790,13910,12690,13910,1200,ALT
2023-04-13,12690,14090,12600,14000,2400,ALT
2023-04-14,12600,12600,12600,12600,14000,ALT
2023-04-17,12600,12600,12600,12600,2700,ALT
2023-04-18,12600,12600,12600,12600,700,ALT
2023-04-19,11950,11950,11950,11950,100,ALT
2023-04-20,11950,11950,11950,11950,100,ALT
2023-04-25,12510,12510,12510,12510,100,ALT
2023-04-26,13720,13720,13630,13630,1500,ALT
2023-04-27,12600,12600,12600,12600,1000,ALT
2023-05-11,12690,12690,12690,12690,600,ALT
2023-05-12,12600,12600,12600,12600,9000,ALT
2023-05-15,12510,13530,12320,13530,9600,ALT
2023-05-17,12600,12600,12320,12320,3500,ALT
2023-05-19,11850,11850,11850,11850,500,ALT
2023-05-23,11760,12970,11760,12970,900,ALT
2023-05-24,11760,14000,11760,14000,1200,ALT
2023-05-25,12690,12690,12690,12690,100,ALT
2023-05-26,12600,12600,12600,12600,400,ALT
2023-05-29,12130,12130,12130,12130,100,ALT
2023-05-30,12320,12320,12320,12320,100,ALT
2023-05-31,12600,13440,12600,13440,300,ALT
2023-06-05,13070,14560,12230,14560,1800,ALT
2023-06-06,14000,14000,14000,14000,200,ALT
2023-06-07,14000,14000,13910,13910,200,ALT
2023-06-08,12970,12970,12970,12970,1700,ALT
2023-06-09,12970,12970,12970,12970,100,ALT
2023-06-15,13440,13440,12790,12790,2100,ALT
2023-06-16,11760,12790,11760,12790,600,ALT
2023-06-19,12790,13070,12790,13070,200,ALT
2023-06-20,13440,13440,13440,13440,100,ALT
2023-06-21,12880,12880,12880,12880,100,ALT
2023-06-22,12880,12880,12880,12880,600,ALT
2023-06-23,12790,13530,12790,13530,500,ALT
2023-06-26,13070,13070,13070,13070,1000,ALT
2023-06-27,12880,12880,12880,12880,1000,ALT
2023-06-28,13070,13070,12880,12880,500,ALT
2023-06-29,12880,13530,12880,13530,200,ALT
2023-06-30,12600,13350,12230,13350,17300,ALT
2023-07-03,12230,13350,12130,13350,5600,ALT
2023-07-04,12230,13250,12230,12320,3600,ALT
2023-07-05,12690,12690,12690,12690,100,ALT
2023-07-06,12410,12410,12410,12410,100,ALT
2023-07-07,12040,12320,11760,12320,1600,ALT
2023-07-10,11760,12320,11760,12320,1200,ALT
2023-07-11,12510,12510,12510,12510,100,ALT
2023-07-12,12510,12880,12510,12880,4600,ALT
2023-07-14,12970,12970,12130,12690,2900,ALT
2023-07-17,12600,12690,12320,12690,5000,ALT
2023-07-18,11950,12410,11950,12410,500,ALT
2023-07-19,12320,12320,12320,12320,2000,ALT
2023-07-20,12410,12410,12410,12410,100,ALT
2023-07-21,12790,12790,12790,12790,1100,ALT
2023-07-24,11950,11950,11950,11950,5100,ALT
2023-07-25,11950,12600,11950,12600,900,ALT
2023-07-26,11950,12510,11480,12510,20100,ALT
2023-07-27,11950,12410,11950,12410,12900,ALT
2023-07-28,11950,12230,11950,12230,500,ALT
2023-07-31,12230,12230,11850,12040,7300,ALT
2023-08-01,12130,12320,11950,12320,30100,ALT
2023-08-02,12230,13070,12230,13070,4500,ALT
2023-08-03,12040,12600,11950,12600,1100,ALT
2023-08-04,12600,12880,12410,12880,6300,ALT
2023-08-07,12880,14090,12880,14090,7000,ALT
2023-08-08,14470,14930,12880,14930,23400,ALT
2023-08-09,14750,14930,13810,14650,74500,ALT
2023-08-10,13810,14650,13350,14560,24600,ALT
2023-08-11,14560,14560,13160,13160,46500,ALT
2023-08-14,13160,14190,13070,14000,19400,ALT
2023-08-15,13070,14000,12970,13250,58900,ALT
2023-08-16,13070,13070,12690,12970,17100,ALT
2023-08-17,12970,12970,12690,12690,2000,ALT
2023-08-18,12600,12600,12040,12040,30100,ALT
2023-08-21,12040,12410,11950,12320,9800,ALT
2023-08-22,12690,12690,12320,12320,3900,ALT
2023-08-23,12600,12600,12600,12600,100,ALT
2023-08-24,12600,12690,12600,12690,1400,ALT
2023-08-25,12690,12790,12690,12790,3800,ALT
2023-08-28,12790,13440,12790,13440,6100,ALT
2023-08-29,13440,13440,12970,12970,1100,ALT
2023-08-30,12970,13250,12970,13160,2900,ALT
2023-08-31,13440,13440,13250,13350,4100,ALT
2023-09-05,13350,14000,13350,13910,13200,ALT
2023-09-06,13440,14000,13440,13530,8800,ALT
2023-09-07,13070,13530,13070,13530,16800,ALT
2023-09-08,13720,13810,13720,13720,6900,ALT
2023-09-11,13810,13910,13810,13910,6500,ALT
2023-09-12,13910,14000,13910,14000,14800,ALT
2023-09-13,14000,14000,14000,14000,14400,ALT
2023-09-14,14000,14000,13810,14000,4200,ALT
2023-09-15,13810,13810,13810,13810,100,ALT
2023-09-18,13910,13910,13810,13810,700,ALT
2023-09-19,13810,14190,13810,14000,15500,ALT
2023-09-20,14900,14900,14000,14000,1600,ALT
2023-09-21,13800,14000,13100,14000,5000,ALT
2023-09-22,13100,13900,13100,13900,400,ALT
2023-09-25,13000,13500,13000,13500,3600,ALT
2023-09-26,13100,13300,12900,13300,12100,ALT
2023-09-27,13300,13500,13300,13500,200,ALT
2023-09-28,13200,13500,13000,13500,2100,ALT
2023-09-29,14800,14800,14800,14800,200,ALT
2023-10-02,13400,13400,13400,13400,100,ALT
