time,open,high,low,close,volume,ticker
2023-01-03,3000,3200,2900,3200,27900,ALV
2023-01-04,3200,3200,3200,3200,200,ALV
2023-01-05,3200,3200,3000,3000,14000,ALV
2023-01-06,3000,3000,3000,3000,300,ALV
2023-01-09,3000,3000,3000,3000,11900,ALV
2023-01-10,3000,3000,3000,3000,700,ALV
2023-01-11,3100,3400,3100,3400,48500,ALV
2023-01-12,3900,3900,3900,3900,4100,ALV
2023-01-13,4400,4400,4400,4400,33400,ALV
2023-01-16,4400,5000,4400,5000,55300,ALV
2023-01-17,5000,5500,4300,4800,22200,ALV
2023-01-18,5100,5100,4600,4800,9800,ALV
2023-01-19,4800,4800,4700,4800,10300,ALV
2023-01-27,4500,5100,4200,4300,20600,ALV
2023-01-30,4200,4200,4000,4000,5300,ALV
2023-01-31,4000,4000,3700,3900,2300,ALV
2023-02-01,3800,4200,3800,3800,3700,ALV
2023-02-02,4100,4100,3600,3600,8500,ALV
2023-02-03,3700,3900,3700,3900,2800,ALV
2023-02-06,3900,3900,3400,3500,23200,ALV
2023-02-07,3700,3800,3700,3700,16500,ALV
2023-02-08,3800,3800,3400,3600,7700,ALV
2023-02-09,3500,3600,3400,3500,6200,ALV
2023-02-10,3900,3900,3600,3600,1800,ALV
2023-02-13,4000,4000,3600,3600,2300,ALV
2023-02-14,3400,3700,3400,3600,5300,ALV
2023-02-15,3700,3800,3700,3700,1400,ALV
2023-02-16,3800,3900,3700,3700,300,ALV
2023-02-17,3400,3700,3400,3400,7300,ALV
2023-02-20,3400,3900,3400,3900,46000,ALV
2023-02-21,4000,4000,3800,3800,5500,ALV
2023-02-22,3800,3800,3500,3800,11900,ALV
2023-02-23,3800,3800,3500,3500,11400,ALV
2023-02-24,3600,3600,3600,3600,4400,ALV
2023-02-27,4000,4000,3200,3500,4800,ALV
2023-02-28,3500,3700,3400,3700,10500,ALV
2023-03-01,3700,3700,3700,3700,5800,ALV
2023-03-02,3700,3800,3700,3800,22900,ALV
2023-03-03,4100,4100,3800,3800,22500,ALV
2023-03-06,4000,4100,4000,4000,23100,ALV
2023-03-07,4000,4100,4000,4100,3100,ALV
2023-03-08,4000,4000,4000,4000,800,ALV
2023-03-09,4000,4100,4000,4000,15200,ALV
2023-03-10,4000,4100,3800,4100,12600,ALV
2023-03-13,3700,3800,3700,3800,12700,ALV
2023-03-14,3700,3700,3700,3700,7700,ALV
2023-03-15,4000,4000,3700,3700,3800,ALV
2023-03-16,3800,3800,3700,3800,6500,ALV
2023-03-17,4000,4000,3800,3800,2700,ALV
2023-03-20,3900,4000,3900,4000,3700,ALV
2023-03-21,3700,4000,3700,4000,1800,ALV
2023-03-22,4000,4000,4000,4000,9300,ALV
2023-03-23,4000,4000,4000,4000,9000,ALV
2023-03-24,4000,4000,4000,4000,1000,ALV
2023-03-27,4000,4000,4000,4000,5000,ALV
2023-03-28,4100,4100,4100,4100,1700,ALV
2023-03-29,3900,4100,3900,4100,3600,ALV
2023-03-30,3800,3800,3800,3800,100,ALV
2023-03-31,3700,3700,3700,3700,100,ALV
2023-04-03,3500,3500,3500,3500,400,ALV
2023-04-04,3900,4200,3900,4200,2300,ALV
