time,open,high,low,close,volume,ticker
2023-01-03,6200,6200,5900,6000,49900,AMS
2023-01-04,6100,6200,6000,6200,34100,AMS
2023-01-05,6100,6300,6100,6200,29500,AMS
2023-01-06,6200,6200,6100,6200,8800,AMS
2023-01-09,6200,6200,6100,6100,14500,AMS
2023-01-10,6100,6300,6100,6100,26300,AMS
2023-01-11,6200,6300,6000,6300,30000,AMS
2023-01-12,6200,6200,6000,6100,5900,AMS
2023-01-13,6200,6200,6000,6100,3700,AMS
2023-01-16,6200,6200,5900,6200,16200,AMS
2023-01-17,6200,6300,6000,6200,41500,AMS
2023-01-18,5900,6300,5900,6200,55800,AMS
2023-01-19,6200,6800,6200,6800,19500,AMS
2023-01-27,6700,6700,6400,6400,13300,AMS
2023-01-30,6400,6600,6400,6600,54800,AMS
2023-01-31,6700,7400,6600,7400,202900,AMS
2023-02-01,7500,7800,7300,7700,141100,AMS
2023-02-02,7600,7600,7000,7400,84800,AMS
2023-02-03,7100,7300,6700,7000,149600,AMS
2023-02-06,7000,7100,6900,7100,15200,AMS
2023-02-07,7100,7300,6900,7300,96300,AMS
2023-02-08,7000,7300,7000,7300,38500,AMS
2023-02-09,7100,7300,7100,7300,14400,AMS
2023-02-10,7000,7700,7000,7700,96800,AMS
2023-02-13,7400,7400,7200,7400,23900,AMS
2023-02-14,7400,8000,7200,8000,168100,AMS
2023-02-15,7700,7900,7500,7900,122700,AMS
2023-02-16,7900,7900,7700,7900,31300,AMS
2023-02-17,7700,7800,7500,7800,80200,AMS
2023-02-20,7700,8600,7500,8600,177700,AMS
2023-02-21,8000,8400,7900,8300,167400,AMS
2023-02-22,8000,8200,7700,8100,97800,AMS
2023-02-23,7900,8000,7600,8000,28800,AMS
2023-02-24,7700,7700,7600,7600,22000,AMS
2023-02-27,7500,7700,7400,7700,19100,AMS
2023-02-28,7600,7600,7500,7500,5300,AMS
2023-03-01,7600,8200,7500,8200,251000,AMS
2023-03-02,8000,8200,7800,8200,20700,AMS
2023-03-03,8100,8100,7900,8000,34700,AMS
2023-03-06,7900,8500,7900,8500,262300,AMS
2023-03-07,8300,8300,8200,8300,20600,AMS
2023-03-08,8300,9400,8100,9400,701900,AMS
2023-03-09,9900,10300,9900,10300,409100,AMS
2023-03-10,11100,11500,10000,11500,718500,AMS
2023-03-13,10900,11500,10600,11200,304100,AMS
2023-03-14,11000,11000,10200,10900,371400,AMS
2023-03-15,10700,11400,10700,11200,336000,AMS
2023-03-16,11000,11000,10300,10500,145600,AMS
2023-03-17,10300,10900,10200,10600,233700,AMS
2023-03-20,10400,10500,9500,10100,249500,AMS
2023-03-21,10100,10400,9700,10300,161600,AMS
2023-03-22,10200,10500,10000,10300,74000,AMS
2023-03-23,10000,10400,10000,10100,18700,AMS
2023-03-24,10000,11000,9900,10700,389000,AMS
2023-03-27,10700,11500,10700,11400,225100,AMS
2023-03-28,11400,11600,10900,11000,102700,AMS
2023-03-29,11000,11500,10800,11100,392200,AMS
2023-03-30,11400,11400,11400,11400,16000,AMS
2023-03-31,10900,10900,10600,10800,76800,AMS
2023-04-03,10600,11200,10600,10800,114000,AMS
2023-04-04,11000,11200,10700,10700,59300,AMS
2023-04-05,10900,11300,10400,10800,581400,AMS
2023-04-06,11100,11200,10700,10700,236800,AMS
2023-04-07,10700,10800,10500,10500,53900,AMS
2023-04-07,10700,10900,10700,10700,3400,AMS
2023-04-10,10600,11000,10500,10600,330600,AMS
2023-04-11,10500,10600,10400,10600,60300,AMS
2023-04-12,10500,11000,10500,10600,397400,AMS
2023-04-13,10700,10700,10600,10700,10400,AMS
2023-04-14,10600,10700,10600,10700,13600,AMS
2023-04-17,10400,10400,10000,10100,51300,AMS
2023-04-18,10100,10100,9800,9800,63700,AMS
2023-04-19,9900,10300,9900,9900,136700,AMS
2023-04-20,10100,10300,9900,10100,98500,AMS
2023-04-21,10100,10700,10000,10200,330300,AMS
2023-04-24,10400,10500,10200,10200,42400,AMS
2023-04-25,10100,10300,9800,9900,72700,AMS
2023-04-26,10000,10200,9600,9800,59300,AMS
2023-04-27,9200,10300,9200,9900,186800,AMS
2023-04-28,9500,9500,9500,9500,500,AMS
2023-05-04,9900,9900,9500,9600,39400,AMS
2023-05-05,9600,9800,9600,9600,23200,AMS
2023-05-08,9600,9900,9500,9700,65500,AMS
2023-05-09,9800,9800,9700,9700,9600,AMS
2023-05-10,9800,10000,9500,9700,148300,AMS
2023-05-11,9900,10700,9800,10600,723000,AMS
2023-05-12,10500,10900,10500,10700,183000,AMS
2023-05-15,11000,11400,10500,10600,319700,AMS
2023-05-16,10300,10800,10100,10100,317800,AMS
2023-05-17,10400,10500,10200,10200,296800,AMS
2023-05-18,10600,10600,10200,10600,207400,AMS
2023-05-19,10900,10900,10300,10300,135400,AMS
2023-05-22,11100,11100,10300,10400,114400,AMS
2023-05-23,11100,11100,10200,10400,164700,AMS
2023-05-24,10400,10600,10300,10400,276700,AMS
2023-05-25,10300,10400,10100,10200,88000,AMS
2023-05-26,10100,10200,9800,10000,187400,AMS
2023-05-29,9900,10200,9800,10100,104000,AMS
2023-05-30,10400,10400,9900,10200,135300,AMS
2023-05-31,10400,10600,10200,10600,651500,AMS
2023-06-01,10800,11900,10600,11800,1695200,AMS
2023-06-02,12800,12800,11400,12000,930100,AMS
2023-06-05,12300,12300,11300,11600,474400,AMS
2023-06-06,11600,11800,11400,11500,372200,AMS
