time,open,high,low,close,volume,ticker
2023-01-03,6050,6050,6050,6050,2600,ANT
2023-01-04,6050,6050,5800,5800,1100,ANT
2023-01-05,5970,5970,5970,5970,900,ANT
2023-01-06,6310,6310,5970,5970,900,ANT
2023-01-09,6140,6140,6050,6140,2800,ANT
2023-01-10,6140,6220,6050,6220,12300,ANT
2023-01-11,6220,6390,6220,6390,12700,ANT
2023-01-12,6310,6310,6220,6220,9800,ANT
2023-01-13,6900,6900,6220,6310,2600,ANT
2023-01-16,6310,6390,6220,6310,3100,ANT
2023-01-17,6310,6310,6310,6310,8400,ANT
2023-01-18,6390,6480,6310,6310,4700,ANT
2023-01-19,7070,7160,7070,7160,1700,ANT
2023-01-27,6990,6990,6560,6900,10100,ANT
2023-01-30,6050,7500,6050,7330,26200,ANT
2023-01-31,7500,7760,7240,7590,14800,ANT
2023-02-01,7500,8010,7500,7500,9600,ANT
2023-02-02,7500,8010,7500,7930,7000,ANT
2023-02-03,7590,8010,7240,7840,5700,ANT
2023-02-06,7840,7840,7240,7240,6600,ANT
2023-02-07,7500,7670,7330,7330,2600,ANT
2023-02-08,7240,7500,6480,6650,85100,ANT
2023-02-09,6820,7160,6820,7160,3600,ANT
2023-02-10,7590,7590,7160,7160,9000,ANT
2023-02-13,7070,7160,7070,7160,13300,ANT
2023-02-14,7160,7160,7160,7160,700,ANT
2023-02-15,7240,7840,7240,7840,22200,ANT
2023-02-16,8520,8690,8520,8690,61100,ANT
2023-02-17,9890,9890,9030,9890,27700,ANT
2023-02-20,11250,11250,10400,11250,39400,ANT
2023-02-21,11250,11930,11250,11850,6500,ANT
2023-02-22,10650,10650,10060,10230,17200,ANT
2023-02-23,10310,10400,10310,10310,6200,ANT
2023-02-24,11080,11080,11080,11080,100,ANT
2023-02-27,11080,11340,10910,11250,13000,ANT
2023-02-28,11170,11590,11170,11590,200,ANT
2023-03-01,11340,11340,11250,11250,700,ANT
2023-03-02,11170,11250,10480,11250,3900,ANT
2023-03-03,10740,10910,10650,10910,5200,ANT
2023-03-07,11080,11250,11080,11080,12100,ANT
2023-03-08,11170,11170,11080,11080,4000,ANT
2023-03-09,11170,11170,11170,11170,300,ANT
2023-03-10,11170,11170,11170,11170,1300,ANT
2023-03-14,11080,11080,11080,11080,2200,ANT
2023-03-15,11080,11340,10910,11000,6400,ANT
2023-03-16,10740,10740,10740,10740,2000,ANT
2023-03-17,10570,10650,10570,10650,400,ANT
2023-03-20,10570,10570,10570,10570,500,ANT
2023-03-21,12100,12100,11510,12100,25300,ANT
2023-03-22,12020,12360,12020,12360,1300,ANT
2023-03-23,12700,12700,12700,12700,100,ANT
2023-03-24,12100,12100,12100,12100,200,ANT
2023-03-27,11930,11930,11930,11930,1200,ANT
2023-03-28,11930,11930,11930,11930,3700,ANT
2023-03-29,11680,11680,11680,11680,3100,ANT
2023-03-31,13130,13130,11850,11930,3400,ANT
2023-04-03,11930,11930,11930,11930,1900,ANT
2023-04-04,10400,10400,10400,10400,900,ANT
2023-04-05,11080,11080,11080,11080,200,ANT
2023-04-06,11080,11080,11080,11080,2300,ANT
2023-04-07,11680,11680,11170,11340,1600,ANT
2023-04-07,11680,11680,11680,11680,100,ANT
2023-04-10,11340,11340,11080,11080,800,ANT
2023-04-11,11340,11340,11080,11340,2100,ANT
2023-04-12,11250,11510,11170,11250,12700,ANT
2023-04-14,12360,12360,11340,11340,600,ANT
2023-04-17,11420,11420,10400,10570,1400,ANT
2023-04-18,11930,11930,11930,11930,100,ANT
2023-04-19,10400,11680,10400,11680,600,ANT
2023-04-20,10570,10570,10570,10570,100,ANT
2023-04-21,10400,11420,10400,10480,9400,ANT
2023-04-24,10480,10570,10480,10570,2400,ANT
2023-04-25,10480,10480,10480,10480,1700,ANT
2023-04-26,10650,10650,10650,10650,1500,ANT
2023-04-28,10650,11170,10570,11170,9600,ANT
2023-05-04,11170,11170,10650,10650,400,ANT
2023-05-05,9380,10650,9380,10650,1100,ANT
2023-05-08,10740,10740,10650,10650,27900,ANT
2023-05-09,10740,10740,10740,10740,100,ANT
2023-05-10,11080,11080,11080,11080,200,ANT
2023-05-11,12700,12700,11080,11080,6300,ANT
2023-05-12,11170,11250,11170,11250,700,ANT
2023-05-15,11250,11250,11250,11250,900,ANT
2023-05-16,11080,11080,11080,11080,1000,ANT
2023-05-17,11170,11170,11170,11170,200,ANT
2023-05-18,11340,11340,11250,11250,300,ANT
2023-05-19,11420,11420,11170,11170,400,ANT
2023-05-22,11170,11510,11170,11510,4000,ANT
2023-05-23,11170,11510,11170,11510,8200,ANT
2023-05-24,12190,12190,11340,11760,23000,ANT
2023-05-25,11680,11680,11680,11680,100,ANT
2023-05-26,11760,11850,11760,11760,12400,ANT
2023-05-29,11760,11850,11510,11850,10200,ANT
2023-05-30,11760,11850,11760,11760,4100,ANT
2023-05-31,11760,11930,11760,11850,7400,ANT
2023-06-01,11850,11930,11850,11930,2100,ANT
2023-06-02,11930,12100,11930,12020,8000,ANT
2023-06-05,12100,12190,11930,12100,14200,ANT
2023-06-06,12100,12100,12020,12020,1300,ANT
2023-06-07,12020,12020,11850,11930,5700,ANT
2023-06-08,11930,13130,11930,13130,12100,ANT
2023-06-09,12780,12960,12780,12780,3100,ANT
2023-06-12,12960,12960,12870,12870,600,ANT
2023-06-13,11420,12700,11420,12360,700,ANT
2023-06-14,12360,12610,12360,12610,800,ANT
2023-06-15,11930,12780,11930,11930,1500,ANT
2023-06-16,12020,12020,12020,12020,1000,ANT
2023-06-19,12020,12020,12020,12020,1800,ANT
2023-06-20,12020,12100,11930,12100,20100,ANT
2023-06-21,11930,12360,11930,12100,10100,ANT
2023-06-22,12020,12190,12020,12190,23000,ANT
2023-06-23,12530,12610,12020,12360,12600,ANT
2023-06-26,12360,12360,12360,12360,9700,ANT
2023-06-28,12360,12360,12360,12360,26400,ANT
2023-06-29,12360,12360,12360,12360,4300,ANT
2023-07-03,11930,11930,11930,11930,1400,ANT
2023-07-04,12360,12360,12270,12270,1700,ANT
2023-07-05,11930,11930,11930,11930,4900,ANT
2023-07-06,11930,11930,11930,11930,5900,ANT
2023-07-07,11510,11930,11510,11930,52200,ANT
2023-07-10,12700,12700,12020,12020,7500,ANT
2023-07-11,12020,12100,11930,12100,15400,ANT
2023-07-12,12100,12100,12020,12100,10400,ANT
2023-07-13,12100,12100,12100,12100,2200,ANT
2023-07-14,12100,12100,12100,12100,200,ANT
2023-07-18,12100,12100,11930,12100,2100,ANT
2023-07-19,12100,12100,12100,12100,1800,ANT
2023-07-20,12100,12100,12100,12100,1500,ANT
2023-07-24,11930,12270,11930,12100,18800,ANT
2023-07-25,12100,12100,11760,12100,22700,ANT
2023-07-26,12020,12020,11850,11850,12600,ANT
2023-07-27,12100,12100,11930,11930,22500,ANT
2023-07-28,13600,13600,13000,13000,1300,ANT
2023-07-31,13000,13000,13000,13000,600,ANT
2023-08-01,11900,14800,11900,13800,6600,ANT
2023-08-02,14800,14800,14500,14500,200,ANT
2023-08-03,12700,13000,12700,12700,9500,ANT
2023-08-04,12800,12800,12800,12800,900,ANT
2023-08-07,12800,13000,12800,12900,2100,ANT
2023-08-08,13400,13400,13200,13200,2500,ANT
2023-08-09,12000,13200,12000,12500,6200,ANT
2023-08-10,13000,13000,12900,12900,1500,ANT
2023-08-11,12300,12300,12300,12300,18200,ANT
2023-08-14,12500,12900,11500,12000,12800,ANT
2023-08-15,12000,12500,12000,12500,1300,ANT
2023-08-16,12500,12900,12500,12700,10000,ANT
2023-08-18,12000,12500,11700,11700,6300,ANT
2023-08-22,11900,11900,11600,11700,2000,ANT
2023-08-23,11000,11700,11000,11700,500,ANT
2023-08-24,11300,11300,11300,11300,3000,ANT
2023-08-25,11000,11000,11000,11000,1500,ANT
2023-08-28,11000,11200,11000,11200,4900,ANT
2023-08-29,11100,11300,11100,11100,2100,ANT
2023-08-30,11100,11100,11100,11100,800,ANT
2023-08-31,11100,11300,11000,11200,5400,ANT
2023-09-05,11800,11800,11200,11300,11300,ANT
2023-09-06,11200,12400,11200,12100,9100,ANT
2023-09-07,12100,12100,11700,11800,19900,ANT
2023-09-08,12000,12000,11500,11500,1700,ANT
2023-09-11,11000,11800,11000,11100,18500,ANT
2023-09-12,11300,11300,11300,11300,400,ANT
2023-09-13,12100,12100,11300,11300,4700,ANT
2023-09-14,11100,11300,11000,11300,3300,ANT
2023-09-15,11100,11100,11100,11100,5400,ANT
2023-09-18,11100,11200,11100,11100,5000,ANT
2023-09-19,10900,10900,10800,10900,5300,ANT
2023-09-20,10800,11500,10800,11200,8100,ANT
2023-09-21,11900,11900,10900,10900,3000,ANT
2023-09-22,11200,11200,10800,10800,26200,ANT
2023-09-25,10600,10600,10500,10500,19800,ANT
2023-09-26,10100,10300,10100,10300,54900,ANT
2023-09-27,10200,10500,10200,10400,1500,ANT
2023-09-28,11200,11200,10300,10300,3600,ANT
2023-09-29,10900,10900,10900,10900,100,ANT
2023-10-02,10100,10400,10000,10200,2600,ANT
2023-10-03,10000,10000,10000,10000,900,ANT
2023-10-04,10000,10000,10000,10000,1000,ANT
2023-10-05,10000,10400,10000,10000,5600,ANT
2023-10-06,10000,10000,9900,10000,2700,ANT
2023-10-09,10000,10100,10000,10100,1000,ANT
2023-10-10,10400,10400,10200,10200,2500,ANT
2023-10-11,10100,10200,10100,10200,3400,ANT
2023-10-12,10200,10400,10200,10300,9600,ANT
2023-10-13,10000,10000,10000,10000,1100,ANT
