time,open,high,low,close,volume,ticker
2023-01-03,22950,24100,22950,24100,488100,ANV
2023-01-04,25650,25750,24900,25000,1784100,ANV
2023-01-05,25200,26500,24650,26500,1877200,ANV
2023-01-06,26700,27700,26700,27700,2083500,ANV
2023-01-09,28750,28750,27800,28200,1538800,ANV
2023-01-10,28300,28300,26800,27750,1461900,ANV
2023-01-11,27900,28400,27500,27500,865500,ANV
2023-01-12,27800,29400,26800,29400,2568900,ANV
2023-01-13,30000,30500,28800,29200,768200,ANV
2023-01-16,29600,29700,28800,29400,909200,ANV
2023-01-17,29700,31000,29000,30400,1087700,ANV
2023-01-18,30550,31900,30200,31000,808600,ANV
2023-01-19,30800,31300,30350,31100,1101000,ANV
2023-01-27,31500,32200,31100,31100,884600,ANV
2023-01-30,31000,31900,30300,30550,1605400,ANV
2023-01-31,30600,31950,30100,31950,1438600,ANV
2023-02-01,32150,32299,29750,29750,1529800,ANV
2023-02-02,29500,30000,28000,29600,1691800,ANV
2023-02-03,29700,30300,28900,29200,632200,ANV
2023-02-06,29000,30000,28500,29600,857700,ANV
2023-02-07,29600,31650,29600,30250,2557500,ANV
2023-02-08,31000,31150,28600,30900,962800,ANV
2023-02-09,31500,33050,31200,33050,2507100,ANV
2023-02-10,33700,34400,32600,33950,2260000,ANV
2023-02-13,33900,33900,31600,31600,2711000,ANV
2023-02-14,31900,32500,31250,31300,1288400,ANV
2023-02-15,31350,32950,30650,32600,1492500,ANV
2023-02-16,32600,33650,32450,33400,1474500,ANV
2023-02-17,33800,34300,32800,32800,1566500,ANV
2023-02-20,33000,33850,32500,33700,2189900,ANV
2023-02-21,34700,35500,34100,35000,2214500,ANV
2023-02-22,34300,35550,32600,32600,2551100,ANV
2023-02-23,32800,34000,31500,34000,2155800,ANV
2023-02-24,34000,34350,32500,32500,980700,ANV
2023-02-27,31850,31900,30250,30250,2210500,ANV
2023-02-28,30900,30950,29800,30500,1184100,ANV
2023-03-01,30500,31900,29800,31900,771500,ANV
2023-03-02,32100,32150,30800,30800,923600,ANV
2023-03-03,30800,31300,30300,30300,992000,ANV
2023-03-06,30900,31000,29900,29900,773300,ANV
2023-03-07,30000,30700,29850,30350,1058100,ANV
2023-03-08,30000,31650,29800,31650,1420600,ANV
2023-03-09,31950,31950,31400,31550,1006700,ANV
2023-03-10,31450,32650,31050,32150,1983300,ANV
2023-03-13,31600,32400,31350,31750,1050600,ANV
2023-03-14,32000,32000,30000,30300,1578000,ANV
2023-03-15,31100,31800,30750,31500,701500,ANV
2023-03-16,31300,31300,30450,30550,970700,ANV
2023-03-17,31200,31200,30250,30500,597000,ANV
2023-03-20,30250,30900,29800,30000,969200,ANV
2023-03-21,30300,30600,29650,30100,638500,ANV
2023-03-22,30550,30550,30000,30000,542400,ANV
2023-03-23,29850,30500,29750,30100,441900,ANV
2023-03-24,30400,31200,30300,30850,1511700,ANV
2023-03-27,30950,31250,30750,30800,609900,ANV
2023-03-28,31100,31900,31100,31550,1654800,ANV
2023-03-29,31650,31750,31000,31250,831100,ANV
2023-03-30,31650,31650,30550,30550,1346800,ANV
2023-03-31,30600,30750,30200,30650,651000,ANV
2023-04-03,30600,31350,30400,31200,1234400,ANV
2023-04-04,31600,32850,31500,32750,2380600,ANV
2023-04-05,33000,33000,32049,32549,1137800,ANV
2023-04-06,32900,33450,31800,31900,1485100,ANV
2023-04-07,31500,31800,31100,31350,1022000,ANV
2023-04-10,31400,32600,31200,32000,1519600,ANV
2023-04-11,32600,33400,32500,32850,1664400,ANV
2023-04-12,33000,33000,31900,32250,1373700,ANV
2023-04-13,32100,32750,32000,32400,847100,ANV
2023-04-14,32650,33900,32000,32450,2313100,ANV
2023-04-17,32150,33150,32150,32549,1074000,ANV
2023-04-18,32900,34900,32700,34900,3844500,ANV
2023-04-19,35250,35250,33550,33700,1386500,ANV
2023-04-20,34000,35400,33800,35150,1861800,ANV
2023-04-21,34900,35500,33000,33500,1662300,ANV
2023-04-24,33400,33450,32100,32150,1719200,ANV
2023-04-25,32049,32950,31400,32000,1411500,ANV
2023-04-26,32200,32350,31600,32200,838000,ANV
2023-04-27,32400,32800,32000,32150,837900,ANV
2023-04-28,32450,32600,31900,32299,991100,ANV
2023-05-04,32350,33200,32100,32549,1044900,ANV
2023-05-05,32600,33800,32600,33400,1821600,ANV
2023-05-08,33600,33600,32450,32750,1232400,ANV
2023-05-09,32750,33100,32450,32549,907800,ANV
2023-05-10,32600,33450,32500,33350,1151300,ANV
2023-05-11,33400,33500,32750,32750,1311700,ANV
2023-05-12,32600,33050,32600,32800,940900,ANV
2023-05-15,32950,33450,32700,33050,1480000,ANV
2023-05-16,33150,33750,32900,32950,1091900,ANV
2023-05-17,33050,34050,33050,33250,2008300,ANV
2023-05-18,33500,33650,32750,32950,866900,ANV
2023-05-19,33000,33100,31800,32350,1454900,ANV
2023-05-22,32250,32700,32000,32350,939800,ANV
2023-05-23,32800,33150,32250,32250,1002400,ANV
2023-05-24,32400,32700,32250,32250,861400,ANV
2023-05-25,32400,32549,31900,31950,878300,ANV
2023-05-26,32250,32250,31850,31900,934700,ANV
2023-05-29,32000,33200,31900,32950,1674000,ANV
2023-05-30,33150,33200,32400,32600,1434600,ANV
2023-05-31,32600,33200,32600,33000,1672000,ANV
2023-06-01,33750,34300,33500,33850,2794700,ANV
2023-06-02,34400,34500,33600,33600,1738300,ANV
2023-06-05,34000,34750,33750,34600,2935400,ANV
2023-06-06,34700,35450,34500,34900,2452400,ANV
2023-06-07,35100,35300,34500,34900,2066500,ANV
2023-06-08,34900,36550,34650,34950,3668600,ANV
2023-06-09,34900,35550,34550,35200,1533000,ANV
2023-06-12,35450,36450,35150,35900,2237400,ANV
2023-06-13,35950,36000,34850,35000,2197200,ANV
2023-06-14,35000,35250,34000,34050,2255900,ANV
2023-06-15,33800,34300,33600,34000,1152700,ANV
2023-06-16,34300,34300,33700,33700,1746900,ANV
2023-06-19,33700,33950,33350,33700,863700,ANV
2023-06-20,33700,34250,33650,34250,1243900,ANV
2023-06-21,34350,34850,34200,34800,2277300,ANV
2023-06-22,34900,35750,34900,35500,3826600,ANV
2023-06-23,35500,35900,34950,35100,2555400,ANV
2023-06-26,35100,35500,34300,34600,2457100,ANV
2023-06-27,34800,35800,34800,35600,2384500,ANV
2023-06-28,35900,37500,35850,36700,4478300,ANV
2023-06-29,36700,37250,36000,36000,2752400,ANV
2023-06-30,36000,36200,35500,35850,1811700,ANV
2023-07-03,36150,37800,35900,37450,2965400,ANV
2023-07-04,37500,37900,37050,37400,1202000,ANV
2023-07-05,37800,38400,37050,37050,3136700,ANV
2023-07-06,37100,37450,36200,36900,2557300,ANV
2023-07-07,36900,37950,36650,37400,2392300,ANV
2023-07-10,37700,37800,37150,37450,2437400,ANV
2023-07-11,37500,38400,37300,37500,2338000,ANV
