time,open,high,low,close,volume,ticker
2023-01-03,51060,51060,51060,51060,1400,APF
2023-01-04,51060,51380,50730,50730,3100,APF
2023-01-05,50970,51470,50970,51470,7800,APF
2023-01-06,51060,51470,51060,51300,1400,APF
2023-01-09,51470,51470,50640,50640,7400,APF
2023-01-10,51470,51880,50640,50640,5900,APF
2023-01-11,51470,51470,50970,51060,2700,APF
2023-01-12,51060,51060,51060,51060,5600,APF
2023-01-13,51060,51300,50810,51220,8800,APF
2023-01-16,51060,51470,50640,51060,10400,APF
2023-01-17,51060,51470,50890,50970,5100,APF
2023-01-18,51060,52290,51060,52290,15500,APF
2023-01-19,53100,53100,52290,52290,12100,APF
2023-01-27,52700,55150,52700,55150,12400,APF
2023-01-30,54740,58820,54740,58410,56100,APF
2023-01-31,59630,60450,58820,60040,35500,APF
2023-02-01,60040,60450,59630,59630,39800,APF
2023-02-02,58820,58820,57260,58000,2900,APF
2023-02-03,58820,58820,58000,58080,7100,APF
2023-02-06,58410,59230,58410,59230,800,APF
2023-02-07,58570,58820,57180,58000,18200,APF
2023-02-08,58820,58980,58080,58980,16300,APF
2023-02-09,58820,58820,58410,58410,13200,APF
2023-02-10,58490,58490,57590,57590,3700,APF
2023-02-13,58080,58170,57180,58000,8200,APF
2023-02-14,58000,58000,58000,58000,100,APF
2023-02-15,58820,59630,58730,59630,18000,APF
2023-02-16,57670,59710,57670,59630,5700,APF
2023-02-17,58000,59470,58000,59230,7400,APF
2023-02-20,59550,59630,59230,59630,4100,APF
2023-02-21,60040,60040,59230,60040,12800,APF
2023-02-22,60040,60040,58820,59300,10300,APF
2023-02-23,59890,59890,59300,59300,600,APF
2023-02-24,59560,59560,59470,59470,3700,APF
2023-02-27,59890,59890,58810,58810,4400,APF
2023-02-28,58970,58970,58720,58720,1300,APF
2023-03-02,59050,59140,58810,58810,1400,APF
2023-03-03,58890,58890,58810,58810,1500,APF
2023-03-06,57560,59230,57560,59230,14600,APF
2023-03-07,59230,59230,57970,58630,10400,APF
2023-03-08,59050,59050,58470,58470,8100,APF
2023-03-09,58810,59970,58810,59970,12700,APF
2023-03-10,60060,60390,59230,59560,11400,APF
2023-03-13,60470,62970,60470,62480,84900,APF
2023-03-14,63390,64230,62560,63810,46600,APF
2023-03-15,63810,64230,62970,63810,15300,APF
2023-03-16,62140,62560,62140,62560,4000,APF
2023-03-17,62810,63390,62640,62970,9700,APF
2023-03-20,62720,63730,62720,62720,7800,APF
2023-03-21,63060,63310,62560,63060,11700,APF
2023-03-22,62560,62560,62560,62560,100,APF
2023-03-23,62560,62560,62060,62140,1000,APF
2023-03-24,60890,60890,60890,60890,1800,APF
2023-03-27,60890,60890,60890,60890,300,APF
2023-03-28,61720,61720,61720,61720,400,APF
2023-03-29,61720,61720,61720,61720,2000,APF
2023-03-30,61720,61720,61720,61720,1000,APF
2023-03-31,64310,64310,64310,64310,100,APF
2023-04-03,61480,61480,61480,61480,300,APF
2023-04-04,61720,61720,61720,61720,300,APF
2023-04-05,63390,63390,62560,62560,5800,APF
2023-04-06,62230,62230,62230,62230,800,APF
2023-04-07,60890,62140,60890,62140,5600,APF
2023-04-10,61720,61720,61560,61640,2800,APF
2023-04-11,61300,62970,61300,61390,5400,APF
2023-04-12,61900,61900,61900,61900,700,APF
2023-04-13,61720,61720,61390,61560,9100,APF
2023-04-14,61560,61560,61560,61560,400,APF
2023-04-17,61300,63390,61300,62560,5400,APF
2023-04-18,62640,62640,62560,62560,400,APF
2023-04-19,62560,63390,62560,63390,11100,APF
2023-04-20,64230,65900,64230,65230,29500,APF
2023-04-21,65230,65480,65230,65230,2700,APF
2023-04-24,65230,65230,64310,65060,9300,APF
2023-04-25,64900,65150,64900,64970,2700,APF
2023-04-26,63900,65060,63900,65060,9700,APF
2023-04-27,64390,65640,64230,65480,27000,APF
2023-04-28,60890,63390,60470,61720,106800,APF
2023-05-04,61640,61640,61640,61640,100,APF
2023-05-05,60390,60390,60390,60390,1500,APF
2023-05-08,60890,61390,60890,61390,700,APF
2023-05-09,60890,60890,60810,60890,4600,APF
2023-05-10,61140,61140,61140,61140,1600,APF
2023-05-11,61970,61970,61970,61970,100,APF
2023-05-12,62140,62140,62140,62140,300,APF
2023-05-15,62060,62230,61970,62060,5400,APF
2023-05-16,61720,61900,61720,61900,5500,APF
2023-05-17,62390,62480,61810,61810,2300,APF
2023-05-18,61720,61720,61560,61560,4500,APF
2023-05-19,61640,61640,61300,61300,15600,APF
2023-05-22,61480,61480,61480,61480,1100,APF
2023-05-23,62560,62560,61480,61480,1000,APF
2023-05-24,61300,62140,61230,62140,40900,APF
2023-05-25,61390,61390,61390,61390,900,APF
2023-05-26,61390,61390,61300,61300,500,APF
2023-05-29,61300,61300,60430,61300,2300,APF
2023-05-30,61130,61390,61130,61390,4100,APF
2023-05-31,61300,61300,61220,61220,1800,APF
2023-06-01,61220,61480,61220,61390,3300,APF
2023-06-02,61300,61300,60000,60000,6600,APF
2023-06-05,60870,60870,60000,60260,17300,APF
2023-06-06,58260,60780,58000,60780,1600,APF
2023-06-07,60350,60430,60350,60430,6900,APF
2023-06-08,60430,60870,60430,60520,1900,APF
2023-06-09,60700,60870,60700,60870,600,APF
2023-06-12,61130,61650,60700,60700,3300,APF
2023-06-13,61740,62090,61740,62000,1600,APF
2023-06-14,62000,62000,61390,62000,1300,APF
2023-06-15,61910,62610,60870,62610,7900,APF
2023-06-16,62610,63480,62610,62610,7000,APF
2023-06-19,69000,69000,62800,65000,3900,APF
2023-06-20,65000,65099,63000,64000,15000,APF
2023-06-21,63800,64000,63500,63500,13100,APF
2023-06-22,63900,63900,63700,63700,1400,APF
2023-06-23,63000,63700,63000,63600,9000,APF
2023-06-26,62300,62800,61800,62000,54500,APF
2023-06-27,62500,62500,62200,62200,13700,APF
2023-06-28,62500,62600,62500,62500,1400,APF
2023-06-29,62200,62500,62200,62200,1600,APF
2023-06-30,62400,62400,62300,62300,4600,APF
2023-07-03,62200,62500,62200,62300,17800,APF
2023-07-04,63200,63200,62200,62200,1500,APF
2023-07-05,62700,62700,62200,62500,6000,APF
2023-07-06,62200,62400,61800,62000,37700,APF
2023-07-07,62000,62000,61700,61900,25000,APF
2023-07-10,61800,61900,61500,61500,22500,APF
2023-07-11,60800,61500,60800,61000,25100,APF
2023-07-12,60700,60700,60200,60500,25000,APF
2023-07-13,60500,61000,60500,61000,10900,APF
2023-07-14,61900,61900,61000,61000,2900,APF
2023-07-17,61500,61500,60600,60800,23900,APF
2023-07-18,60600,61300,60600,61200,18500,APF
2023-07-19,61200,62200,61000,62200,13100,APF
2023-07-20,62000,65000,62000,63100,21400,APF
2023-07-21,64000,64500,63500,63900,22300,APF
2023-07-24,64000,64200,63200,63700,9600,APF
2023-07-25,63300,64200,63200,63300,14100,APF
2023-07-26,63000,63000,60900,62300,87100,APF
2023-07-27,62000,62500,62000,62500,9200,APF
2023-07-28,62000,62000,61000,62000,5100,APF
2023-07-31,61600,61800,61400,61800,20600,APF
2023-08-01,61600,61700,61600,61700,5200,APF
2023-08-02,61500,61900,61500,61900,3500,APF
2023-08-03,61900,62000,61800,61900,9200,APF
2023-08-04,61900,61900,61600,61800,4100,APF
2023-08-07,61500,61900,61500,61600,10800,APF
2023-08-08,61500,61800,61500,61600,6300,APF
2023-08-09,61500,61700,61500,61700,3300,APF
2023-08-10,61700,61700,61700,61700,1700,APF
2023-08-11,61700,61700,61300,61500,7600,APF
2023-08-14,61400,61500,61400,61400,5400,APF
2023-08-15,61400,61500,61200,61300,7900,APF
2023-08-16,61400,61400,61200,61200,3700,APF
2023-08-18,61100,61100,59500,61000,10000,APF
2023-08-21,60300,60300,59400,59600,12000,APF
2023-08-22,59700,59700,59000,59000,8500,APF
2023-08-23,59400,59500,58800,59000,16800,APF
2023-08-24,59000,59500,59000,59100,4800,APF
2023-08-25,59200,59500,59200,59500,3600,APF
2023-08-28,60000,60500,60000,60500,5900,APF
2023-08-30,60200,60500,60200,60200,1200,APF
2023-08-31,60000,61300,60000,61300,6200,APF
2023-09-05,60100,60400,60100,60100,20200,APF
2023-09-06,60000,61000,60000,61000,1400,APF
2023-09-07,60100,61000,60000,60000,30400,APF
2023-09-08,60200,60200,60000,60000,19000,APF
2023-09-11,60000,60500,59900,60500,14400,APF
2023-09-12,60000,60400,59900,60000,2200,APF
2023-09-13,60800,60800,60200,60200,1200,APF
2023-09-14,60000,60000,59100,59600,33500,APF
2023-09-15,59600,59600,58800,58900,47400,APF
2023-09-18,59000,59000,58900,58900,2100,APF
2023-09-19,59000,60000,59000,60000,800,APF
2023-09-20,60000,60000,59300,59500,4200,APF
2023-09-21,59800,61000,59800,61000,9200,APF
2023-09-22,60100,60300,59900,59900,17800,APF
2023-09-25,60100,61000,60000,60000,5400,APF
2023-09-26,60000,60000,59500,60000,11300,APF
2023-09-27,59600,59600,59000,59500,13100,APF
2023-09-28,59500,59500,59500,59500,14900,APF
2023-09-29,59600,59700,59200,59400,31800,APF
2023-10-02,59500,59600,59200,59300,41500,APF
2023-10-03,59200,59200,59000,59000,8100,APF
2023-10-04,59000,59000,58600,59000,12900,APF
2023-10-05,58700,58700,58700,58700,100,APF
2023-10-06,58900,58900,58700,58800,7600,APF
2023-10-09,58000,58800,58000,58400,7000,APF
2023-10-10,58500,58500,58300,58400,18800,APF
2023-10-11,58300,58500,58300,58500,26400,APF
2023-10-12,58400,58500,58300,58500,30600,APF
2023-10-13,58400,58600,58300,58400,9400,APF
