time,open,high,low,close,volume,ticker
2023-01-03,8400,9300,8300,9300,1230900,APS
2023-01-04,9500,10100,9500,9700,1492700,APS
2023-01-05,9900,9900,9300,9700,1341700,APS
2023-01-06,9600,9900,9200,9200,1336600,APS
2023-01-09,9400,9700,9100,9300,804800,APS
2023-01-10,9300,9500,8800,9400,942600,APS
2023-01-11,9500,10000,9400,9500,1638800,APS
2023-01-12,9600,9700,9300,9400,555500,APS
2023-01-13,9600,9800,9400,9500,1246400,APS
2023-01-16,9600,9700,9300,9400,725500,APS
2023-01-17,9500,10000,9500,10000,1358500,APS
2023-01-18,10000,11000,9900,10700,2289600,APS
2023-01-19,10300,11200,10300,10700,1425500,APS
2023-01-27,11500,11500,10400,10400,1390300,APS
2023-01-30,10400,10900,10000,10500,2009500,APS
2023-01-31,10400,10700,10200,10700,1351900,APS
2023-02-01,10700,11100,9700,10000,2709900,APS
2023-02-02,10000,10100,9500,9800,1802700,APS
2023-02-03,9800,9900,9500,9700,941600,APS
2023-02-06,9700,9800,9500,9700,684300,APS
2023-02-07,9700,10000,9200,9500,1537700,APS
2023-02-08,9500,9900,9100,9600,954600,APS
2023-02-09,9200,9700,9200,9500,383200,APS
2023-02-10,9500,9500,9200,9200,733900,APS
2023-02-13,9100,9100,8300,8300,1413500,APS
2023-02-14,8300,8800,8300,8700,649500,APS
2023-02-15,8700,9300,8700,9000,851700,APS
2023-02-16,9000,9500,8900,9500,807300,APS
2023-02-17,9500,9600,9200,9300,868700,APS
2023-02-20,9300,10200,9300,10200,1798200,APS
2023-02-21,10300,10600,9900,10000,1277300,APS
2023-02-22,9800,10100,9400,9400,2215200,APS
2023-02-23,9400,9500,9000,9500,1174300,APS
2023-02-24,9500,9700,9100,9200,494800,APS
2023-02-27,9100,9100,8700,8700,939200,APS
2023-02-28,8900,9100,8600,8700,847900,APS
2023-03-01,8700,9200,8500,9200,814900,APS
2023-03-02,9200,9400,8900,8900,492400,APS
2023-03-03,9000,9100,8800,8800,641700,APS
2023-03-06,8800,9300,8800,8900,696200,APS
2023-03-07,9100,9200,8900,9000,664200,APS
2023-03-08,8900,9400,8800,9400,947100,APS
2023-03-09,9400,9600,9300,9500,1044600,APS
2023-03-10,9300,9800,9200,9300,604000,APS
2023-03-13,9200,9400,9000,9300,674100,APS
2023-03-14,9100,9300,8800,8900,1126300,APS
2023-03-15,8900,9700,8900,9700,1977300,APS
2023-03-16,9700,9700,9300,9400,1130700,APS
2023-03-17,9500,9700,9300,9400,560900,APS
2023-03-20,9400,9500,9100,9100,922500,APS
2023-03-21,9200,9300,9000,9300,720300,APS
2023-03-22,9300,9500,9300,9400,401500,APS
2023-03-23,9100,9500,9100,9400,743800,APS
2023-03-24,9500,9800,9400,9600,1583700,APS
2023-03-27,9600,10000,9600,9900,1499000,APS
2023-03-28,10000,10200,9700,9700,1146100,APS
2023-03-29,9700,9800,9600,9700,865900,APS
2023-03-30,9900,10200,9800,9800,1572200,APS
2023-03-31,9800,10100,9600,10000,1807100,APS
2023-04-03,10200,10700,10200,10600,2196700,APS
2023-04-04,10400,11600,10400,11600,4871800,APS
2023-04-05,11700,12700,11700,12700,5333500,APS
2023-04-06,12800,13900,11900,13000,7012100,APS
2023-04-07,12800,13400,12200,13400,4193400,APS
2023-04-10,13400,14400,12900,13200,3436700,APS
2023-04-11,13300,13300,12400,13100,3527800,APS
2023-04-12,13200,13500,12700,13000,2076800,APS
2023-04-13,13000,13200,12600,12700,1633000,APS
2023-04-14,12600,12800,12000,12200,2642100,APS
2023-04-17,12100,12200,11800,12100,1342500,APS
2023-04-18,12300,12900,11900,12700,2381300,APS
2023-04-19,12900,13200,12600,12600,2441200,APS
2023-04-20,12600,12700,12200,12600,1419700,APS
2023-04-21,12500,13700,12500,13100,5638100,APS
2023-04-24,13200,13800,13100,13400,2493200,APS
2023-04-25,13400,13700,12100,12400,4256800,APS
2023-04-26,12400,12700,12200,12600,1781000,APS
2023-04-27,12800,13100,12600,12700,1271900,APS
2023-04-28,12900,13300,12700,13100,2751400,APS
2023-05-04,13200,14500,13200,14400,5657600,APS
2023-05-05,14600,15200,14100,14400,2982400,APS
2023-05-08,14800,15400,14400,14600,3557200,APS
2023-05-09,14600,14800,14100,14600,2635500,APS
2023-05-10,13600,15000,13600,14900,1822500,APS
2023-05-11,14800,15000,14500,14800,2552000,APS
2023-05-12,14600,15300,14300,15200,3159000,APS
2023-05-15,15500,16000,14700,14900,2188400,APS
2023-05-16,15000,15100,14600,14700,2057500,APS
2023-05-17,14800,15100,14000,14100,3400900,APS
2023-05-18,14200,15000,14100,14900,2295500,APS
2023-05-19,14700,15000,14400,14600,1621700,APS
2023-05-22,14800,15000,14600,14800,2003400,APS
2023-05-23,15200,15500,15000,15200,3075300,APS
2023-05-24,15400,15800,15200,15300,2738500,APS
2023-05-25,15300,15300,14700,14800,2087200,APS
2023-05-26,14800,15300,14700,15300,1451400,APS
2023-05-29,15400,15800,15200,15800,2685400,APS
2023-05-30,15800,15900,15400,15800,1775400,APS
2023-05-31,15800,16300,15600,15900,2292500,APS
2023-06-01,15900,16100,15500,15800,2433400,APS
2023-06-02,15800,16200,15700,15700,2009400,APS
2023-06-05,15900,16000,15500,15600,2550000,APS
2023-06-06,15600,15900,15200,15700,3234900,APS
2023-06-07,15700,16000,15600,15800,1752500,APS
2023-06-08,15900,15900,14800,14800,3257100,APS
2023-06-09,14800,15100,14200,14800,3400200,APS
2023-06-12,15000,15200,14300,14800,1744000,APS
2023-06-13,14900,15100,14700,14700,2008100,APS
2023-06-14,14700,15000,14600,14700,1599600,APS
2023-06-15,14600,14800,14500,14600,1443900,APS
2023-06-16,14700,15900,14700,15200,5574800,APS
2023-06-19,14600,15200,13700,13700,11264100,APS
2023-06-20,13500,14400,13200,13700,2930900,APS
2023-06-21,13700,14400,13400,14000,2690100,APS
2023-06-22,14000,14100,13700,13900,2994400,APS
2023-06-23,13900,14400,13700,14300,3627600,APS
2023-06-26,12900,12900,12900,12900,618100,APS
2023-06-27,11700,11700,11700,11700,244200,APS
2023-06-28,10600,10600,10600,10600,313700,APS
2023-06-29,9600,9600,9600,9600,195900,APS
2023-06-30,8700,8700,8700,8700,120000,APS
2023-07-03,7900,8100,7900,7900,7249600,APS
2023-07-04,7200,8500,7200,8400,11988400,APS
2023-07-05,8400,8800,7600,7600,6214700,APS
2023-07-06,7200,7600,6900,6900,9163200,APS
2023-07-07,6900,7400,6500,7000,2087100,APS
2023-07-10,7000,7200,6300,6300,3860500,APS
2023-07-11,5700,6000,5700,5700,7045100,APS
2023-07-12,5700,6200,5400,6200,2795400,APS
2023-07-13,6400,6700,6300,6400,2966200,APS
2023-07-14,6500,6500,6200,6400,2686900,APS
2023-07-17,6400,6600,6300,6500,2316500,APS
2023-07-18,6600,6800,6500,6500,2445300,APS
2023-07-19,6500,6700,6400,6400,1341500,APS
2023-07-20,6400,6600,6200,6400,2016200,APS
2023-07-21,6400,6700,6300,6500,1364400,APS
2023-07-24,6500,6700,6400,6600,2715700,APS
2023-07-25,6600,6600,6400,6400,1329400,APS
2023-07-26,6500,6500,6300,6400,1642800,APS
2023-07-27,6300,6500,6200,6400,1447800,APS
2023-07-28,6400,6500,6300,6400,1802900,APS
2023-07-31,6200,7000,6200,7000,4992600,APS
2023-08-01,7200,7700,7200,7700,2638100,APS
2023-08-02,8000,8100,7100,7400,4710100,APS
2023-08-03,7400,7500,7100,7300,2053300,APS
2023-08-04,7300,7500,7200,7500,2310300,APS
2023-08-07,7500,8100,7500,8000,3764300,APS
2023-08-08,8200,8200,7800,7900,2370500,APS
2023-08-09,8200,8200,7700,8000,1773000,APS
2023-08-10,7900,8200,7900,8000,2150900,APS
2023-08-11,8000,8200,7600,7900,1737900,APS
2023-08-14,8000,8200,7900,8000,2386800,APS
2023-08-15,8000,8800,8000,8700,3577300,APS
2023-08-16,8900,8900,8400,8500,2294300,APS
2023-08-17,8500,9300,8500,9200,4439200,APS
2023-08-18,9000,9500,8400,8400,6545000,APS
2023-08-21,8400,9200,8200,9200,3536500,APS
2023-08-22,9500,9600,8500,9500,5145600,APS
2023-08-23,9800,9900,9400,9700,2485600,APS
2023-08-24,9700,9800,9400,9600,3023400,APS
2023-08-25,9600,9600,9400,9500,2928100,APS
2023-08-28,9400,9600,8600,9000,5400200,APS
2023-08-29,8900,9300,8800,9100,1979200,APS
2023-08-30,9300,9500,8900,9300,2960000,APS
2023-08-31,9400,9600,9200,9300,2626400,APS
2023-09-05,9300,9700,9300,9500,2580000,APS
2023-09-06,9500,10100,9200,9800,4498500,APS
2023-09-07,9800,10000,9700,9700,2775400,APS
2023-09-08,9500,9700,9400,9500,3960700,APS
2023-09-11,9500,9600,9000,9100,3524000,APS
2023-09-12,9100,9400,9000,9400,1920300,APS
2023-09-13,9500,9600,9100,9200,2242700,APS
2023-09-14,9200,9300,8900,9000,1932100,APS
2023-09-15,9000,9200,8900,8900,996500,APS
2023-09-18,8900,8900,8500,8600,1631400,APS
2023-09-19,8600,8800,8400,8700,1477500,APS
2023-09-20,8700,8900,8600,8900,1355800,APS
2023-09-21,8900,9000,8700,8800,1108000,APS
2023-09-22,8600,8800,8000,8300,2376600,APS
2023-09-25,8200,8300,7500,7500,1026100,APS
2023-09-26,6800,7500,6800,6900,4639100,APS
2023-09-27,6800,7200,6800,7200,951200,APS
2023-09-28,7300,7300,6900,7000,740800,APS
2023-09-29,7000,7300,7000,7000,810800,APS
2023-10-02,7000,7000,6800,7000,1236900,APS
2023-10-03,7000,7100,6300,6300,1411700,APS
2023-10-04,5800,6500,5800,6400,1051200,APS
2023-10-05,6400,6700,6400,6500,857900,APS
2023-10-06,6600,6700,6400,6500,690800,APS
2023-10-09,6500,6700,6500,6700,368400,APS
2023-10-10,6700,7300,6700,7200,1182900,APS
2023-10-11,7300,7300,7000,7200,706000,APS
2023-10-12,7200,7300,7000,7100,827300,APS
2023-10-13,7000,7100,6800,7000,804100,APS
