time,open,high,low,close,volume,ticker
2023-01-03,24600,25700,24600,25700,1800,ASG
2023-01-06,25000,25500,24400,25500,2500,ASG
2023-01-09,24400,25400,23750,24500,2100,ASG
2023-01-10,23350,23350,23350,23350,100,ASG
2023-01-11,24350,24350,24350,24350,300,ASG
2023-01-12,24100,24100,24100,24100,1000,ASG
2023-01-13,24000,24450,24000,24450,2300,ASG
2023-01-18,23000,24300,23000,23850,5200,ASG
2023-01-19,23900,24500,23000,24500,5600,ASG
2023-01-27,25100,25100,25100,25100,1300,ASG
2023-01-30,25100,25100,24000,25000,3800,ASG
2023-01-31,25000,25000,24500,24500,5000,ASG
2023-02-01,24600,24850,24500,24500,2000,ASG
2023-02-02,24500,24500,24000,24000,1800,ASG
2023-02-03,24000,25000,24000,25000,11700,ASG
2023-02-06,26100,26100,24500,25000,5400,ASG
2023-02-07,25000,25450,25000,25300,5000,ASG
2023-02-08,25300,25300,24500,25100,2400,ASG
2023-02-09,24000,25000,23500,25000,3400,ASG
2023-02-10,24000,25000,24000,24500,11500,ASG
2023-02-13,23800,24350,23600,24350,3700,ASG
2023-02-14,24350,24850,23850,24350,1900,ASG
2023-02-15,24850,24850,24850,24850,500,ASG
2023-02-20,24000,24700,24000,24700,600,ASG
2023-02-21,24000,24450,24000,24450,4100,ASG
2023-02-23,24350,25900,24350,25900,400,ASG
2023-02-24,24950,24950,24100,24100,20400,ASG
2023-02-27,23600,24950,23600,24500,8500,ASG
2023-03-01,24400,24500,24400,24500,12000,ASG
2023-03-02,24300,24450,24300,24450,2200,ASG
2023-03-03,24400,24400,24400,24400,5300,ASG
2023-03-07,23300,24500,23300,24500,3400,ASG
2023-03-08,24500,24500,24500,24500,3100,ASG
2023-03-09,24500,24500,24400,24500,17600,ASG
2023-03-14,24250,24300,23600,24300,1100,ASG
2023-03-20,23600,24200,23600,24200,2700,ASG
2023-03-21,24000,24250,23800,23800,300,ASG
2023-03-22,24100,24100,24100,24100,100,ASG
2023-03-23,23800,23800,23800,23800,1100,ASG
2023-03-24,24100,24100,24100,24100,100,ASG
2023-03-27,23600,23600,23600,23600,5400,ASG
2023-03-28,23600,23600,23600,23600,100,ASG
2023-03-30,23500,23500,23500,23500,1500,ASG
2023-03-31,23400,23400,23400,23400,100,ASG
