time,open,high,low,close,volume,ticker
2023-01-03,34860,34860,34860,34860,100,AVC
2023-01-04,34860,34860,34860,34860,1300,AVC
2023-01-06,34860,34860,34770,34770,3600,AVC
2023-01-10,34860,34860,34410,34690,4100,AVC
2023-01-16,34770,34770,34770,34770,100,AVC
2023-01-19,34770,34860,34770,34860,900,AVC
2023-01-27,34770,34770,34770,34770,400,AVC
2023-01-30,35320,36130,35320,35760,1400,AVC
2023-01-31,35580,35580,35220,35220,1800,AVC
2023-02-01,35320,35320,35320,35320,1700,AVC
2023-02-02,35320,35320,35320,35320,5500,AVC
2023-02-03,35320,35320,35320,35320,4100,AVC
2023-02-06,35320,35320,35320,35320,2700,AVC
2023-02-07,35320,35320,35320,35320,100,AVC
2023-02-08,35320,35320,35320,35320,1700,AVC
2023-02-09,35320,35320,35130,35130,1300,AVC
2023-02-13,35320,35320,35050,35320,4400,AVC
2023-02-14,35130,35130,35130,35130,200,AVC
2023-02-15,35320,35320,34860,34860,4600,AVC
2023-02-20,35130,35130,34950,34950,3700,AVC
2023-02-21,36220,36220,35130,35130,300,AVC
2023-02-23,35320,35320,35320,35320,500,AVC
2023-02-24,35320,35320,35050,35050,5900,AVC
2023-02-27,35050,36220,35050,35220,900,AVC
2023-02-28,35050,35050,35050,35050,500,AVC
2023-03-03,36220,36220,36220,36220,100,AVC
2023-03-06,34490,35580,34490,35580,600,AVC
2023-03-07,35580,35580,35580,35580,100,AVC
2023-03-08,34410,35580,34410,35580,300,AVC
2023-03-10,35320,36220,35320,36220,4600,AVC
2023-03-13,34410,36220,34410,36220,300,AVC
2023-03-14,35760,35760,35760,35760,500,AVC
2023-03-15,35760,35760,35760,35760,800,AVC
2023-03-17,35320,36220,34860,34860,500,AVC
2023-03-20,35320,35320,35220,35220,400,AVC
2023-03-21,35320,35320,35320,35320,100,AVC
2023-03-22,35760,35760,35760,35760,400,AVC
2023-03-24,35320,35320,35320,35320,100,AVC
2023-03-27,35760,35760,35760,35760,300,AVC
2023-03-28,35760,35760,35760,35760,100,AVC
2023-03-31,35320,35320,35320,35320,200,AVC
2023-04-03,35680,35680,35680,35680,100,AVC
2023-04-04,34860,34860,34860,34860,1000,AVC
2023-04-06,35320,35320,35320,35320,100,AVC
