time,open,high,low,close,volume,ticker
2023-01-03,6330,8130,6330,6710,300,BBM
2023-01-04,6150,6150,6150,6150,100,BBM
2023-01-05,7000,7000,7000,7000,100,BBM
2023-01-09,8039,8039,8039,8039,1200,BBM
2023-01-10,9170,9170,9170,9170,1200,BBM
2023-01-11,9360,9360,8980,8980,600,BBM
2023-01-12,7940,10310,7940,10310,200,BBM
2023-01-13,8600,8600,8600,8600,600,BBM
2023-01-19,9360,9360,9360,9360,100,BBM
2023-01-27,9360,9360,9360,9360,500,BBM
2023-01-30,8039,8039,8039,8039,100,BBM
2023-01-31,9170,9170,7850,9170,900,BBM
2023-02-02,7940,7940,7940,7940,100,BBM
2023-02-03,9080,9080,9080,9080,200,BBM
2023-02-06,8980,8980,8980,8980,200,BBM
2023-02-17,8510,8510,8510,8510,300,BBM
2023-03-07,8510,8980,8510,8980,1900,BBM
2023-03-13,7560,7560,7560,7560,100,BBM
2023-03-16,8700,8700,8700,8700,400,BBM
2023-03-23,7560,7560,7560,7560,100,BBM
2023-03-24,8700,8700,8700,8700,200,BBM
2023-03-31,7470,7470,7470,7470,100,BBM
2023-04-03,8510,8510,8510,8510,100,BBM
2023-04-05,7280,7280,7280,7280,100,BBM
2023-04-06,8980,8980,8980,8980,100,BBM
2023-04-07,8039,8039,8039,8039,100,BBM
2023-04-11,9170,9170,9170,9170,1200,BBM
2023-04-13,9170,9170,9170,9170,100,BBM
2023-04-18,9170,9170,9170,9170,400,BBM
2023-04-19,9450,9450,9450,9450,400,BBM
2023-04-20,8980,8980,8980,8980,100,BBM
2023-04-21,9270,9270,9270,9270,100,BBM
2023-04-28,9360,9360,9360,9360,3100,BBM
2023-05-16,9450,9450,9450,9450,400,BBM
2023-05-22,10400,10400,10400,10400,100,BBM
2023-05-23,11300,11300,11300,11300,200,BBM
2023-05-29,9700,9700,9700,9700,100,BBM
2023-05-30,8300,8300,8300,8300,400,BBM
2023-05-31,9000,9000,9000,9000,200,BBM
2023-06-05,10200,10300,10200,10300,400,BBM
2023-06-09,10000,10000,10000,10000,100,BBM
2023-06-12,10000,10000,10000,10000,100,BBM
2023-06-22,10000,10000,10000,10000,100,BBM
2023-06-26,9900,9900,9900,9900,200,BBM
2023-06-28,9700,9700,9700,9700,200,BBM
2023-07-11,9700,9700,9700,9700,1300,BBM
2023-07-27,9800,9800,9700,9700,400,BBM
2023-08-01,9900,9900,9800,9800,200,BBM
2023-08-09,8500,8500,8500,8500,900,BBM
2023-08-11,9700,9700,9700,9700,1000,BBM
2023-09-06,11100,11100,10500,10500,200,BBM
2023-09-21,9200,9200,9200,9200,100,BBM
2023-09-22,8000,9000,8000,9000,200,BBM
2023-09-25,7300,9700,7300,9700,200,BBM
2023-09-27,9700,9700,9700,9700,100,BBM
2023-09-29,8400,10400,8400,10400,200,BBM
2023-10-03,8400,8400,8400,8400,200,BBM
2023-10-04,9700,9700,9700,9700,300,BBM
2023-10-09,8400,9600,8400,9600,300,BBM
