time,open,high,low,close,volume,ticker
2023-01-03,21780,21780,21780,21780,2200,BDG
2023-01-04,21870,22690,21870,22600,6900,BDG
2023-01-05,25670,25670,22600,22600,200,BDG
2023-01-06,22140,22140,22140,22140,600,BDG
2023-01-09,22140,22140,22140,22140,600,BDG
2023-01-10,21960,22140,21960,22140,200,BDG
2023-01-11,22050,22050,22050,22050,7300,BDG
2023-01-12,21690,21690,21690,21690,2000,BDG
2023-01-13,20790,21690,20790,21510,5600,BDG
2023-01-16,21510,21510,21420,21420,1400,BDG
2023-01-17,24680,24680,24680,24680,79300,BDG
2023-01-18,28290,28290,28290,28290,13700,BDG
2023-01-19,32450,32450,27300,28470,24300,BDG
2023-01-27,29380,29830,28020,28650,37300,BDG
2023-01-30,28650,28920,28110,28920,6500,BDG
2023-01-31,30280,30280,28470,28650,10500,BDG
2023-02-01,28650,29290,28650,28650,19700,BDG
2023-02-02,29200,29200,28020,28650,9500,BDG
2023-02-03,28650,28650,28470,28650,3000,BDG
2023-02-06,28380,28380,28380,28380,200,BDG
2023-02-07,28380,28380,28020,28380,3100,BDG
2023-02-08,28290,28290,28290,28290,6900,BDG
2023-02-09,28380,28650,28290,28290,7800,BDG
2023-02-10,27570,28380,27570,28380,8100,BDG
2023-02-13,31550,31550,27840,27840,8200,BDG
2023-02-14,28470,28470,28020,28020,500,BDG
2023-02-15,28290,28290,28020,28020,1100,BDG
2023-02-16,28110,28110,28110,28110,400,BDG
2023-02-17,28110,28110,28110,28110,100,BDG
2023-02-20,27660,28470,27660,28470,600,BDG
2023-02-21,28020,28470,27750,28020,4700,BDG
2023-02-22,27750,28470,27660,28470,6500,BDG
2023-02-23,27570,27570,27570,27570,1100,BDG
2023-02-24,27570,27570,27570,27570,8700,BDG
2023-02-27,27480,27480,27120,27390,5500,BDG
2023-02-28,27300,27300,27120,27120,2000,BDG
2023-03-01,27570,27570,27570,27570,2200,BDG
2023-03-02,27570,28020,27570,27570,26100,BDG
2023-03-03,27210,27210,27120,27120,4900,BDG
2023-03-06,27480,27480,27480,27480,100,BDG
2023-03-07,30460,30460,26300,27390,6900,BDG
2023-03-08,29830,29830,26750,27480,4200,BDG
2023-03-09,27210,27480,27210,27390,1000,BDG
2023-03-10,27390,27390,27300,27300,8400,BDG
2023-03-13,26570,26660,26570,26660,1300,BDG
2023-03-14,27120,27210,27120,27120,1400,BDG
2023-03-15,28920,28920,26850,27120,13700,BDG
2023-03-16,27120,27120,26850,27120,2400,BDG
2023-03-17,27030,27030,27030,27030,100,BDG
2023-03-20,27030,27030,26750,26750,7500,BDG
2023-03-21,26940,26940,26660,26750,5600,BDG
2023-03-22,27120,27120,27120,27120,100,BDG
2023-03-23,26850,26850,26850,26850,200,BDG
2023-03-24,26850,26850,26660,26660,1400,BDG
2023-03-27,26750,26750,26750,26750,200,BDG
2023-03-28,26750,26750,26750,26750,1000,BDG
2023-03-29,26750,26750,26750,26750,500,BDG
2023-03-30,27030,27030,26940,27030,2200,BDG
2023-04-03,26660,26660,26660,26660,900,BDG
2023-04-04,27030,27030,27030,27030,500,BDG
2023-04-05,26210,26660,26210,26210,3600,BDG
2023-04-06,25940,25940,25940,25940,100,BDG
2023-04-07,25850,25940,25850,25850,3300,BDG
2023-04-07,25850,25850,25850,25850,200,BDG
2023-04-10,26120,26120,26120,26120,500,BDG
2023-04-11,25310,25310,24860,24860,1600,BDG
2023-04-12,25220,25220,25220,25220,100,BDG
2023-04-13,26210,26210,25760,25760,2800,BDG
2023-04-14,25850,25940,25850,25940,3400,BDG
2023-04-17,25850,25940,25850,25940,1900,BDG
2023-04-18,25940,26210,25940,26210,1900,BDG
2023-04-19,25850,25850,25850,25850,400,BDG
2023-04-20,26210,26210,26210,26210,800,BDG
2023-04-21,25310,25760,25310,25760,4500,BDG
2023-04-24,25670,25670,24950,24950,2000,BDG
2023-04-25,25310,25310,25310,25310,100,BDG
2023-04-26,25040,25310,25040,25310,1000,BDG
2023-04-27,26210,26210,26210,26210,200,BDG
2023-04-28,26210,26210,26210,26210,500,BDG
2023-05-04,26030,26030,26030,26030,1000,BDG
2023-05-05,26030,26030,26030,26030,2000,BDG
2023-05-08,25400,25760,25400,25400,3500,BDG
2023-05-09,25310,25310,25310,25310,2100,BDG
2023-05-10,24680,24680,24400,24400,3500,BDG
2023-05-11,24860,25310,24400,25310,4600,BDG
2023-05-12,25040,25040,25040,25040,100,BDG
2023-05-15,24860,25310,24860,25310,700,BDG
2023-05-26,24680,25130,24680,25130,700,BDG
2023-05-30,26210,26210,26120,26120,200,BDG
2023-05-31,25760,25760,25760,25760,200,BDG
2023-06-02,25760,25760,25760,25760,200,BDG
2023-06-05,26660,26660,26660,26660,100,BDG
2023-06-09,26030,26030,25760,25760,2200,BDG
2023-06-13,26210,27120,26210,27030,6600,BDG
2023-06-14,26660,26660,26210,26210,500,BDG
2023-06-15,25760,26210,25760,25760,2900,BDG
2023-06-16,25940,25940,25670,25670,4900,BDG
2023-06-19,26120,26120,26120,26120,100,BDG
2023-06-20,25940,25940,25580,25580,2600,BDG
2023-06-21,25760,25760,25760,25760,1100,BDG
2023-06-22,25760,25760,25580,25580,15500,BDG
2023-06-23,25580,25670,25310,25310,9300,BDG
2023-06-26,25760,25760,25760,25760,300,BDG
2023-06-27,25760,25850,25400,25760,1000,BDG
2023-06-28,25400,25850,25310,25310,3400,BDG
2023-06-29,25760,25760,25310,25310,12300,BDG
2023-06-30,25760,25760,25400,25400,600,BDG
2023-07-03,25670,25670,25670,25670,1000,BDG
2023-07-04,25850,25850,25670,25670,1700,BDG
2023-07-05,25400,25760,25400,25760,400,BDG
2023-07-06,25400,25760,25400,25580,300,BDG
2023-07-07,25580,25760,25580,25760,1300,BDG
2023-07-10,26210,26210,26030,26030,200,BDG
2023-07-11,26120,26210,26120,26210,400,BDG
2023-07-12,26030,26030,26030,26030,100,BDG
2023-07-13,26210,26210,26210,26210,100,BDG
2023-07-14,25400,26120,25400,25940,9900,BDG
2023-07-17,26030,26210,26030,26210,1800,BDG
2023-07-18,26660,26660,26300,26480,1200,BDG
2023-07-19,26660,27120,26570,26570,2600,BDG
2023-07-20,26390,27120,26390,27120,400,BDG
2023-07-21,29830,29830,26480,27120,2200,BDG
2023-07-24,30730,30730,27120,27120,700,BDG
2023-07-25,27930,27930,26300,27300,9400,BDG
2023-07-26,27570,27840,26300,26300,1100,BDG
2023-07-27,27390,27390,26300,27300,5200,BDG
2023-07-28,27390,27390,27120,27300,10900,BDG
2023-07-31,30730,30730,27480,27480,600,BDG
2023-08-01,27120,27120,26660,26750,4600,BDG
2023-08-02,27120,27120,26660,26660,4100,BDG
2023-08-03,29650,29650,26750,27210,1900,BDG
2023-08-04,26750,27300,26750,27300,2200,BDG
2023-08-07,27390,28020,27390,27750,56900,BDG
2023-08-09,28020,29100,28020,28560,24500,BDG
2023-08-10,28470,28740,28200,28290,12600,BDG
2023-08-11,28200,28200,28020,28110,16600,BDG
2023-08-14,28470,29010,28470,28830,32800,BDG
2023-08-15,28830,28920,28650,28830,36800,BDG
2023-08-16,28830,28830,28470,28740,29900,BDG
2023-08-17,28740,28830,27570,28290,76700,BDG
2023-08-18,29000,29000,27100,27100,31300,BDG
2023-08-21,27700,27900,27000,27000,12800,BDG
2023-08-22,27800,27800,26000,26300,73100,BDG
2023-08-23,26300,26500,26300,26300,5100,BDG
2023-08-24,27900,29900,26200,26200,5100,BDG
2023-08-25,26200,26700,26200,26700,2800,BDG
2023-08-28,26600,26900,26400,26800,4400,BDG
2023-08-29,26500,26700,26500,26500,3100,BDG
2023-08-30,26600,26900,26500,26500,6700,BDG
2023-08-31,26500,26800,26300,26800,7200,BDG
2023-09-05,26800,27500,26500,27000,6300,BDG
2023-09-06,27100,27600,27000,27300,10000,BDG
2023-09-07,27600,28000,27500,28000,4700,BDG
2023-09-08,26800,28400,23800,27900,6500,BDG
2023-09-11,26800,29000,26800,27700,3400,BDG
2023-09-12,28900,28900,27600,28100,3900,BDG
2023-09-13,28300,28300,27600,27700,9300,BDG
2023-09-14,27600,27600,27500,27600,1500,BDG
2023-09-15,27600,27600,27600,27600,3400,BDG
2023-09-18,27200,27300,27200,27300,3200,BDG
2023-09-19,27500,27500,27400,27400,4600,BDG
2023-09-20,27700,27900,27500,27900,7600,BDG
2023-09-21,27500,27500,27400,27500,7300,BDG
2023-09-22,27200,27800,26700,27800,5300,BDG
2023-09-25,27400,27400,26500,26500,8000,BDG
2023-09-26,27100,27100,26500,26500,2400,BDG
2023-09-27,26900,26900,26100,26700,3900,BDG
2023-09-28,27100,27100,26300,26300,9400,BDG
2023-09-29,30000,30000,26500,26500,300,BDG
2023-10-02,26700,26900,26700,26900,600,BDG
2023-10-03,26800,26800,26300,26800,2800,BDG
2023-10-05,27000,27000,26800,26800,1200,BDG
2023-10-06,26600,26800,26500,26500,1500,BDG
2023-10-09,27200,27200,26600,27000,4500,BDG
2023-10-10,26900,27000,26600,27000,12400,BDG
2023-10-11,27000,27500,26800,27500,2700,BDG
2023-10-12,27400,27600,27400,27500,4400,BDG
2023-10-13,26700,27500,26700,27400,3200,BDG
