time,open,high,low,close,volume,ticker
2023-01-03,15270,15950,15190,15900,63300,BFC
2023-01-04,15900,16390,15680,15850,122700,BFC
2023-01-05,16030,16079,15410,15720,74300,BFC
2023-01-06,15850,15900,15500,15630,26100,BFC
2023-01-09,15460,15630,15360,15410,72100,BFC
2023-01-10,15410,15590,15410,15540,24200,BFC
2023-01-11,15720,16170,15360,15720,122000,BFC
2023-01-12,15900,15900,15360,15630,44300,BFC
2023-01-13,15630,15720,15270,15460,115900,BFC
2023-01-16,15540,15630,15360,15630,54900,BFC
2023-01-17,15770,15770,15490,15630,109500,BFC
2023-01-18,15860,15860,15680,15860,89200,BFC
2023-01-19,16000,16140,16000,16050,95300,BFC
2023-01-27,16460,16460,16190,16460,56000,BFC
2023-01-30,16460,16650,16329,16460,113400,BFC
2023-01-31,16230,16830,16140,16460,283500,BFC
2023-02-01,16560,16740,16090,16090,107200,BFC
2023-02-02,16090,16090,15080,15490,100600,BFC
2023-02-03,15490,15720,15400,15540,64700,BFC
2023-02-06,15540,15680,15450,15590,35800,BFC
2023-02-07,15450,15720,15310,15310,46200,BFC
2023-02-08,15080,15490,14980,15400,21100,BFC
2023-02-09,15490,15770,15450,15720,36600,BFC
2023-02-10,15820,15860,15490,15720,10400,BFC
2023-02-13,15720,15720,14980,14980,76200,BFC
2023-02-14,15030,15310,15030,15310,16700,BFC
2023-02-15,15350,15630,15350,15630,12300,BFC
2023-02-16,15720,15720,15310,15680,37700,BFC
2023-02-17,15820,16090,15820,16050,334700,BFC
2023-02-20,16140,16190,15910,16190,66100,BFC
2023-02-21,16090,16280,15820,15960,73100,BFC
2023-02-22,15910,15910,15590,15630,58100,BFC
2023-02-23,15400,15630,15350,15630,40600,BFC
2023-02-24,15630,15630,15260,15260,60400,BFC
2023-02-27,14980,15170,14940,14940,40800,BFC
2023-02-28,14890,15120,14890,14980,68800,BFC
2023-03-01,14980,15310,14980,15260,17300,BFC
2023-03-02,15260,15450,14940,15350,27800,BFC
2023-03-03,15350,15540,15080,15450,26500,BFC
2023-03-06,15630,15630,15310,15450,16600,BFC
2023-03-07,15540,15630,14890,14890,179300,BFC
2023-03-08,14940,15170,14940,15120,8600,BFC
2023-03-09,15170,15310,15120,15120,19600,BFC
2023-03-10,15220,15260,15120,15170,30300,BFC
2023-03-13,14980,15220,14980,15220,23100,BFC
2023-03-14,15220,15220,14850,15080,20500,BFC
2023-03-15,15120,15450,15120,15310,158500,BFC
2023-03-16,15080,15220,15080,15220,15000,BFC
2023-03-17,15080,15170,14980,15120,34600,BFC
2023-03-20,14940,15120,14850,15080,52900,BFC
2023-03-21,15120,15260,15120,15220,36500,BFC
2023-03-22,14980,15080,14980,15080,400,BFC
2023-03-23,15120,15120,15030,15030,2900,BFC
