time,open,high,low,close,volume,ticker
2023-01-03,24590,25730,24300,25730,50700,BIC
2023-01-04,25070,26110,24780,25640,14600,BIC
2023-01-05,24110,26500,24110,25640,6500,BIC
2023-01-06,24830,25730,24830,25540,7600,BIC
2023-01-09,25540,25540,24640,25540,3200,BIC
2023-01-10,25400,25400,24590,24590,4300,BIC
2023-01-11,24590,24730,24300,24300,7200,BIC
2023-01-12,23920,24640,23830,24300,8000,BIC
2023-01-13,24160,25920,23730,25920,29300,BIC
2023-01-16,25690,25690,24880,25260,5100,BIC
2023-01-17,24880,26110,24880,26020,12200,BIC
2023-01-18,25210,26020,25210,25260,6400,BIC
2023-01-19,24970,25920,24920,25920,12100,BIC
2023-01-27,25920,26110,25300,25880,15100,BIC
2023-01-30,25730,26160,25540,25540,13100,BIC
2023-01-31,25540,27160,25260,27160,37200,BIC
2023-02-01,26210,27160,25920,25920,19500,BIC
2023-02-02,25400,27110,25400,26590,4100,BIC
2023-02-03,25730,25730,25540,25540,7800,BIC
2023-02-06,26070,26070,25160,25160,4900,BIC
2023-02-07,25210,26500,24590,25160,4100,BIC
2023-02-08,25070,25300,24880,25160,4500,BIC
2023-02-09,24780,26160,24780,25920,15500,BIC
2023-02-10,25920,25920,24970,24970,2700,BIC
2023-02-13,24780,25690,24780,25300,6700,BIC
2023-02-14,25300,25300,24920,25110,2900,BIC
2023-02-15,25830,25830,24490,25260,2800,BIC
2023-02-16,24830,25260,24780,25260,8700,BIC
2023-02-17,24970,25730,24970,25350,2500,BIC
2023-02-20,25350,25730,24970,25590,9600,BIC
2023-02-21,25640,25640,25160,25490,4700,BIC
2023-02-22,25590,25590,24880,25450,3800,BIC
2023-02-23,25210,25350,24450,25350,5200,BIC
2023-02-24,24830,25730,24830,25730,11300,BIC
2023-02-27,24830,26020,24830,26020,12000,BIC
2023-02-28,25210,26210,25210,26110,25600,BIC
2023-03-01,25260,26110,25210,25970,2300,BIC
2023-03-02,26210,26210,24970,26020,8200,BIC
2023-03-03,25110,26020,24880,25920,6600,BIC
2023-03-06,25110,25970,24780,25690,41900,BIC
2023-03-07,25020,25590,24590,25350,11400,BIC
2023-03-08,24680,25350,24400,25210,19500,BIC
2023-03-09,25070,25110,24400,24970,14500,BIC
2023-03-10,24590,24970,24400,24970,15500,BIC
2023-03-13,24450,24830,24300,24300,11300,BIC
2023-03-14,24350,24680,24110,24110,5900,BIC
2023-03-15,24160,25490,24160,25490,19800,BIC
2023-03-16,25260,25260,24830,25260,2000,BIC
2023-03-17,24970,25260,24780,25210,5500,BIC
2023-03-20,24880,24880,24540,24830,8700,BIC
2023-03-21,24490,25110,23970,25070,10900,BIC
2023-03-22,24780,24780,24780,24780,100,BIC
2023-03-23,25260,25260,25260,25260,100,BIC
2023-03-24,24680,25110,24490,24490,1600,BIC
2023-03-27,24970,24970,24970,24970,200,BIC
2023-03-28,24640,25640,24540,24920,152200,BIC
2023-03-29,25830,26210,25070,26210,125700,BIC
2023-03-30,26880,27160,26690,27160,46500,BIC
2023-03-31,25920,26640,25920,26110,29300,BIC
2023-04-03,26300,26300,26300,26300,5100,BIC
2023-04-04,25920,26690,25920,25970,500,BIC
2023-04-05,25880,26300,25880,26300,200,BIC
2023-04-06,26210,26830,26210,26350,8500,BIC
2023-04-07,26690,27350,26690,27070,27800,BIC
2023-04-10,26260,27260,26260,27260,49000,BIC
2023-04-11,27070,29070,26830,28500,114700,BIC
2023-04-12,26880,29160,26780,29160,444500,BIC
2023-04-13,26880,28590,26640,26690,183400,BIC
