time,open,high,low,close,volume,ticker
2023-01-03,4810,5090,4620,5090,99500,BMS
2023-01-04,4810,5280,4810,5090,41600,BMS
2023-01-05,5000,5090,4810,4910,66700,BMS
2023-01-06,4910,5000,4720,4810,42500,BMS
2023-01-09,4810,5000,4720,4910,30600,BMS
2023-01-10,4810,4910,4720,4810,29900,BMS
2023-01-11,4810,5000,4810,4810,68900,BMS
2023-01-12,5000,5190,4910,4910,115800,BMS
2023-01-13,5090,5090,4810,4810,52600,BMS
2023-01-16,4810,5000,4720,4910,25700,BMS
2023-01-17,5000,5190,5000,5190,35500,BMS
2023-01-18,5000,5190,5000,5190,104300,BMS
2023-01-19,5090,5380,5000,5380,128500,BMS
2023-01-27,5280,5470,5090,5280,49100,BMS
2023-01-30,5380,5570,5190,5470,85400,BMS
2023-01-31,5570,5570,5280,5470,67400,BMS
2023-02-01,5380,5570,5090,5090,150100,BMS
2023-02-02,5190,5380,5000,5090,57000,BMS
2023-02-03,5090,5280,5000,5090,28000,BMS
2023-02-06,5090,5190,5000,5090,26200,BMS
2023-02-07,5190,5190,5000,5090,44300,BMS
2023-02-08,4910,5090,4810,5090,36200,BMS
2023-02-09,5000,5090,4810,5090,39400,BMS
2023-02-10,5000,5000,4810,4910,44500,BMS
2023-02-13,4910,4910,4340,4620,73300,BMS
2023-02-14,4720,4720,4620,4720,6600,BMS
2023-02-15,4810,4910,4720,4720,48000,BMS
2023-02-16,4810,4910,4810,4810,36100,BMS
2023-02-17,4810,4810,4720,4720,73800,BMS
2023-02-20,4810,5000,4810,5000,75500,BMS
2023-02-21,5000,5190,4910,4910,37200,BMS
2023-02-22,5000,5000,4810,4810,37100,BMS
2023-02-23,4720,4720,4620,4720,42900,BMS
2023-02-24,4810,4810,4620,4620,35100,BMS
2023-02-27,4620,4620,4530,4530,39400,BMS
2023-02-28,4620,4720,4620,4620,75400,BMS
2023-03-01,4910,5000,4720,5000,84600,BMS
2023-03-02,5190,5190,4810,4810,42700,BMS
2023-03-03,5190,5190,4810,4910,56600,BMS
2023-03-06,4910,5000,4810,5000,9900,BMS
2023-03-07,5380,5380,4810,4910,51000,BMS
2023-03-08,4910,4910,4810,4910,10700,BMS
2023-03-09,5000,5000,4810,4810,66600,BMS
2023-03-10,4720,4810,4720,4810,20600,BMS
2023-03-13,4810,4810,4620,4810,109300,BMS
2023-03-14,4720,4910,4720,4810,33400,BMS
2023-03-15,4810,5090,4810,5090,76700,BMS
2023-03-16,5090,5090,4810,4910,7200,BMS
2023-03-17,5090,5090,4810,4910,10300,BMS
2023-03-20,4910,4910,4720,4810,19400,BMS
2023-03-21,4720,4910,4720,4810,3600,BMS
2023-03-22,5000,5000,5000,5000,200,BMS
2023-03-23,4810,4810,4720,4720,900,BMS
2023-03-24,4910,5090,4910,5000,3900,BMS
2023-03-27,5000,5000,5000,5000,1400,BMS
2023-03-28,5000,5280,5000,5280,48500,BMS
2023-03-29,5090,5090,4810,5090,11000,BMS
2023-03-30,5190,5190,5190,5190,3900,BMS
2023-03-31,5090,5090,5000,5090,2400,BMS
2023-04-03,5380,5380,5380,5380,30000,BMS
2023-04-04,5470,5660,5280,5570,60900,BMS
2023-04-05,6230,6600,6130,6420,337300,BMS
2023-04-06,7080,7450,6790,6790,326300,BMS
2023-04-07,6600,6980,6230,6510,146300,BMS
2023-04-10,6600,7080,6420,6420,150600,BMS
2023-04-11,6700,6890,6130,6510,208200,BMS
2023-04-12,6420,6890,6320,6510,88300,BMS
2023-04-13,6600,6700,6230,6320,85700,BMS
2023-04-14,6420,6600,6230,6320,270900,BMS
2023-04-17,6420,6420,6130,6320,37300,BMS
2023-04-18,6320,6420,5940,6230,141600,BMS
2023-04-19,6230,6980,6230,6510,275700,BMS
2023-04-20,6510,6700,6230,6320,68000,BMS
2023-04-21,6510,6890,6320,6790,159800,BMS
2023-04-24,6790,7170,6600,7170,105400,BMS
2023-04-25,6980,6980,6230,6510,137800,BMS
2023-04-26,6510,6600,6320,6510,36500,BMS
2023-04-27,6600,6600,6600,6600,900,BMS
2023-04-28,6420,6700,6420,6510,91000,BMS
2023-05-04,6420,6700,6420,6700,88900,BMS
2023-05-05,6790,7170,6790,6890,243300,BMS
2023-05-08,6980,7920,6980,7830,348200,BMS
