time,open,high,low,close,volume,ticker
2023-01-10,9290,9290,9290,9290,100,BPC
2023-01-19,9000,9000,8900,8900,300,BPC
2023-01-27,9780,9780,9780,9780,2100,BPC
2023-02-03,9290,9290,9290,9290,100,BPC
2023-02-06,10170,10170,10170,10170,100,BPC
2023-02-08,9190,9780,9190,9780,600,BPC
2023-02-09,10760,10760,10760,10760,100,BPC
2023-02-10,10760,10760,10760,10760,500,BPC
2023-02-14,11730,11730,11640,11730,7600,BPC
2023-02-15,11730,12710,11730,12710,4000,BPC
2023-02-20,11440,11440,11440,11440,500,BPC
2023-02-21,12520,12520,12520,12520,100,BPC
2023-02-22,11340,11340,11340,11340,200,BPC
2023-02-23,12420,12420,12420,12420,400,BPC
2023-02-24,12710,12710,12710,12710,200,BPC
2023-02-28,12610,12610,12610,12610,300,BPC
2023-03-03,11640,11640,11640,11640,100,BPC
2023-03-06,11240,11240,11240,11240,1000,BPC
2023-03-07,10170,10170,10170,10170,1200,BPC
2023-03-08,10950,10950,10950,10950,100,BPC
2023-03-09,10270,10270,10270,10270,100,BPC
2023-03-10,10950,10950,10950,10950,100,BPC
2023-03-14,9880,9880,9880,9880,2000,BPC
2023-03-15,8900,8900,8900,8900,5100,BPC
2023-03-16,8410,8510,8020,8510,10400,BPC
2023-03-17,8510,8510,7720,8119,9300,BPC
2023-03-20,8900,8900,8900,8900,300,BPC
2023-03-22,9780,9780,9780,9780,100,BPC
2023-04-04,8800,8800,8800,8800,100,BPC
2023-04-05,9680,9680,9680,9680,100,BPC
2023-04-13,9780,9780,9780,9780,1600,BPC
2023-04-20,8410,8410,8410,8410,100,BPC
2023-04-21,9190,9190,9190,9190,100,BPC
2023-05-05,9780,9780,9780,9780,100,BPC
2023-05-11,10560,10560,10560,10560,100,BPC
2023-05-15,9580,9580,9580,9580,400,BPC
2023-05-24,8800,9000,8800,9000,900,BPC
2023-05-26,8900,8900,8900,8900,100,BPC
2023-05-31,8310,8510,8310,8410,3400,BPC
2023-06-01,9190,9190,9190,9190,6200,BPC
2023-06-08,8800,8800,8410,8600,10000,BPC
2023-06-09,8600,8600,8600,8600,700,BPC
2023-06-12,8410,8600,8410,8600,13100,BPC
2023-06-14,9390,9390,8600,8600,400,BPC
2023-06-15,9390,9390,8310,8310,200,BPC
2023-06-16,9090,9090,9090,9090,4500,BPC
2023-06-19,8310,8510,8310,8510,700,BPC
2023-06-20,9090,9090,9090,9090,100,BPC
2023-06-21,8410,8510,8410,8510,300,BPC
2023-06-22,9290,9290,8800,8800,200,BPC
2023-06-23,9680,9680,9680,9680,900,BPC
2023-06-27,8800,8800,8800,8800,1400,BPC
2023-06-30,9680,9680,8410,8410,200,BPC
2023-07-03,9190,9190,9190,9190,1300,BPC
2023-07-04,9780,10070,9780,9780,13900,BPC
2023-07-05,10760,10760,9780,9780,4000,BPC
2023-07-06,10760,10760,9780,9780,2200,BPC
2023-07-10,10760,10760,8900,9290,4500,BPC
2023-07-11,9290,9290,9290,9290,900,BPC
2023-07-12,10170,10170,9190,9190,200,BPC
2023-07-13,9190,9190,9190,9190,2400,BPC
2023-07-14,10070,10070,9290,9290,200,BPC
2023-07-17,10170,10170,10170,10170,100,BPC
2023-07-19,9780,9780,9780,9780,100,BPC
2023-07-20,10760,10760,9780,9780,5400,BPC
2023-07-24,10760,10760,9580,9580,8000,BPC
2023-07-25,10460,10460,9680,9680,200,BPC
2023-07-26,10560,10560,10560,10560,100,BPC
2023-07-27,9970,9970,9970,9970,5800,BPC
2023-07-28,9780,9780,9780,9780,10200,BPC
2023-08-01,10760,10760,10760,10760,100,BPC
2023-08-02,10270,10270,9780,9780,6600,BPC
2023-08-03,10760,10760,9780,9780,4000,BPC
2023-08-04,9580,9580,9390,9390,1900,BPC
2023-08-07,9390,9390,9390,9390,3300,BPC
2023-08-08,9390,9390,9390,9390,33400,BPC
2023-08-10,9390,9390,9390,9390,2500,BPC
2023-08-14,9390,9390,9390,9390,2000,BPC
2023-08-18,9580,9580,8800,8800,11400,BPC
2023-08-21,8020,8020,8020,8020,900,BPC
2023-08-23,8800,8800,8800,8800,1100,BPC
2023-08-29,8800,8800,8800,8800,3000,BPC
2023-09-07,8600,9500,8600,9500,15100,BPC
2023-09-13,8800,10000,8800,10000,8800,BPC
2023-09-18,9000,9000,9000,9000,12900,BPC
2023-09-19,8600,9300,8500,9300,1300,BPC
2023-09-20,8600,9300,8600,9300,3100,BPC
2023-09-25,8800,8800,8800,8800,100,BPC
2023-09-26,8800,9000,8800,8800,5300,BPC
2023-09-29,9300,9300,9300,9300,100,BPC
2023-10-09,8600,9000,8600,9000,3100,BPC
2023-10-12,9300,9900,9300,9900,1900,BPC
