time,open,high,low,close,volume,ticker
2023-01-04,20780,20780,20780,20780,100,BRS
2023-01-19,20780,20780,17670,17670,1000,BRS
2023-01-27,18890,18890,18890,18890,100,BRS
2023-02-14,16059,16059,16059,16059,1500,BRS
2023-02-16,18420,18420,18420,18420,100,BRS
2023-02-20,18420,18420,18420,18420,100,BRS
2023-02-21,21160,21160,21160,21160,100,BRS
2023-02-22,24280,24280,24280,24280,1200,BRS
2023-02-23,25510,25510,25510,25510,1100,BRS
2023-02-24,29280,29280,29280,29280,100,BRS
2023-02-27,30230,30230,29190,29190,600,BRS
2023-02-28,28340,28340,28340,28340,100,BRS
2023-03-01,24090,24090,24090,24090,100,BRS
2023-03-02,20500,22960,20500,22960,400,BRS
2023-03-03,24280,24280,24280,24280,600,BRS
2023-03-06,20590,20590,20590,20590,200,BRS
2023-03-09,23140,23140,23140,23140,100,BRS
2023-03-17,26360,26360,26360,26360,100,BRS
2023-03-21,22480,26360,22480,26360,1700,BRS
2023-03-23,26070,26070,26070,26070,100,BRS
2023-03-24,22010,22010,22010,22010,500,BRS
2023-03-27,25220,25220,25220,25220,100,BRS
2023-03-28,29000,29000,26450,26450,200,BRS
2023-03-31,23620,23620,23620,23620,800,BRS
2023-04-04,24560,24560,24560,24560,100,BRS
2023-04-05,24560,24560,24560,24560,100,BRS
2023-04-11,22670,22670,20880,20880,400,BRS
2023-04-12,18890,22670,18890,22670,300,BRS
2023-05-04,24940,24940,24940,24940,100,BRS
2023-05-05,24090,24090,24090,24090,900,BRS
2023-05-10,20780,20780,20780,20780,100,BRS
2023-05-15,21350,21350,21350,21350,100,BRS
2023-05-23,24470,24470,24470,24470,100,BRS
2023-05-29,28060,28060,27400,27400,300,BRS
2023-06-01,31650,31650,31650,31650,100,BRS
2023-06-05,31170,31170,26920,26920,500,BRS
2023-06-06,23620,24560,23620,23620,2200,BRS
2023-06-07,20120,20120,20120,20120,200,BRS
2023-06-09,19840,23050,19840,23050,600,BRS
2023-06-12,21440,21440,21440,21440,100,BRS
2023-06-15,21730,21730,21730,21730,1100,BRS
2023-06-16,21730,21730,21730,21730,300,BRS
2023-06-19,23140,23140,23140,23140,100,BRS
2023-06-21,26360,26360,26360,26360,100,BRS
2023-06-22,26360,26360,25510,25510,500,BRS
2023-06-23,25980,25980,25510,25510,800,BRS
2023-06-26,22960,22960,22960,22960,500,BRS
2023-06-29,22960,22960,22960,22960,400,BRS
2023-07-05,19550,19650,19550,19650,500,BRS
2023-07-06,19550,19550,19550,19550,700,BRS
2023-07-07,19550,19840,19550,19840,500,BRS
2023-07-10,16720,19840,16720,19840,300,BRS
2023-07-12,20780,20780,20780,20780,100,BRS
2023-07-13,23900,23900,23900,23900,100,BRS
2023-07-24,20400,20700,20400,20700,400,BRS
2023-07-25,21100,21100,21100,21100,100,BRS
2023-07-28,21000,21000,21000,21000,300,BRS
2023-07-31,19300,19300,19300,19300,100,BRS
2023-08-01,19300,19300,19300,19300,1900,BRS
2023-08-02,20600,20600,20600,20600,700,BRS
2023-08-03,20600,20600,20600,20600,100,BRS
2023-08-04,20600,22000,20600,22000,200,BRS
2023-08-07,21300,21300,21300,21300,200,BRS
2023-08-09,21300,21300,21300,21300,400,BRS
2023-08-10,21300,21700,21300,21700,1200,BRS
2023-08-14,20000,20000,20000,20000,100,BRS
2023-08-15,20000,20000,20000,20000,300,BRS
2023-08-18,21000,21000,21000,21000,500,BRS
2023-08-23,21000,21000,21000,21000,500,BRS
2023-08-30,21000,21000,21000,21000,500,BRS
2023-09-05,21000,21000,21000,21000,400,BRS
2023-09-12,21000,21000,21000,21000,200,BRS
2023-09-13,22500,24100,22500,24100,2100,BRS
2023-09-14,27600,27600,27600,27600,200,BRS
2023-09-15,22000,29000,22000,29000,300,BRS
2023-09-18,27000,27000,23000,26000,400,BRS
2023-09-19,24800,24800,24800,24800,300,BRS
2023-09-20,24700,24700,24700,24700,1500,BRS
2023-09-22,21400,21400,21400,21400,100,BRS
2023-09-25,21400,21400,21400,21400,1100,BRS
2023-09-28,21400,21400,21400,21400,100,BRS
2023-09-29,21500,21500,21500,21500,900,BRS
2023-10-05,21000,21000,21000,21000,100,BRS
2023-10-13,21200,21200,21200,21200,200,BRS
