time,open,high,low,close,volume,ticker
2023-01-09,15870,15870,15870,15870,200,BSP
2023-01-13,14340,14340,14340,14340,500,BSP
2023-02-01,13380,13380,12620,12620,3500,BSP
2023-02-02,15010,15100,12910,12910,3500,BSP
2023-02-03,12910,12910,12520,12520,4700,BSP
2023-02-06,14240,14430,13860,14150,5500,BSP
2023-02-07,14150,14150,14150,14150,100,BSP
2023-02-09,12910,12910,12910,12910,4000,BSP
2023-02-10,14820,14820,13100,13100,1600,BSP
2023-02-16,15200,15200,15200,15200,300,BSP
2023-02-17,13000,13000,13000,13000,400,BSP
2023-02-20,14240,14240,12040,12040,3900,BSP
2023-02-22,11090,11090,11090,11090,13000,BSP
2023-02-23,12520,12710,10710,10710,3200,BSP
2023-02-28,10040,10040,10040,10040,100,BSP
2023-03-03,11470,11470,11470,11470,100,BSP
2023-03-07,12330,12330,12330,12330,500,BSP
2023-03-09,10990,10990,10990,10990,700,BSP
2023-03-10,12140,12140,9560,9560,3100,BSP
2023-03-13,11090,11090,10990,10990,200,BSP
2023-03-14,10990,10990,10990,10990,500,BSP
2023-03-20,9750,9750,9750,9750,3100,BSP
2023-03-22,10040,10040,10040,10040,3500,BSP
2023-03-23,10130,10130,10130,10130,100,BSP
2023-03-24,10040,10040,10040,10040,1900,BSP
2023-03-28,9560,9560,9560,9560,1000,BSP
2023-03-29,9750,9750,9750,9750,800,BSP
2023-03-31,9750,9750,9750,9750,1000,BSP
2023-04-03,9750,9750,9750,9750,1000,BSP
2023-04-04,10130,10130,10130,10130,8000,BSP
2023-04-06,9850,9850,9850,9850,100,BSP
2023-04-10,10040,10040,10040,10040,1000,BSP
2023-04-11,10130,10130,10130,10130,11300,BSP
2023-04-12,10990,10990,9850,9850,700,BSP
2023-04-18,9940,9940,9940,9940,600,BSP
2023-04-20,10130,10130,10130,10130,900,BSP
2023-05-08,10230,10230,10230,10230,2100,BSP
2023-05-17,10230,10230,10230,10230,100,BSP
2023-05-18,10420,10420,10420,10420,200,BSP
2023-05-22,10800,10800,10800,10800,2400,BSP
2023-05-23,10800,10800,10800,10800,100,BSP
2023-05-26,10230,10230,10230,10230,100,BSP
2023-06-01,11660,11660,11660,11660,500,BSP
2023-06-06,10610,10610,10610,10610,200,BSP
2023-06-08,11570,11570,11570,11570,100,BSP
2023-06-09,10520,10520,10520,10520,1000,BSP
2023-06-13,10610,10610,10610,10610,400,BSP
2023-06-14,10320,10520,10320,10520,1500,BSP
2023-06-22,10610,10990,10610,10990,1900,BSP
2023-07-03,12000,12000,12000,12000,100,BSP
2023-07-04,12000,12000,12000,12000,100,BSP
2023-07-10,13000,13000,13000,13000,200,BSP
2023-07-11,11100,11100,11100,11100,1000,BSP
2023-07-13,11400,11400,11200,11200,200,BSP
2023-07-21,11500,11500,11500,11500,500,BSP
2023-07-25,11300,11300,11000,11000,1800,BSP
2023-07-31,10900,10900,10900,10900,300,BSP
2023-08-01,10800,10800,10200,10300,3600,BSP
2023-08-02,10400,11400,10400,11400,1300,BSP
2023-08-04,10700,11000,10600,10600,2900,BSP
2023-08-08,11100,11100,10700,10700,600,BSP
2023-08-09,10900,10900,10800,10800,400,BSP
2023-08-10,10500,10500,10500,10500,300,BSP
2023-08-11,10500,11100,10500,11100,1500,BSP
2023-08-14,10900,10900,10900,10900,700,BSP
2023-08-15,10800,10800,10800,10800,500,BSP
2023-08-16,10500,10800,10500,10800,1200,BSP
2023-08-17,10600,10600,10600,10600,5000,BSP
2023-08-18,10600,10600,10600,10600,500,BSP
2023-08-23,11000,11700,11000,11700,10500,BSP
2023-08-24,10900,10900,10900,10900,2000,BSP
2023-08-25,10900,10900,10900,10900,2000,BSP
2023-08-28,10900,10900,10900,10900,600,BSP
2023-09-05,10000,10700,10000,10700,200,BSP
2023-09-13,10700,10700,10500,10500,1000,BSP
2023-09-18,10700,10700,10700,10700,100,BSP
2023-09-19,10700,10700,10700,10700,700,BSP
2023-09-20,10800,10800,10800,10800,400,BSP
2023-09-21,10800,10800,10800,10800,300,BSP
2023-09-22,10600,10600,10600,10600,200,BSP
2023-09-25,10200,10200,10100,10100,5600,BSP
2023-09-26,10300,10300,10200,10200,1000,BSP
2023-09-28,10200,10200,10200,10200,1200,BSP
2023-09-29,10200,10200,10200,10200,500,BSP
2023-10-02,10300,10300,10200,10200,600,BSP
2023-10-04,10200,10300,10200,10300,1200,BSP
2023-10-09,10500,10500,10500,10500,100,BSP
