time,open,high,low,close,volume,ticker
2023-01-05,28500,28500,28500,28500,100,BTD
2023-01-06,26000,26100,26000,26100,4300,BTD
2023-01-09,29000,29000,26000,26000,300,BTD
2023-01-10,26000,26000,26000,26000,1500,BTD
2023-01-11,28000,28000,25000,25000,2200,BTD
2023-01-13,27000,27900,27000,27900,300,BTD
2023-01-17,27000,27000,27000,27000,100,BTD
2023-01-27,27500,27500,27400,27400,1400,BTD
2023-01-30,26500,26500,26000,26000,600,BTD
2023-01-31,27000,27000,27000,27000,100,BTD
2023-02-02,26200,26500,26200,26500,4100,BTD
2023-02-03,26500,26500,26500,26500,800,BTD
2023-02-06,27500,27500,27500,27500,100,BTD
2023-02-10,25100,25100,25000,25000,10000,BTD
2023-02-13,25000,25000,25000,25000,14000,BTD
2023-02-14,25000,25000,25000,25000,8700,BTD
2023-02-15,24700,24700,24500,24500,1200,BTD
2023-02-17,26400,26400,26400,26400,100,BTD
2023-03-09,26400,26400,26400,26400,1000,BTD
2023-03-20,22500,26400,22500,26400,300,BTD
2023-03-22,26400,26400,26400,26400,100,BTD
2023-03-24,22500,22500,22500,22500,100,BTD
2023-03-27,23100,23100,23100,23100,300,BTD
2023-03-28,25000,25000,25000,25000,100,BTD
2023-04-03,22500,23000,21500,21500,2800,BTD
2023-04-04,22000,22000,22000,22000,600,BTD
2023-04-05,23600,23600,23600,23600,100,BTD
2023-04-06,22500,22500,22500,22500,1500,BTD
2023-04-07,22500,22500,22500,22500,100,BTD
2023-04-10,22500,22500,22500,22500,500,BTD
2023-04-11,21700,23000,21700,21700,700,BTD
2023-04-12,22000,23500,22000,23400,20000,BTD
2023-04-14,22600,22600,22600,22600,1000,BTD
2023-04-17,22700,22700,22700,22700,300,BTD
2023-04-18,23800,23800,23800,23800,100,BTD
2023-04-20,25000,25000,24800,24800,1500,BTD
2023-04-21,24000,24000,24000,24000,500,BTD
2023-04-28,23800,23900,23800,23900,600,BTD
2023-05-05,24800,24800,24000,24000,400,BTD
2023-05-08,23500,23500,23500,23500,100,BTD
2023-05-11,23500,23500,23500,23500,2000,BTD
2023-05-16,23500,23500,23500,23500,200,BTD
2023-05-18,27000,27000,27000,27000,100,BTD
2023-05-19,24000,24000,24000,24000,700,BTD
2023-05-22,23200,23200,23000,23000,2000,BTD
2023-05-30,23100,23500,23000,23000,4000,BTD
2023-05-31,23200,23300,23000,23100,1500,BTD
2023-06-05,23500,23700,23000,23000,2300,BTD
2023-06-06,22600,22700,22500,22600,9600,BTD
2023-06-07,23400,23400,23400,23400,100,BTD
2023-06-09,23500,23500,23500,23500,200,BTD
2023-06-12,25000,25000,25000,25000,100,BTD
2023-06-13,28700,28700,24000,25500,400,BTD
2023-06-14,23500,23500,22500,22500,5300,BTD
2023-06-16,22500,22500,22500,22500,200,BTD
2023-06-21,22500,24000,22200,23600,2300,BTD
2023-06-22,23400,23400,23400,23400,100,BTD
2023-06-23,23300,23800,22500,22700,1900,BTD
2023-06-27,23200,23200,23200,23200,100,BTD
2023-06-28,23000,23000,22500,23000,400,BTD
2023-06-29,22800,23500,22800,23500,200,BTD
2023-07-03,23100,23200,22000,23200,2900,BTD
2023-07-04,22500,22500,22500,22500,100,BTD
2023-07-06,22500,22500,22000,22000,20400,BTD
2023-07-07,22200,22200,22200,22200,800,BTD
2023-07-11,22200,23300,22200,23300,500,BTD
2023-07-13,22400,22400,22400,22400,200,BTD
2023-07-18,22500,22500,22500,22500,500,BTD
2023-07-19,22800,22800,22800,22800,200,BTD
2023-07-24,22800,22800,22800,22800,300,BTD
2023-07-25,22600,22600,22600,22600,300,BTD
2023-07-27,21000,21300,21000,21200,1000,BTD
2023-07-31,22000,22100,22000,22100,3100,BTD
2023-08-01,23500,23500,23500,23500,100,BTD
2023-08-02,22000,22000,22000,22000,200,BTD
2023-08-03,22200,22200,22000,22100,4100,BTD
2023-08-04,23000,23000,23000,23000,100,BTD
2023-08-07,23000,23000,21800,21800,200,BTD
2023-08-09,23000,23000,23000,23000,100,BTD
2023-08-10,23800,23800,23800,23800,400,BTD
2023-08-11,25000,25000,25000,25000,200,BTD
2023-08-14,21700,23400,21700,23400,400,BTD
2023-08-15,23900,23900,23900,23900,100,BTD
2023-08-16,23900,23900,23500,23500,300,BTD
2023-08-18,21500,21500,21500,21500,100,BTD
2023-08-21,21000,21000,21000,21000,100,BTD
2023-08-22,21500,21500,21200,21200,6200,BTD
2023-08-23,23300,23300,23300,23300,100,BTD
2023-08-24,23000,23000,23000,23000,1000,BTD
2023-09-05,22800,22900,22800,22900,2700,BTD
2023-09-06,22900,22900,22900,22900,500,BTD
2023-09-07,23200,23200,23200,23200,300,BTD
2023-09-12,21600,22000,21000,21900,31600,BTD
2023-09-13,22900,23000,22000,23000,4000,BTD
2023-09-14,22500,22500,22000,22000,900,BTD
2023-09-15,22100,22100,21500,21500,1000,BTD
2023-09-18,21500,21500,21500,21500,1500,BTD
2023-09-19,22800,22800,21500,21500,1300,BTD
2023-09-20,21600,21600,21600,21600,200,BTD
2023-09-21,21700,21700,21600,21600,300,BTD
2023-09-22,21600,21600,21600,21600,100,BTD
2023-09-25,22900,22900,22000,22000,900,BTD
2023-09-26,22000,22000,21800,21800,1400,BTD
2023-09-28,21300,21300,21300,21300,300,BTD
2023-09-29,21300,21300,21300,21300,200,BTD
2023-10-03,21200,21200,21200,21200,200,BTD
2023-10-05,21300,21300,21300,21300,100,BTD
2023-10-09,21700,21700,21000,21000,900,BTD
2023-10-12,21000,21000,21000,21000,200,BTD
2023-10-13,20100,20800,20100,20800,2400,BTD
