time,open,high,low,close,volume,ticker
2023-01-04,8300,8300,8200,8200,1300,BTG
2023-01-06,8300,8300,8300,8300,100,BTG
2023-01-10,8300,8300,8300,8300,3800,BTG
2023-02-03,8000,8000,8000,8000,400,BTG
2023-02-07,8200,8200,8200,8200,500,BTG
2023-02-08,8200,8200,8200,8200,700,BTG
2023-02-14,8200,8200,8200,8200,100,BTG
2023-02-15,8200,8200,8200,8200,1300,BTG
2023-02-16,8200,8200,8200,8200,800,BTG
2023-02-17,8200,8200,8200,8200,900,BTG
2023-02-21,8200,8200,8200,8200,700,BTG
2023-02-24,8000,8000,8000,8000,100,BTG
2023-02-28,8000,8000,8000,8000,800,BTG
2023-03-09,8000,8000,8000,8000,700,BTG
2023-03-13,8500,8500,8500,8500,100,BTG
2023-03-23,8200,8200,8200,8200,1000,BTG
2023-03-24,8300,8300,8300,8300,300,BTG
2023-03-28,8300,8300,8300,8300,600,BTG
2023-04-04,8300,8300,8300,8300,900,BTG
2023-04-05,8500,8500,8500,8500,5000,BTG
2023-04-06,8500,8500,8500,8500,200,BTG
2023-04-10,8400,8400,8400,8400,35600,BTG
2023-04-11,8400,8400,8400,8400,600,BTG
2023-04-13,8400,8400,8400,8400,700,BTG
2023-04-20,8400,8400,8400,8400,500,BTG
2023-04-25,8400,8400,8400,8400,700,BTG
2023-04-27,8400,8400,8400,8400,100,BTG
2023-05-15,8400,8400,8400,8400,500,BTG
2023-05-19,7300,7300,7300,7300,100,BTG
2023-05-29,8200,8300,8200,8300,200,BTG
2023-06-06,7900,7900,7900,7900,800,BTG
2023-06-14,8300,8300,8300,8300,1000,BTG
2023-06-20,8300,8300,8300,8300,1500,BTG
2023-06-21,8200,8200,8100,8200,3000,BTG
2023-06-22,8200,8200,8200,8200,1000,BTG
2023-06-23,8200,8800,8200,8800,9300,BTG
2023-06-26,8200,8200,8200,8200,100,BTG
2023-06-29,8300,8300,8300,8300,100,BTG
2023-07-03,8300,8300,8300,8300,2000,BTG
2023-07-17,8300,8300,8300,8300,800,BTG
2023-07-20,8700,8700,8700,8700,200,BTG
2023-07-27,8800,8800,8800,8800,100,BTG
2023-07-28,9900,9900,9900,9900,200,BTG
2023-07-31,9000,9000,9000,9000,100,BTG
2023-08-01,8900,8900,8800,8800,2000,BTG
2023-08-02,8800,8800,8800,8800,900,BTG
2023-08-07,9000,9900,8900,8900,800,BTG
2023-08-08,9000,9000,9000,9000,100,BTG
2023-08-09,8800,8800,8800,8800,800,BTG
2023-08-10,8700,8700,8700,8700,200,BTG
2023-08-11,8000,10000,8000,10000,600,BTG
2023-08-15,9700,9900,8700,8700,400,BTG
2023-08-16,8800,8800,8800,8800,100,BTG
2023-08-18,8800,8800,8800,8800,100,BTG
2023-08-24,10000,10000,10000,10000,100,BTG
2023-08-25,8800,8800,8800,8800,100,BTG
2023-09-05,8800,8800,8800,8800,100,BTG
2023-09-06,9800,9800,9800,9800,100,BTG
2023-09-11,8900,8900,8900,8900,100,BTG
2023-09-14,10200,10200,10200,10200,100,BTG
2023-09-15,8700,8700,8700,8700,600,BTG
2023-09-21,9000,9000,9000,9000,600,BTG
2023-09-26,9500,9500,9500,9500,500,BTG
