time,open,high,low,close,volume,ticker
2023-01-04,34780,34780,34780,34780,100,BTT
2023-01-05,32369,32369,32369,32369,500,BTT
2023-01-06,33740,33740,30250,30250,300,BTT
2023-01-09,28410,28410,28410,28410,100,BTT
2023-01-10,26530,28790,26530,28790,300,BTT
2023-01-11,28370,28370,28370,28370,400,BTT
2023-01-12,27380,30300,27380,30300,300,BTT
2023-01-13,31950,31950,31950,31950,100,BTT
2023-01-17,29830,32420,29830,32420,300,BTT
2023-01-18,31570,32000,31570,32000,400,BTT
2023-01-19,33880,33880,29920,29920,200,BTT
2023-01-27,31900,31900,31900,31900,200,BTT
2023-01-30,29880,29880,29880,29880,100,BTT
2023-01-31,29880,29880,29880,29880,2400,BTT
2023-02-01,30060,33690,29880,33690,400,BTT
2023-02-02,31340,33600,31340,33600,900,BTT
2023-02-06,34820,34820,31290,31290,1900,BTT
2023-02-07,31290,31290,29500,29500,200,BTT
2023-02-08,28320,28320,28320,28320,100,BTT
2023-02-10,26670,30300,26670,28510,1300,BTT
2023-02-13,30300,30300,30300,30300,100,BTT
2023-02-14,30630,30630,30630,30630,100,BTT
2023-02-15,30160,34540,30160,34540,300,BTT
2023-02-16,32140,35670,32140,35440,1800,BTT
2023-02-17,32990,32990,32990,32990,100,BTT
2023-02-21,32990,32990,32990,32990,200,BTT
2023-03-06,30680,30680,30680,30680,100,BTT
2023-03-08,30630,30630,30630,30630,100,BTT
2023-03-14,28650,28650,28650,28650,100,BTT
2023-03-15,28600,28600,28600,28600,100,BTT
2023-03-17,28560,28560,28560,28560,100,BTT
2023-03-22,26810,26810,26810,26810,100,BTT
2023-03-23,28650,28650,28650,28650,100,BTT
2023-03-27,27380,27380,27380,27380,100,BTT
2023-03-29,26440,26440,26440,26440,100,BTT
2023-04-05,28270,28270,28270,28270,100,BTT
2023-04-07,26440,26440,26440,26440,100,BTT
2023-04-07,26440,26440,26440,26440,100,BTT
2023-04-11,28270,28270,28270,28270,1400,BTT
2023-04-12,30020,30020,30020,30020,100,BTT
2023-04-13,32000,32000,32000,32000,100,BTT
2023-04-14,33880,33880,32040,32940,800,BTT
2023-04-17,33790,33790,30680,30680,300,BTT
2023-04-18,28650,31050,28650,31050,200,BTT
2023-04-19,30680,30680,30680,30680,100,BTT
2023-04-20,32750,32750,32750,32750,100,BTT
2023-04-21,33790,33790,29880,29880,300,BTT
2023-04-24,31050,31050,30630,30630,200,BTT
2023-04-26,28560,30020,28560,30020,300,BTT
2023-04-27,31050,31050,31050,31050,100,BTT
2023-05-04,28930,28930,28930,28930,100,BTT
2023-05-05,27050,27050,27050,27050,100,BTT
2023-05-09,32560,32560,32560,32560,100,BTT
2023-05-23,30300,30300,30300,30300,200,BTT
2023-05-24,32180,32180,28180,28370,2400,BTT
2023-05-26,28370,28370,28370,28370,100,BTT
2023-05-29,27470,27470,27470,27470,100,BTT
2023-05-30,29310,29310,27380,27380,600,BTT
2023-05-31,28840,28840,28840,28840,200,BTT
2023-06-01,28460,28460,27570,27570,400,BTT
2023-06-02,27470,27470,27470,27470,100,BTT
2023-06-05,28270,28460,28270,28460,500,BTT
2023-06-06,28410,28460,28410,28460,200,BTT
2023-06-07,28270,28270,28270,28270,1000,BTT
2023-06-08,28270,28270,28270,28270,100,BTT
2023-06-09,30160,30160,28270,28270,1600,BTT
2023-06-13,28270,28270,28270,28270,2100,BTT
2023-06-14,28270,28270,28270,28270,400,BTT
2023-06-19,28270,28740,28270,28740,200,BTT
2023-06-20,30720,30720,30580,30580,1400,BTT
2023-06-21,29220,29220,29220,29220,1500,BTT
2023-06-22,31100,31100,31100,31100,400,BTT
2023-06-23,29400,29400,28930,28930,300,BTT
2023-06-26,28930,28930,28930,28930,100,BTT
2023-06-28,29030,29030,28930,28930,2700,BTT
2023-06-29,28740,28740,28740,28740,900,BTT
2023-06-30,28930,28930,28930,28930,700,BTT
2023-07-04,30630,30630,30630,30630,100,BTT
2023-07-06,30630,30630,28930,29030,1800,BTT
2023-07-07,29030,31010,29030,31010,1000,BTT
2023-07-10,31010,32890,30820,32890,2300,BTT
2023-07-11,32750,32750,30630,32700,2300,BTT
2023-07-12,31100,31100,31100,31100,100,BTT
2023-07-13,31100,31100,31100,31100,100,BTT
2023-07-14,31100,31100,31100,31100,200,BTT
2023-07-17,31100,32890,31100,32890,900,BTT
2023-07-18,32890,32890,32040,32040,1100,BTT
2023-07-19,32040,32750,32040,32750,200,BTT
2023-07-24,32750,33900,32600,33900,1100,BTT
2023-07-25,32100,32100,32100,32100,500,BTT
2023-08-03,30150,30150,30150,30150,200,BTT
2023-08-07,31000,31000,31000,31000,100,BTT
2023-08-08,31000,32200,31000,32200,5000,BTT
2023-08-09,32100,32200,31100,31100,1500,BTT
2023-08-10,32000,32000,32000,32000,3700,BTT
2023-08-11,32000,32000,32000,32000,100,BTT
2023-08-14,32000,32000,32000,32000,1000,BTT
2023-08-24,31200,31200,31200,31200,1900,BTT
2023-08-28,31200,31200,31200,31200,1100,BTT
2023-08-30,31200,31200,31200,31200,100,BTT
2023-09-06,32000,32000,32000,32000,100,BTT
2023-09-07,32000,32000,32000,32000,600,BTT
2023-09-11,30650,30650,30650,30650,1000,BTT
2023-09-12,29500,29500,29500,29500,100,BTT
2023-09-13,31550,31550,31550,31550,2200,BTT
