time,open,high,low,close,volume,ticker
2023-01-03,26310,26310,26310,26310,500,BWS
2023-01-04,26120,26120,22800,22800,2900,BWS
2023-01-06,25360,25650,25360,25650,900,BWS
2023-01-12,26120,26120,26120,26120,100,BWS
2023-01-18,28400,28400,28400,28400,100,BWS
2023-01-27,26690,26690,26690,26690,1000,BWS
2023-01-31,26590,26590,26590,26590,100,BWS
2023-02-01,26500,26590,26500,26590,500,BWS
2023-02-06,26690,28400,26690,28400,700,BWS
2023-02-07,27160,27160,27160,27160,300,BWS
2023-02-14,28400,28400,28400,28400,200,BWS
2023-02-15,24220,26590,24220,26590,200,BWS
2023-02-16,28020,28020,28020,28020,100,BWS
2023-02-17,23840,28400,23840,28400,200,BWS
2023-02-20,28400,28400,27540,27540,200,BWS
2023-02-21,28020,28020,27920,27920,1100,BWS
2023-02-22,27540,27540,27540,27540,200,BWS
2023-02-23,24890,24890,24890,24890,100,BWS
2023-02-24,27540,27540,27540,27540,100,BWS
2023-02-27,24790,27450,24790,27070,400,BWS
2023-03-01,26970,26970,26690,26690,200,BWS
2023-03-02,26970,26970,26970,26970,200,BWS
2023-03-03,27160,27160,27160,27160,100,BWS
2023-03-06,25650,27070,25650,27070,400,BWS
2023-03-08,27070,27070,27070,27070,500,BWS
2023-03-09,25650,25650,25650,25650,100,BWS
2023-03-10,26500,26690,26500,26590,11400,BWS
2023-03-15,24700,26120,24700,26120,10100,BWS
2023-03-16,25650,26120,25650,26120,300,BWS
2023-03-20,25650,25650,24790,25550,2900,BWS
2023-03-21,25650,25650,25650,25650,100,BWS
2023-03-22,25650,25650,25650,25650,100,BWS
2023-03-27,25650,25650,25650,25650,1000,BWS
2023-03-30,26310,26310,26310,26310,100,BWS
2023-04-03,26120,26120,26120,26120,800,BWS
2023-04-04,26120,26120,26120,26120,100,BWS
2023-04-10,26220,26220,26220,26220,500,BWS
2023-04-11,25460,25460,25460,25460,100,BWS
2023-04-17,25650,25650,25650,25650,100,BWS
2023-04-18,27540,27540,27070,27070,300,BWS
2023-04-19,25930,26120,25930,26120,800,BWS
2023-04-20,26030,26030,26030,26030,400,BWS
2023-04-21,25930,25930,25170,25170,400,BWS
2023-04-24,25650,26120,25650,26120,1000,BWS
2023-04-26,26590,26590,26120,26120,1500,BWS
2023-04-28,25740,25740,25740,25740,3000,BWS
2023-05-05,25650,25650,25650,25650,100,BWS
2023-05-08,25650,25650,25650,25650,700,BWS
2023-05-10,25740,25840,25740,25840,3100,BWS
2023-05-11,26030,26030,26030,26030,1500,BWS
2023-05-12,26030,26030,26030,26030,4200,BWS
2023-05-15,26030,26030,26030,26030,200,BWS
2023-05-17,26030,26030,26030,26030,400,BWS
2023-05-19,26030,26030,26030,26030,3000,BWS
2023-05-22,26030,26030,26030,26030,500,BWS
2023-05-23,25650,25650,25650,25650,1400,BWS
2023-05-24,26030,26030,26030,26030,6700,BWS
2023-05-25,25840,27450,25650,27450,7500,BWS
2023-05-26,26030,29440,26030,29440,2800,BWS
2023-05-29,28020,28020,28020,28020,1000,BWS
2023-05-30,29440,29440,26590,26590,2900,BWS
2023-05-31,27070,27070,27070,27070,300,BWS
2023-06-05,27070,27070,27070,27070,6000,BWS
2023-06-06,26410,26970,26120,26120,7300,BWS
2023-06-07,26310,26310,26310,26310,1000,BWS
2023-06-08,26120,26120,26120,26120,3200,BWS
2023-06-09,24890,25170,24890,25170,300,BWS
2023-06-12,27070,27070,27070,27070,100,BWS
2023-06-13,26120,26120,26120,26120,500,BWS
2023-06-14,25650,25650,25650,25650,300,BWS
2023-06-15,26970,26970,26970,26970,200,BWS
2023-06-19,25740,25740,25740,25740,300,BWS
2023-06-20,25740,25840,24700,24790,2300,BWS
2023-06-21,25650,25650,25650,25650,400,BWS
2023-06-22,26120,26120,26120,26120,600,BWS
2023-06-26,25740,25740,25740,25740,100,BWS
2023-06-27,25740,25740,25740,25740,200,BWS
2023-06-28,25840,26120,25840,26120,300,BWS
2023-06-29,25740,25740,25740,25740,200,BWS
2023-06-30,26590,26590,26410,26410,800,BWS
2023-07-03,26590,26590,26590,26590,300,BWS
2023-07-04,26590,26590,26590,26590,100,BWS
2023-07-05,26690,26690,26690,26690,300,BWS
2023-07-06,26690,26690,26690,26690,500,BWS
2023-07-07,26310,26690,26310,26690,400,BWS
2023-07-11,27000,27000,25500,27000,400,BWS
2023-07-13,27000,27000,27000,27000,4600,BWS
2023-07-17,26500,27500,26500,27000,18800,BWS
2023-07-18,27200,27200,27200,27200,200,BWS
2023-07-19,27000,27800,27000,27800,300,BWS
2023-07-20,27000,27000,27000,27000,1000,BWS
2023-07-21,27500,28000,27500,28000,9800,BWS
2023-07-24,27500,28000,27500,28000,300,BWS
2023-07-25,27500,27500,27000,27000,300,BWS
2023-07-26,28000,28000,28000,28000,300,BWS
2023-07-27,27200,27200,27200,27200,200,BWS
2023-07-28,27000,27200,27000,27200,300,BWS
2023-08-04,27000,27000,27000,27000,500,BWS
2023-08-07,27000,27000,27000,27000,700,BWS
2023-08-08,28000,28000,28000,28000,100,BWS
2023-08-09,27500,27500,27000,27000,2100,BWS
2023-08-10,28000,28000,28000,28000,600,BWS
2023-08-11,28000,28000,27000,27500,700,BWS
2023-08-14,28000,28000,27100,27100,1600,BWS
2023-08-15,27100,27100,27100,27100,1000,BWS
2023-08-16,27000,27000,27000,27000,1600,BWS
2023-08-18,26800,26800,26000,26000,900,BWS
2023-08-21,26300,26300,26300,26300,500,BWS
2023-08-23,26500,27000,26500,27000,1300,BWS
2023-08-24,27000,27000,27000,27000,1500,BWS
2023-08-28,27000,27000,26800,27000,76500,BWS
2023-08-29,27000,27000,27000,27000,20000,BWS
2023-08-30,27000,27000,27000,27000,20000,BWS
2023-08-31,27000,27200,27000,27000,3000,BWS
2023-09-05,27000,27000,27000,27000,20000,BWS
2023-09-06,27300,27300,27300,27300,900,BWS
2023-09-07,27800,27800,27800,27800,200,BWS
2023-09-08,27100,27100,27100,27100,100,BWS
2023-09-11,27200,27200,27200,27200,20300,BWS
2023-09-12,27000,27000,27000,27000,1600,BWS
2023-09-13,27000,27000,27000,27000,200,BWS
2023-09-14,27000,27000,27000,27000,1300,BWS
2023-09-15,27000,27200,27000,27200,2400,BWS
2023-09-18,27000,27000,27000,27000,12500,BWS
2023-09-19,27000,27000,27000,27000,5700,BWS
2023-09-20,27000,27000,27000,27000,600,BWS
