time,open,high,low,close,volume,ticker
2023-01-03,8910,9920,8910,9830,3503600,C4G
2023-01-04,10020,10480,9830,9920,3136700,C4G
2023-01-05,9920,10200,9550,10100,3312000,C4G
2023-01-06,10020,10290,9640,9740,2171700,C4G
2023-01-09,9920,10290,9640,9830,1817200,C4G
2023-01-10,9920,10660,9550,10480,5767900,C4G
2023-01-11,10480,10750,10200,10290,2296700,C4G
2023-01-12,10100,10580,10100,10480,2512400,C4G
2023-01-13,10480,10750,10290,10290,2087700,C4G
2023-01-16,10480,11130,10480,10850,3660600,C4G
2023-01-17,10940,11590,10850,11500,3182900,C4G
2023-01-18,11500,11590,11220,11410,2300400,C4G
2023-01-19,11410,11410,11130,11410,2448000,C4G
2023-01-27,11410,11960,11310,11500,3313500,C4G
2023-01-30,11500,11870,11220,11310,3915200,C4G
2023-01-31,11310,11680,11040,11590,3409500,C4G
2023-02-01,11590,11770,10390,10750,3673200,C4G
2023-02-02,10750,11040,10100,10660,3068300,C4G
2023-02-03,10850,11220,10580,10940,2893400,C4G
2023-02-06,10850,10940,10580,10850,994900,C4G
2023-02-07,10660,10940,10020,10020,3213400,C4G
2023-02-08,10020,10580,9640,10200,3261300,C4G
2023-02-09,10290,10390,10020,10020,1103900,C4G
2023-02-10,10020,10290,9830,9920,2143900,C4G
2023-02-13,9920,9920,9180,9550,2853300,C4G
2023-02-14,9460,9740,9460,9640,1007900,C4G
2023-02-15,9640,10480,9550,10480,4456700,C4G
2023-02-16,10480,10660,10290,10580,2120100,C4G
2023-02-17,10480,10850,10290,10750,4383900,C4G
2023-02-20,10750,11040,10750,11040,2919100,C4G
2023-02-21,11130,11590,10850,11130,7112100,C4G
2023-02-22,11130,11310,10580,10660,5598900,C4G
2023-02-23,10660,10850,10100,10750,4171800,C4G
2023-02-24,10750,10750,10200,10390,1806200,C4G
2023-02-27,10480,10480,9830,9920,2155900,C4G
2023-02-28,10100,10200,9830,9920,1395400,C4G
2023-03-01,9920,10580,9830,10580,2391700,C4G
2023-03-02,10580,10750,10290,10390,1216200,C4G
2023-03-03,10290,10660,10200,10390,2246600,C4G
2023-03-06,10660,10660,10290,10390,1458900,C4G
2023-03-07,10390,10480,10200,10390,1697500,C4G
2023-03-08,10290,10750,10100,10660,3618400,C4G
2023-03-09,10660,10850,10580,10660,1961500,C4G
2023-03-10,10750,10750,10390,10480,2455800,C4G
2023-03-13,10390,10390,10100,10290,2670100,C4G
2023-03-14,10200,10290,9740,9920,3255900,C4G
2023-03-15,10100,10390,10100,10390,2081700,C4G
2023-03-16,10290,10290,9920,10100,958500,C4G
2023-03-17,10200,10290,10020,10020,858100,C4G
2023-03-20,10020,10290,9640,9920,2669300,C4G
2023-03-21,9920,10020,9550,9920,1406000,C4G
2023-03-22,10090,10190,9810,9810,1885000,C4G
2023-03-23,9810,9910,9720,9810,1028100,C4G
2023-03-24,10000,10280,9910,10090,1566300,C4G
2023-03-27,10190,10280,10000,10190,1172300,C4G
2023-03-28,10280,10470,10280,10280,1815100,C4G
2023-03-29,10190,10380,10090,10190,799000,C4G
2023-03-30,10280,10470,10190,10190,1562200,C4G
2023-03-31,10280,10380,10090,10190,940600,C4G
2023-04-03,10190,11130,10190,11040,7863200,C4G
2023-04-04,11040,11510,11040,11420,7002300,C4G
2023-04-05,11320,11420,11040,11320,3550900,C4G
2023-04-06,11420,11600,11130,11130,4354700,C4G
2023-04-07,11320,11320,11040,11320,2151900,C4G
2023-04-10,11320,11600,11130,11230,3773500,C4G
2023-04-11,11320,11320,11040,11230,1850000,C4G
2023-04-12,11320,12080,11230,11980,9207900,C4G
2023-04-13,12170,12170,11790,11890,2430200,C4G
2023-04-14,11890,11980,11230,11320,4751900,C4G
2023-04-17,11420,11510,11040,11420,2321500,C4G
2023-04-18,11420,11790,11230,11600,2629600,C4G
2023-04-19,11700,11700,11320,11420,1547400,C4G
