time,open,high,low,close,volume,ticker
2023-01-03,2600,2600,2500,2500,3600,C92
2023-01-04,2500,2500,2500,2500,100,C92
2023-01-05,2600,2600,2600,2600,200,C92
2023-01-06,2600,2700,2500,2600,1900,C92
2023-01-09,2500,2700,2500,2700,1000,C92
2023-01-10,2700,2700,2600,2600,700,C92
2023-01-11,2700,2700,2600,2600,400,C92
2023-01-12,2600,2700,2600,2700,3500,C92
2023-01-13,2700,2700,2600,2600,11200,C92
2023-01-16,2700,2700,2700,2700,500,C92
2023-01-17,2700,2900,2700,2900,8700,C92
2023-01-18,2900,2900,2900,2900,800,C92
2023-01-19,2900,2900,2700,2700,6200,C92
2023-01-27,2800,2900,2700,2700,5400,C92
2023-01-30,2500,3000,2500,2800,5400,C92
2023-01-31,2600,2800,2600,2800,3100,C92
2023-02-01,2500,2800,2500,2800,1100,C92
2023-02-02,2800,2800,2800,2800,100,C92
2023-02-03,2600,2700,2600,2700,5100,C92
2023-02-06,2700,2800,2700,2700,3100,C92
2023-02-07,2600,2800,2600,2800,600,C92
2023-02-08,2900,2900,2600,2700,5400,C92
2023-02-13,2600,2700,2600,2600,9800,C92
2023-02-14,2500,2700,2500,2700,1400,C92
2023-02-15,2500,2700,2500,2700,700,C92
2023-02-16,2800,2800,2800,2800,100,C92
2023-02-17,2600,2700,2600,2700,2000,C92
2023-02-20,2700,2800,2600,2800,4200,C92
2023-02-21,2700,2700,2700,2700,1300,C92
2023-02-22,2700,2700,2600,2600,2600,C92
2023-02-23,2600,2600,2600,2600,3100,C92
2023-02-24,2600,2600,2600,2600,2300,C92
2023-02-27,2900,2900,2700,2700,1000,C92
2023-03-01,2700,2700,2600,2600,2000,C92
2023-03-02,2600,2700,2600,2700,5100,C92
2023-03-03,2700,2700,2700,2700,500,C92
2023-03-06,2500,2700,2500,2700,1100,C92
2023-03-07,2700,2700,2700,2700,100,C92
2023-03-08,2600,2600,2600,2600,200,C92
2023-03-09,2600,2700,2600,2700,900,C92
2023-03-10,2600,2600,2600,2600,1000,C92
2023-03-13,2600,2600,2600,2600,7100,C92
2023-03-14,2600,2600,2600,2600,7100,C92
2023-03-15,2600,2600,2600,2600,3400,C92
2023-03-16,2600,2600,2600,2600,700,C92
2023-03-17,2700,2700,2600,2600,3700,C92
2023-03-20,2700,2700,2700,2700,100,C92
2023-03-21,2700,2700,2300,2700,26200,C92
2023-03-22,2700,2700,2700,2700,100,C92
2023-03-23,3100,3100,3100,3100,25000,C92
2023-03-24,3500,3500,3500,3500,24700,C92
2023-03-27,4000,4000,4000,4000,1800,C92
2023-03-28,3300,3300,3300,3300,2000,C92
2023-03-29,3000,3000,3000,3000,300,C92
2023-03-30,2900,2900,2900,2900,100,C92
2023-03-31,3100,3100,3100,3100,100,C92
2023-04-03,3000,3100,3000,3100,200,C92
2023-04-04,2800,2800,2800,2800,2100,C92
2023-04-05,2800,2800,2800,2800,100,C92
2023-04-06,3000,3000,3000,3000,400,C92
2023-04-07,2900,2900,2800,2800,3000,C92
2023-04-07,2900,2900,2900,2900,100,C92
2023-04-10,2600,2600,2600,2600,100,C92
2023-04-11,2700,2700,2700,2700,100,C92
2023-04-12,2800,2900,2700,2700,1300,C92
2023-04-13,2700,2700,2700,2700,200,C92
2023-04-14,2700,2700,2600,2600,6100,C92
2023-04-17,2600,2600,2600,2600,700,C92
2023-04-18,2600,2600,2400,2500,9500,C92
2023-04-19,2200,2200,2200,2200,100,C92
2023-04-20,2400,2600,2400,2600,2600,C92
2023-04-21,2500,2500,2500,2500,1000,C92
2023-04-24,2400,2600,2200,2600,29100,C92
2023-04-25,2500,2600,2500,2600,12600,C92
2023-04-26,2600,2800,2500,2600,2200,C92
2023-04-27,2500,2500,2400,2400,7200,C92
2023-04-28,2600,2700,2400,2700,1600,C92
2023-05-04,2700,2700,2700,2700,200,C92
2023-05-05,2700,2700,2400,2400,24600,C92
2023-05-08,2700,2700,2600,2600,700,C92
2023-05-09,2700,2700,2400,2400,200,C92
2023-05-10,2600,2600,2600,2600,100,C92
2023-05-11,2700,2700,2500,2500,4600,C92
2023-05-12,2600,2700,2400,2500,6700,C92
2023-05-15,2700,2700,2500,2700,2300,C92
2023-05-16,2600,2700,2600,2700,400,C92
2023-05-17,2700,2700,2600,2700,12500,C92
2023-05-18,2800,2800,2800,2800,100,C92
2023-05-19,2700,2700,2600,2600,3500,C92
2023-05-22,2800,2800,2600,2700,2200,C92
2023-05-23,2700,3000,2700,2700,5500,C92
2023-05-24,2900,3000,2800,2800,6000,C92
2023-05-25,2900,2900,2600,2800,6100,C92
2023-05-26,3000,3000,2700,2700,1100,C92
2023-05-29,2700,3000,2700,3000,71600,C92
2023-05-30,3000,3200,3000,3100,8700,C92
2023-05-31,3200,3200,2900,2900,16400,C92
2023-06-01,2900,3500,2900,3400,41900,C92
2023-06-02,3400,3400,3100,3100,8500,C92
2023-06-05,3100,3300,3000,3000,25000,C92
2023-06-06,3300,3300,3000,3200,14300,C92
2023-06-07,3300,3300,3100,3100,18900,C92
2023-06-08,3300,3600,3300,3600,74900,C92
2023-06-09,3600,4000,3600,3900,47000,C92
2023-06-12,3900,4300,3900,4300,78700,C92
2023-06-13,4500,4700,4300,4700,40300,C92
2023-06-14,4800,5200,4800,5100,52700,C92
2023-06-15,5800,5800,5000,5200,8600,C92
2023-06-16,5600,5600,4600,4600,21800,C92
2023-06-19,4500,4500,4000,4000,23200,C92
2023-06-20,3400,4000,3400,4000,29500,C92
2023-06-21,4000,4100,3600,4100,25400,C92
2023-06-22,4600,4600,4500,4600,55500,C92
2023-06-23,4700,4900,4100,4200,28500,C92
2023-06-26,4300,4700,4100,4300,41700,C92
2023-06-27,4300,4300,4100,4200,13300,C92
2023-06-28,4000,4200,3900,4000,15300,C92
2023-06-29,4000,4000,3700,3800,9700,C92
2023-06-30,4000,4100,3500,4000,3800,C92
2023-07-03,4100,4100,3900,4100,11000,C92
2023-07-04,4100,4100,3800,4000,3800,C92
2023-07-05,3900,4100,3700,3800,19600,C92
2023-07-06,3700,4000,3700,3900,2000,C92
2023-07-07,4000,4000,3800,4000,1500,C92
2023-07-10,4000,4000,3800,4000,12200,C92
2023-07-11,4000,4000,3800,3900,15300,C92
2023-07-12,4000,4000,3800,3900,3800,C92
2023-07-13,3900,4000,3800,3900,37400,C92
2023-07-14,4000,4200,3800,4100,13100,C92
2023-07-17,4000,4300,3900,4000,14600,C92
2023-07-18,4100,4100,3900,4000,13300,C92
2023-07-19,4000,4200,4000,4200,17800,C92
2023-07-20,4200,4200,4000,4200,3500,C92
2023-07-21,4300,4500,4200,4500,19800,C92
2023-07-24,4700,4700,4400,4700,19500,C92
2023-07-25,4700,4700,4500,4500,27000,C92
2023-07-26,4700,4700,4500,4500,18100,C92
2023-07-27,4300,4600,4300,4500,3000,C92
2023-07-28,4600,4600,4000,4300,13300,C92
2023-07-31,4500,4600,4300,4500,16300,C92
2023-08-01,4600,4600,4500,4500,500,C92
2023-08-02,4200,4500,4200,4300,2400,C92
2023-08-03,4700,4700,4400,4600,5900,C92
2023-08-04,4600,4600,4500,4500,12200,C92
2023-08-07,4600,4600,4500,4600,11300,C92
2023-08-08,4500,5000,4500,4800,36200,C92
2023-08-09,5000,5000,4800,5000,13200,C92
2023-08-10,4700,4800,4700,4800,3400,C92
2023-08-11,4700,5000,4700,4900,1100,C92
2023-08-14,4900,4900,4800,4800,4100,C92
2023-08-15,5000,5000,4800,4800,3000,C92
2023-08-16,5200,5200,5000,5000,500,C92
2023-08-17,4900,4900,4500,4600,5100,C92
2023-08-18,5000,5000,4000,4000,10300,C92
2023-08-21,4500,4500,4000,4000,3300,C92
2023-08-22,4600,4600,4500,4500,1800,C92
2023-08-24,4500,4500,4000,4000,1100,C92
2023-08-25,4500,4500,4100,4300,1200,C92
2023-08-28,4500,4500,4500,4500,100,C92
2023-08-29,4400,4400,4400,4400,300,C92
2023-08-30,4300,4500,4000,4500,1900,C92
2023-08-31,4100,4100,4100,4100,900,C92
2023-09-05,4100,4400,4100,4400,1000,C92
2023-09-06,4600,4600,4600,4600,100,C92
2023-09-07,4600,4600,4300,4300,1800,C92
2023-09-08,4400,4400,4300,4300,21500,C92
2023-09-12,4300,4600,4300,4600,1800,C92
2023-09-13,4500,4500,4300,4300,1000,C92
2023-09-14,4500,4500,4200,4300,2100,C92
2023-09-15,4200,4300,4200,4200,900,C92
2023-09-18,4000,4200,3800,4100,1500,C92
2023-09-19,3800,4200,3800,3800,8600,C92
2023-09-20,3800,3900,3800,3900,2400,C92
2023-09-21,4300,4300,4000,4000,1800,C92
2023-09-22,4400,4400,3400,4000,3000,C92
2023-09-25,4200,4200,3900,3900,3100,C92
2023-09-26,4300,4300,3400,3700,2700,C92
2023-09-27,4000,4000,3600,3800,900,C92
2023-09-28,4000,4000,3800,3800,2900,C92
2023-09-29,4100,4100,4100,4100,100,C92
2023-10-03,3600,3600,3600,3600,300,C92
2023-10-04,3600,3800,3600,3800,800,C92
2023-10-05,4000,4000,3500,3500,5100,C92
2023-10-06,3500,3600,3500,3500,4600,C92
2023-10-09,3500,3500,3500,3500,500,C92
2023-10-10,3800,3800,3800,3800,3000,C92
2023-10-11,3500,3700,3500,3700,2100,C92
2023-10-12,3500,3500,3500,3500,11100,C92
2023-10-13,3500,3500,3500,3500,3900,C92
