time,open,high,low,close,volume,ticker
2023-01-03,6700,6800,6200,6200,2400,CBI
2023-01-04,6200,6300,6200,6300,2200,CBI
2023-01-05,6000,6800,6000,6800,5000,CBI
2023-01-06,6700,6900,6700,6900,2300,CBI
2023-01-09,6900,6900,6900,6900,2000,CBI
2023-01-10,6100,6100,6000,6000,2100,CBI
2023-01-11,6600,6800,6600,6800,2200,CBI
2023-01-12,6700,6700,6700,6700,100,CBI
2023-01-13,6000,6700,6000,6700,2600,CBI
2023-01-16,6300,6500,6300,6300,3600,CBI
2023-01-17,6200,6200,6200,6200,200,CBI
2023-01-18,6500,7100,6500,7100,2400,CBI
2023-01-19,6800,6800,6600,6600,2800,CBI
2023-01-27,6500,6500,6500,6500,100,CBI
2023-01-30,7000,7000,7000,7000,1100,CBI
2023-02-01,7000,7000,7000,7000,2000,CBI
2023-02-09,7000,7200,7000,7200,600,CBI
2023-02-13,7900,7900,7900,7900,100,CBI
2023-02-14,7900,7900,7900,7900,100,CBI
2023-02-16,8400,8900,8400,8900,500,CBI
2023-02-21,8500,8500,7400,8400,900,CBI
2023-02-22,7700,8200,7700,8000,1000,CBI
2023-02-24,8100,8100,7500,7500,1600,CBI
2023-02-27,9000,9000,9000,9000,1000,CBI
2023-02-28,8800,8800,8700,8700,200,CBI
2023-03-01,9400,9400,9000,9000,3800,CBI
2023-03-02,10300,10300,9100,9100,3700,CBI
2023-03-03,10200,10200,9600,9600,5100,CBI
2023-03-06,10300,10300,10300,10300,500,CBI
2023-03-07,10300,10300,10200,10200,200,CBI
2023-03-08,10000,10700,10000,10700,1000,CBI
2023-03-09,9500,9500,9500,9500,400,CBI
2023-03-13,9000,9500,9000,9500,600,CBI
2023-03-14,9000,9000,8000,8000,8000,CBI
2023-03-15,9600,9600,9600,9600,500,CBI
2023-03-20,8500,8500,8200,8200,3900,CBI
2023-03-21,9200,9200,9200,9200,1100,CBI
2023-03-22,9700,9700,9700,9700,1000,CBI
2023-03-23,8400,8400,8400,8400,200,CBI
2023-03-24,9100,9100,9100,9100,100,CBI
2023-03-27,8000,8000,8000,8000,1500,CBI
2023-03-28,8500,8500,8500,8500,400,CBI
2023-03-29,8100,8100,8100,8100,1000,CBI
2023-03-30,8100,8100,8100,8100,200,CBI
2023-03-31,8100,8100,8100,8100,300,CBI
2023-04-03,8100,8100,8100,8100,100,CBI
2023-04-04,8000,8000,8000,8000,1000,CBI
2023-04-05,7600,7600,7600,7600,200,CBI
2023-04-06,7600,7600,7600,7600,200,CBI
2023-04-07,7600,7800,7600,7800,1300,CBI
2023-04-07,7600,7600,7600,7600,200,CBI
2023-04-12,7500,7500,7500,7500,100,CBI
2023-04-14,7500,7500,7500,7500,1500,CBI
2023-04-28,7000,7000,7000,7000,1100,CBI
2023-05-04,6600,6600,6600,6600,1000,CBI
2023-05-09,6700,6700,6700,6700,100,CBI
2023-05-10,6800,6800,6800,6800,500,CBI
2023-05-15,6800,6800,6700,6700,2000,CBI
2023-05-16,6800,7000,6800,7000,1100,CBI
2023-05-17,6800,6800,6500,6500,2100,CBI
2023-05-18,6600,6600,6500,6600,2100,CBI
2023-05-19,6500,6600,6500,6600,1900,CBI
