time,open,high,low,close,volume,ticker
2023-01-03,33730,34600,33330,34400,10500,CBS
2023-01-04,34600,34600,33270,34330,1100,CBS
2023-01-05,34000,34530,34000,34200,900,CBS
2023-01-06,34130,34130,34130,34130,1200,CBS
2023-01-09,34600,34600,33000,33070,7400,CBS
2023-01-11,33530,33870,33530,33870,1900,CBS
2023-01-12,33600,33670,33600,33670,300,CBS
2023-01-13,33600,34600,33470,34330,20900,CBS
2023-01-16,34670,38670,34130,34670,14000,CBS
2023-01-17,35870,35870,33330,34530,1400,CBS
2023-01-18,35670,35670,33870,34600,1400,CBS
2023-01-19,35270,35270,33670,34730,25000,CBS
2023-01-27,34600,34870,34530,34870,15200,CBS
2023-01-30,33530,34000,33530,34000,2200,CBS
2023-01-31,33670,34200,33670,33670,7800,CBS
2023-02-01,34330,37670,34330,37670,50200,CBS
2023-02-02,36670,41270,36670,38000,16600,CBS
2023-02-03,37000,38130,36800,37000,20700,CBS
2023-02-06,37470,37470,37470,37470,2300,CBS
2023-02-07,36000,36330,35670,36000,7900,CBS
2023-02-08,36000,36000,35470,36000,2800,CBS
2023-02-09,36000,37330,35670,36070,8100,CBS
2023-02-10,36670,36670,36000,36000,21300,CBS
2023-02-13,36330,36330,36000,36000,12100,CBS
2023-02-14,40000,40000,35870,35870,3600,CBS
2023-02-15,38600,38600,35870,36000,4900,CBS
2023-02-16,36330,36330,35330,35330,4100,CBS
2023-02-17,35070,35200,35070,35200,1300,CBS
2023-02-20,34870,35330,34400,35130,7400,CBS
2023-02-21,35330,35330,34870,35000,16000,CBS
2023-02-22,34730,34730,29800,34730,12300,CBS
2023-02-23,33330,34330,33330,34000,6900,CBS
2023-02-24,33470,34000,33330,33330,10200,CBS
2023-02-28,33800,35870,30330,34200,10800,CBS
2023-03-01,33670,33670,33670,33670,100,CBS
2023-03-02,34000,34000,33670,34000,1700,CBS
2023-03-06,38330,38330,33000,33330,4800,CBS
2023-03-07,33330,34000,33330,34000,1100,CBS
2023-03-08,33400,33400,33330,33330,2200,CBS
2023-03-09,33330,33330,33330,33330,3200,CBS
2023-03-10,33330,33330,33330,33330,2200,CBS
2023-03-13,33330,33930,33330,33330,12400,CBS
2023-03-14,33330,33330,32670,33330,7500,CBS
2023-03-15,33330,33330,32130,33330,11700,CBS
2023-03-16,33270,33270,33270,33270,100,CBS
2023-03-17,33330,33330,33000,33270,600,CBS
2023-03-20,35270,35270,33330,33330,5400,CBS
2023-03-21,33930,33930,32400,33270,1900,CBS
2023-03-22,33270,33270,32870,32870,1100,CBS
2023-03-23,33000,33000,32670,32670,300,CBS
2023-03-24,32870,32870,32870,32870,100,CBS
2023-03-27,33000,33000,33000,33000,1100,CBS
2023-03-28,32870,32870,32870,32870,200,CBS
2023-03-29,33000,33000,33000,33000,100,CBS
2023-03-30,34000,34000,34000,34000,100,CBS
2023-03-31,34000,34000,33870,33870,400,CBS
2023-04-03,33670,33670,33670,33670,4000,CBS
2023-04-04,33670,33670,33670,33670,2200,CBS
2023-04-05,36000,36330,36000,36330,200,CBS
2023-04-06,34400,35000,34330,34530,1400,CBS
2023-04-07,36330,36330,35670,36270,3800,CBS
2023-04-10,37000,37000,37000,37000,300,CBS
2023-04-11,36670,36670,35600,35870,4900,CBS
2023-04-12,37000,37000,37000,37000,500,CBS
2023-04-13,36930,37400,36470,36670,40500,CBS
2023-04-14,37400,37400,36070,36070,3700,CBS
2023-04-17,39900,39900,37000,37000,2000,CBS
2023-04-18,38100,39500,38100,39000,23200,CBS
2023-04-19,39500,40000,39500,40000,2600,CBS
2023-04-20,38600,39200,38000,38800,15600,CBS
2023-04-21,40000,42800,39800,41000,32000,CBS
2023-04-24,41600,42500,41400,41800,34800,CBS
2023-04-25,41800,43500,41800,43000,7900,CBS
2023-04-26,43000,43000,40000,40500,19700,CBS
2023-04-27,40100,40100,39600,39600,9100,CBS
2023-04-28,39600,39600,38000,38900,7600,CBS
2023-05-04,38000,38000,36300,36600,14000,CBS
2023-05-05,37000,38000,37000,37400,11900,CBS
2023-05-08,37400,39000,37400,38300,5900,CBS
2023-05-09,37300,37500,37000,37500,7800,CBS
2023-05-10,37200,37500,37000,37100,5200,CBS
2023-05-11,37200,37200,36500,36500,14500,CBS
2023-05-12,36900,36900,36400,36400,4200,CBS
2023-05-15,37000,37000,37000,37000,1200,CBS
2023-05-16,36300,36500,36100,36100,5400,CBS
2023-05-17,36900,36900,36500,36500,600,CBS
2023-05-18,38000,38000,36500,36600,6900,CBS
2023-05-19,36800,36800,36800,36800,1200,CBS
2023-05-22,37600,37600,36300,36300,1400,CBS
2023-05-23,37500,37500,37500,37500,100,CBS
2023-05-24,37300,37300,36600,36600,2600,CBS
2023-05-25,37300,37300,36200,36700,3000,CBS
2023-05-26,36500,36500,36000,36500,11400,CBS
2023-05-29,37000,37000,36100,36100,6700,CBS
2023-05-30,36300,36500,35900,35900,7000,CBS
2023-05-31,36000,37000,35800,36300,10100,CBS
2023-06-01,35900,36300,35800,36300,5400,CBS
2023-06-02,36000,36300,35900,36000,3700,CBS
2023-06-05,36200,36200,35800,36000,10700,CBS
2023-06-06,36300,36400,36000,36000,6100,CBS
2023-06-07,35900,36000,35500,35800,6800,CBS
2023-06-08,35800,35800,35000,35000,10000,CBS
2023-06-09,36000,36200,35500,35500,6300,CBS
2023-06-12,35700,35700,35200,35700,2400,CBS
2023-06-13,36000,36000,36000,36000,600,CBS
2023-06-14,36700,37000,36000,37000,11100,CBS
2023-06-15,36900,37400,36300,37400,3200,CBS
2023-06-16,36600,36900,36600,36600,2300,CBS
2023-06-19,37000,37100,37000,37100,2400,CBS
2023-06-20,37100,39900,37100,39500,22500,CBS
2023-06-21,39100,39100,38500,38600,1900,CBS
2023-06-22,38100,38500,37700,38500,5400,CBS
2023-06-23,37900,38000,37100,37500,4500,CBS
2023-06-26,37600,38400,37100,37500,4800,CBS
2023-06-27,37500,37900,37000,37900,5600,CBS
2023-06-28,37600,37600,36900,37000,6300,CBS
2023-06-29,37300,37300,37300,37300,200,CBS
2023-06-30,37300,37700,37300,37700,900,CBS
2023-07-03,37500,38500,37500,38000,7200,CBS
2023-07-04,38300,39000,38300,38600,7400,CBS
2023-07-05,39100,39100,35000,38700,10000,CBS
2023-07-06,38400,38400,36500,37200,39100,CBS
2023-07-07,36500,37800,36500,37500,9300,CBS
2023-07-10,37200,37200,36300,36300,25500,CBS
2023-07-11,36500,36600,36000,36000,52700,CBS
2023-07-12,36300,37400,36300,37000,36400,CBS
2023-07-13,37200,37500,36800,37500,27200,CBS
2023-07-14,37100,37700,37000,37100,18700,CBS
2023-07-17,37000,37700,36900,37300,37800,CBS
