time,open,high,low,close,volume,ticker
2023-01-03,53640,53640,53640,53640,100,CCM
2023-01-16,61610,61610,61610,61610,100,CCM
2023-02-20,52390,52390,52390,52390,1200,CCM
2023-02-22,60170,60170,60170,60170,100,CCM
2023-03-13,51150,51150,51150,51150,100,CCM
2023-03-22,48940,48940,48940,48940,300,CCM
2023-03-23,41650,41650,41650,41650,100,CCM
2023-03-30,47500,47500,47500,47500,100,CCM
2023-04-04,47500,47500,47500,47500,100,CCM
2023-04-11,50000,50000,50000,50000,100,CCM
2023-04-24,42500,42500,42500,42500,900,CCM
2023-04-25,42500,42500,42500,42500,1000,CCM
2023-04-26,48000,48000,48000,48000,100,CCM
2023-04-27,41000,41000,41000,41000,100,CCM
2023-04-28,47100,47100,47100,47100,100,CCM
2023-05-04,40100,40100,40100,40100,100,CCM
2023-05-08,35100,35100,35100,35100,100,CCM
2023-05-09,40300,40300,40300,40300,200,CCM
2023-05-11,42500,42500,42500,42500,100,CCM
2023-05-12,48700,48700,48700,48700,100,CCM
2023-05-15,55900,55900,47900,47900,200,CCM
2023-05-17,53900,53900,53900,53900,100,CCM
2023-05-30,53000,53000,53000,53000,100,CCM
2023-06-01,47000,47000,47000,47000,100,CCM
2023-06-05,51900,51900,51900,51900,100,CCM
2023-06-06,59000,59000,59000,59000,100,CCM
2023-06-21,65000,65000,50200,50200,700,CCM
2023-06-23,45600,45600,45000,45000,1400,CCM
2023-06-26,45200,45200,45200,45200,200,CCM
2023-06-27,38500,38500,38500,38500,100,CCM
2023-07-03,36100,36100,36100,36100,100,CCM
2023-07-04,41500,41500,41500,41500,5500,CCM
2023-07-05,47600,47600,46500,46500,300,CCM
2023-07-06,48900,48900,48900,48900,100,CCM
2023-07-07,41600,41600,41600,41600,400,CCM
2023-07-10,45000,45000,45000,45000,200,CCM
2023-07-11,38500,38500,38300,38300,2600,CCM
2023-07-12,38500,38500,37400,37400,2600,CCM
2023-07-13,39900,39900,39900,39900,100,CCM
2023-07-14,45500,45500,45500,45500,100,CCM
2023-07-17,38700,38700,38700,38700,3300,CCM
2023-07-19,38700,43900,38700,43900,1300,CCM
2023-07-20,39000,39000,39000,39000,100,CCM
2023-07-21,42800,42800,42800,42800,100,CCM
2023-07-24,37400,38600,37300,38600,2900,CCM
2023-07-25,37300,38000,37300,38000,3700,CCM
2023-07-26,38000,38000,38000,38000,200,CCM
2023-07-27,38000,38000,38000,38000,300,CCM
2023-07-31,42800,42800,42800,42800,100,CCM
2023-08-02,36500,36500,36400,36400,7300,CCM
2023-08-03,40400,40400,40400,40400,100,CCM
2023-08-04,44900,44900,44900,44900,100,CCM
2023-08-07,38200,38300,38200,38300,200,CCM
2023-08-08,36800,36800,36500,36500,2200,CCM
2023-08-10,37900,37900,37900,37900,100,CCM
2023-08-16,37900,37900,37900,37900,200,CCM
2023-08-25,32800,32800,32800,32800,100,CCM
2023-09-05,33700,37200,33700,37200,600,CCM
2023-09-06,37200,37200,37200,37200,200,CCM
2023-09-07,42600,42600,38500,38500,200,CCM
2023-09-08,38000,38000,37500,37500,2300,CCM
2023-09-11,38000,38000,38000,38000,500,CCM
2023-09-15,32299,32299,32299,32299,100,CCM
2023-09-18,37100,37100,36000,36000,8000,CCM
2023-09-19,37000,37000,37000,37000,100,CCM
2023-09-25,34000,34000,34000,34000,500,CCM
2023-09-26,35500,35500,35500,35500,500,CCM
2023-09-28,37600,37600,37600,37600,100,CCM
2023-09-29,42400,42400,42400,42400,100,CCM
2023-10-02,37800,37800,37000,37000,200,CCM
2023-10-05,37800,37800,37800,37800,100,CCM
