time,open,high,low,close,volume,ticker
2023-01-03,12440,12440,12440,12440,100,CCR
2023-01-04,12250,12250,12250,12250,100,CCR
2023-01-05,11480,11480,11480,11480,200,CCR
2023-01-06,11960,11960,11480,11480,1200,CCR
2023-01-09,10910,10910,10910,10910,100,CCR
2023-01-10,11860,11860,11860,11860,100,CCR
2023-01-11,11960,11960,11860,11860,600,CCR
2023-01-17,11290,11770,11190,11770,2200,CCR
2023-01-18,11100,11190,11100,11100,5500,CCR
2023-01-19,11190,11480,11190,11380,700,CCR
2023-01-27,11580,12050,11580,12050,600,CCR
2023-01-30,12050,12050,11860,11860,1200,CCR
2023-02-01,12630,13010,12630,12920,2300,CCR
2023-02-06,11960,12340,11670,12340,6700,CCR
2023-02-07,11670,12340,11190,12340,1800,CCR
2023-02-08,11960,11960,11960,11960,700,CCR
2023-02-13,11000,11380,10810,10810,8500,CCR
2023-02-14,10240,10430,10240,10430,1600,CCR
2023-02-16,10520,10620,10140,10140,1200,CCR
2023-02-17,10520,10910,10520,10910,300,CCR
2023-02-20,11000,11380,11000,11380,900,CCR
2023-02-21,11000,11000,11000,11000,3000,CCR
2023-02-23,11000,11000,11000,11000,100,CCR
2023-02-24,10520,11000,10520,11000,200,CCR
2023-02-27,10520,10810,10520,10810,200,CCR
2023-03-01,10810,10810,10810,10810,200,CCR
2023-03-02,10910,11100,10520,11100,1100,CCR
2023-03-06,11000,11000,11000,11000,100,CCR
2023-03-07,11000,11000,10910,10910,600,CCR
2023-03-08,10620,10620,10520,10520,300,CCR
2023-03-09,10710,10810,10620,10620,2200,CCR
2023-03-10,10620,10620,10620,10620,300,CCR
2023-03-13,10620,10620,10520,10520,1400,CCR
2023-03-14,10710,10710,10430,10430,2000,CCR
2023-03-15,10710,10710,10620,10710,3400,CCR
2023-03-20,10520,10520,10430,10430,600,CCR
2023-03-21,10430,10430,10430,10430,200,CCR
2023-03-22,10430,10430,10430,10430,100,CCR
2023-03-23,10430,10430,10430,10430,200,CCR
2023-03-24,10710,10710,10710,10710,100,CCR
2023-03-27,10910,10910,10910,10910,1000,CCR
2023-03-28,10520,10520,10520,10520,100,CCR
2023-03-29,10330,10330,10330,10330,100,CCR
2023-03-30,10330,10330,10330,10330,400,CCR
2023-04-03,10430,10430,10430,10430,100,CCR
2023-04-04,10520,10520,10520,10520,100,CCR
