time,open,high,low,close,volume,ticker
2023-01-09,5410,6380,5410,6380,800,CDR
2023-01-10,6380,6380,6380,6380,200,CDR
2023-01-11,6280,6280,6280,6280,200,CDR
2023-01-13,6280,6280,6280,6280,100,CDR
2023-01-27,6860,6860,6090,6090,600,CDR
2023-02-08,6090,6090,6090,6090,200,CDR
2023-02-10,6280,6280,6280,6280,100,CDR
2023-02-14,5410,5700,5410,5700,700,CDR
2023-02-20,5020,5020,5020,5020,100,CDR
2023-02-22,5700,5700,5700,5700,700,CDR
2023-02-27,6180,6180,6180,6180,600,CDR
2023-03-01,6280,6280,6280,6280,4600,CDR
2023-03-02,6380,6380,6380,6380,100,CDR
2023-03-03,6280,6380,6280,6380,2700,CDR
2023-03-09,6570,6570,6570,6570,100,CDR
2023-03-10,7050,7050,7050,7050,100,CDR
2023-03-13,7540,7540,6280,6280,200,CDR
2023-03-14,7050,7050,7050,7050,100,CDR
2023-03-20,6090,6280,6090,6280,500,CDR
2023-03-23,6760,6760,6760,6760,100,CDR
2023-03-24,5890,5890,5890,5890,300,CDR
2023-03-27,5990,5990,5990,5990,1100,CDR
2023-03-29,5890,5890,5890,5890,600,CDR
2023-04-04,5310,5310,5310,5310,100,CDR
2023-04-05,5600,5600,5600,5600,100,CDR
2023-04-06,5800,5800,5800,5800,300,CDR
2023-04-12,6670,6670,6670,6670,100,CDR
2023-04-18,5510,5510,5510,5510,100,CDR
2023-04-24,5700,5700,5700,5700,2100,CDR
2023-04-27,5020,6180,5020,6180,200,CDR
2023-04-28,6280,6280,6280,6280,600,CDR
2023-05-31,6180,6180,6180,6180,2300,CDR
2023-06-07,6180,6180,6180,6180,100,CDR
2023-06-09,6280,6280,6280,6280,100,CDR
2023-06-22,5410,5410,5410,5410,100,CDR
2023-06-26,4640,6090,4640,5890,1300,CDR
2023-06-27,5120,5120,5120,5120,100,CDR
2023-06-28,5510,5800,5410,5800,600,CDR
2023-06-29,5800,6280,5800,6280,1500,CDR
2023-06-30,6960,6960,6760,6760,2900,CDR
2023-07-03,6860,6860,6860,6860,100,CDR
2023-07-04,5890,6860,5890,6860,300,CDR
2023-07-05,5890,5890,5890,5890,1100,CDR
2023-07-06,6760,6760,6670,6670,300,CDR
2023-07-07,5700,5700,5700,5700,400,CDR
2023-07-10,5120,5120,5120,5120,100,CDR
2023-07-11,5800,5800,5800,5800,100,CDR
2023-07-12,6470,6470,6470,6470,100,CDR
2023-07-13,7340,7340,6760,6760,200,CDR
2023-07-14,6090,6180,6090,6090,800,CDR
2023-07-17,5890,5890,5800,5800,1200,CDR
2023-07-18,5120,6670,5120,6470,300,CDR
2023-07-19,5310,6280,5310,6280,2300,CDR
2023-07-20,5510,6280,5410,5700,11200,CDR
2023-07-21,5800,5800,5700,5800,2000,CDR
2023-07-24,5800,5800,5600,5600,1900,CDR
2023-07-25,5800,5800,5700,5800,5200,CDR
2023-07-26,5700,5700,5700,5700,1200,CDR
2023-07-27,5700,6000,5600,6000,900,CDR
2023-07-28,6600,6600,6000,6000,1000,CDR
2023-07-31,6000,6000,5600,5900,2500,CDR
2023-08-01,6600,6600,6000,6400,2700,CDR
2023-08-02,7000,7000,6000,6000,1700,CDR
2023-08-03,6400,6400,6100,6100,200,CDR
2023-08-07,5800,6300,5700,5700,6300,CDR
2023-08-08,6000,6000,6000,6000,200,CDR
2023-08-09,5700,5900,5700,5800,600,CDR
2023-08-10,5900,5900,5900,5900,100,CDR
2023-08-11,5800,5800,5800,5800,100,CDR
2023-08-15,5800,5800,5800,5800,1000,CDR
2023-08-16,5800,5800,5800,5800,100,CDR
2023-08-17,5800,5900,5800,5800,1000,CDR
2023-08-18,5600,5600,5600,5600,700,CDR
2023-08-21,5600,5600,5600,5600,100,CDR
2023-08-23,5600,5700,5600,5700,2600,CDR
2023-08-28,5700,5700,5700,5700,500,CDR
2023-08-29,5500,5800,5500,5800,200,CDR
2023-09-05,5800,5800,5800,5800,300,CDR
2023-09-08,5500,5500,5500,5500,100,CDR
2023-09-20,5600,5600,5600,5600,100,CDR
2023-10-12,5000,5000,5000,5000,600,CDR
