time,open,high,low,close,volume,ticker
2023-01-03,15200,17200,15200,17200,200,CFV
2023-01-06,17800,17800,17800,17800,100,CFV
2023-01-09,19600,19600,19000,19000,300,CFV
2023-01-17,21700,21700,21700,21700,100,CFV
2023-01-30,18500,18500,18500,18500,800,CFV
2023-01-31,15800,15800,15800,15800,1600,CFV
2023-02-01,16600,16600,13900,13900,300,CFV
2023-02-02,15800,16000,12800,15800,600,CFV
2023-02-03,16000,16000,16000,16000,100,CFV
2023-02-06,13600,16000,13600,16000,400,CFV
2023-02-07,14300,14300,14300,14300,200,CFV
2023-02-08,15000,15800,15000,15800,500,CFV
2023-02-09,13100,15100,13100,15100,500,CFV
2023-02-10,12000,13500,12000,13500,300,CFV
2023-02-13,13000,13000,13000,13000,3800,CFV
2023-02-14,11400,11400,11400,11400,100,CFV
2023-02-15,9800,9800,9800,9800,100,CFV
2023-02-16,8500,10900,8500,9000,6100,CFV
2023-02-17,9800,9800,9800,9800,200,CFV
2023-02-20,11200,11200,11200,11200,400,CFV
2023-02-21,12800,12800,12800,12800,500,CFV
2023-02-22,14700,14700,14700,14700,100,CFV
2023-02-23,16900,16900,15300,16900,5200,CFV
2023-02-24,19400,19400,19400,19400,3500,CFV
2023-02-27,22300,22300,22300,22300,2000,CFV
2023-02-28,25600,25600,25600,25600,2000,CFV
2023-03-01,29400,29400,29400,29400,3700,CFV
2023-03-02,33800,33800,33800,33800,900,CFV
2023-03-03,38800,38800,38800,38800,700,CFV
2023-03-06,44600,44600,44600,44600,600,CFV
2023-03-07,51200,51200,51200,51200,6900,CFV
2023-03-08,58800,58800,58800,58800,4000,CFV
2023-03-09,67600,67600,67600,67600,8000,CFV
2023-03-10,69000,69000,57500,57500,1100,CFV
2023-03-14,54200,54200,54200,54200,100,CFV
2023-03-15,46100,46100,46100,46100,100,CFV
2023-03-16,39200,39200,39200,39200,100,CFV
2023-03-17,33400,33400,33400,33400,100,CFV
2023-03-21,28400,28400,28400,28400,100,CFV
2023-03-22,24200,24200,24200,24200,100,CFV
2023-03-23,20600,20600,20600,20600,200,CFV
2023-03-24,17600,17600,17600,17600,500,CFV
2023-03-27,21700,21700,21700,21700,500,CFV
2023-03-28,24900,24900,24900,24900,300,CFV
2023-03-29,28600,28600,28600,28600,100,CFV
2023-03-30,32800,32800,32800,32800,100,CFV
2023-03-31,37700,37700,37700,37700,500,CFV
2023-04-03,43300,43300,43300,43300,400,CFV
2023-04-04,31900,31900,31900,31900,100,CFV
2023-04-05,31900,31900,31900,31900,200,CFV
2023-04-06,28100,28100,28100,28100,100,CFV
2023-04-07,30700,30700,30700,30700,100,CFV
2023-04-10,26200,26200,26200,26200,200,CFV
2023-04-11,24900,25100,24900,25100,200,CFV
2023-04-12,28700,28700,28700,28700,1100,CFV
2023-04-13,28000,28000,28000,28000,400,CFV
2023-04-14,29000,29000,29000,29000,500,CFV
2023-04-17,25200,25200,25200,25200,100,CFV
2023-04-18,25800,25800,25800,25800,100,CFV
2023-04-19,26000,26000,26000,26000,300,CFV
2023-04-20,26400,29000,26100,29000,800,CFV
2023-04-21,26400,26500,26400,26500,300,CFV
2023-04-26,23200,23600,23200,23600,200,CFV
2023-04-27,23400,23400,23400,23400,100,CFV
2023-04-28,23100,24000,23000,24000,400,CFV
2023-05-04,25000,25500,25000,25500,600,CFV
2023-05-05,23900,23900,23700,23700,800,CFV
2023-05-08,23800,23800,23700,23700,1700,CFV
2023-05-09,22900,22900,22900,22900,1000,CFV
2023-05-10,24900,24900,24900,24900,100,CFV
2023-05-15,23200,23200,22400,22400,2500,CFV
2023-05-19,21000,22800,21000,22800,300,CFV
2023-05-23,22000,22000,22000,22000,300,CFV
2023-05-25,22000,23300,22000,22400,3800,CFV
2023-05-26,22500,22500,22500,22500,100,CFV
2023-05-30,22500,22500,21000,21000,1400,CFV
2023-05-31,19100,23900,18400,18800,3500,CFV
2023-06-01,21500,21500,21500,21500,300,CFV
2023-06-02,24700,24700,24700,24700,2300,CFV
2023-06-05,27000,28400,27000,28400,3500,CFV
2023-06-06,31000,31000,24000,24400,2000,CFV
2023-06-07,27100,27200,26900,27200,1600,CFV
2023-06-08,24500,25000,24500,24500,1600,CFV
2023-06-09,24500,24500,24500,24500,1100,CFV
2023-06-12,24500,24500,24500,24500,1000,CFV
2023-06-13,28100,28100,26000,28100,6900,CFV
2023-06-14,32299,32299,29000,29000,3400,CFV
2023-06-15,28900,28900,27500,28900,2400,CFV
2023-06-16,28400,28400,27500,27500,6600,CFV
2023-06-19,30800,30800,27000,28800,1100,CFV
2023-06-20,30800,30800,27700,27700,300,CFV
2023-06-21,27700,29900,27000,29900,2300,CFV
2023-06-22,29700,29700,29000,29000,200,CFV
2023-06-26,29300,29300,27400,29000,400,CFV
2023-06-27,27800,27800,27100,27100,900,CFV
2023-06-28,27000,27000,27000,27000,400,CFV
2023-06-29,30000,30000,25500,25500,1100,CFV
2023-06-30,27000,27000,27000,27000,100,CFV
2023-07-03,24200,29900,24100,29900,400,CFV
2023-07-04,26000,28900,26000,28900,300,CFV
2023-07-05,24500,29400,24500,29400,200,CFV
2023-07-06,28900,28900,25800,28000,400,CFV
2023-07-10,27000,27000,27000,27000,100,CFV
2023-07-11,27000,29300,27000,29300,300,CFV
2023-07-12,25500,27300,25500,27300,300,CFV
2023-07-13,30000,30000,29300,29300,1100,CFV
2023-07-14,25200,27500,25200,27500,700,CFV
2023-07-17,26300,26500,26000,26000,2600,CFV
2023-07-18,27700,27700,27700,27700,100,CFV
2023-07-20,25100,26800,25000,26800,500,CFV
2023-07-21,26900,26900,25500,26900,500,CFV
2023-07-25,26300,26900,26300,26900,400,CFV
2023-07-26,25000,25000,24800,24800,1200,CFV
2023-07-27,25000,26700,24000,26700,1200,CFV
2023-07-28,24000,24000,23000,23000,4600,CFV
2023-07-31,23300,25900,23300,24400,1000,CFV
2023-08-02,24200,24200,24200,24200,100,CFV
2023-08-03,23500,24700,23500,24700,1300,CFV
2023-08-04,24600,25900,24600,25900,200,CFV
2023-08-07,25900,25900,25900,25900,100,CFV
2023-08-09,25000,25000,24000,24000,1000,CFV
2023-08-10,23000,23000,23000,23000,500,CFV
2023-08-11,24900,24900,24900,24900,100,CFV
2023-08-14,24900,26900,24900,25000,500,CFV
2023-08-15,27000,29500,27000,29500,12200,CFV
2023-08-16,30000,33400,30000,33400,4900,CFV
2023-08-17,38200,38200,37800,38200,4100,CFV
2023-08-18,40000,43900,32500,32500,13800,CFV
2023-08-21,30100,30100,30100,30100,2500,CFV
2023-08-22,27000,29000,25700,29000,1700,CFV
2023-08-23,26100,26100,26100,26100,100,CFV
2023-08-24,26100,26100,26100,26100,200,CFV
