time,open,high,low,close,volume,ticker
2023-01-03,20620,21180,20620,21180,24100,CHP
2023-01-04,21080,21180,20900,20950,6400,CHP
2023-01-05,21270,21270,20900,20900,13400,CHP
2023-01-06,20950,21130,20810,21130,33900,CHP
2023-01-09,21220,21220,20950,21180,46100,CHP
2023-01-10,21180,21360,21080,21360,13700,CHP
2023-01-11,21080,21640,21080,21410,19900,CHP
2023-01-12,21410,21550,21410,21460,14400,CHP
2023-01-13,21550,21690,21270,21270,10300,CHP
2023-01-16,21360,21460,20670,21460,7200,CHP
2023-01-17,21080,21600,20990,21550,5800,CHP
2023-01-18,21550,21780,21460,21690,55400,CHP
2023-01-19,21410,21920,21410,21920,18300,CHP
2023-01-27,21920,21920,21830,21920,8700,CHP
2023-01-30,21830,22290,21830,22110,40500,CHP
2023-01-31,21920,22480,21830,22480,38200,CHP
2023-02-01,22570,22660,22290,22520,15400,CHP
2023-02-02,22290,22620,22290,22620,11200,CHP
2023-02-03,22570,22570,22290,22290,4200,CHP
2023-02-06,22290,22660,22290,22520,10500,CHP
2023-02-07,22620,22620,21920,22110,10600,CHP
2023-02-08,22110,22200,22110,22110,19300,CHP
2023-02-09,22010,22110,22010,22110,3000,CHP
2023-02-10,22110,22200,22110,22110,11100,CHP
2023-02-13,22480,22480,21970,21970,1200,CHP
2023-02-14,21690,22290,21690,22290,9800,CHP
2023-02-15,22390,22390,22390,22390,100,CHP
2023-02-16,22290,22290,22110,22200,12700,CHP
2023-02-17,22200,22200,22200,22200,6400,CHP
2023-02-20,22200,22480,22110,22290,16100,CHP
2023-02-21,22290,22570,22110,22570,5600,CHP
2023-02-22,22390,22520,22110,22520,4700,CHP
2023-02-23,22520,22850,21640,21640,28800,CHP
2023-02-24,21830,22480,21780,22480,4400,CHP
2023-02-27,21830,22430,21830,22430,3900,CHP
2023-02-28,22290,22660,22290,22660,26300,CHP
2023-03-01,22660,22660,22290,22390,4600,CHP
2023-03-02,23130,23130,22430,22430,5300,CHP
2023-03-03,22900,22940,22390,22660,4300,CHP
2023-03-06,22290,22850,22290,22620,11800,CHP
2023-03-07,22620,22660,22570,22620,10200,CHP
2023-03-08,22660,22760,22620,22760,20300,CHP
2023-03-09,22760,22940,22660,22900,35400,CHP
2023-03-10,22900,22940,22900,22940,33900,CHP
2023-03-13,22940,22940,22710,22760,15000,CHP
2023-03-14,22940,22940,22570,22940,12600,CHP
2023-03-15,22940,23040,22760,23040,8400,CHP
2023-03-16,23080,23220,23040,23220,33700,CHP
2023-03-17,22340,23450,22340,23220,6400,CHP
2023-03-20,22900,23220,22900,23220,6700,CHP
2023-03-21,22940,23170,22850,23170,9500,CHP
2023-03-22,22900,23040,22900,23040,400,CHP
