time,open,high,low,close,volume,ticker
2023-01-03,22880,23250,22880,23250,4200,CLL
2023-01-04,23250,23750,23160,23750,21900,CLL
2023-01-05,23890,24020,23710,24020,10300,CLL
2023-01-06,22790,24980,22790,23890,7300,CLL
2023-01-09,23160,24800,22790,23710,17400,CLL
2023-01-10,23710,24160,23710,23890,3500,CLL
2023-01-11,23800,24570,23800,24530,9800,CLL
2023-01-12,23890,24620,23250,24620,11100,CLL
2023-01-13,24250,24430,23340,24430,14900,CLL
2023-01-16,23340,25070,23020,23710,13300,CLL
2023-01-17,23520,23710,23520,23710,2400,CLL
2023-01-18,23800,24300,23800,24020,6100,CLL
2023-01-19,25390,25440,24160,24430,24100,CLL
2023-01-27,24980,24980,24530,24800,6600,CLL
2023-01-30,24800,25530,24800,25260,6900,CLL
2023-01-31,25210,25260,24660,25160,8800,CLL
2023-02-01,25210,25620,24800,25440,12100,CLL
2023-02-02,25440,25530,25210,25210,8500,CLL
2023-02-03,25390,25440,25390,25390,23400,CLL
2023-02-06,25440,25440,24660,25350,5200,CLL
2023-02-07,24800,25350,24800,25350,200,CLL
2023-02-08,24660,25070,24660,25070,12100,CLL
2023-02-09,25070,25070,24980,24980,800,CLL
2023-02-10,24620,25070,24620,24750,4400,CLL
2023-02-13,24800,24890,24620,24620,4700,CLL
2023-02-14,25350,25350,25070,25070,35400,CLL
2023-02-15,25070,25070,25070,25070,400,CLL
2023-02-16,25070,25070,25070,25070,2000,CLL
2023-02-17,24660,25300,24660,25070,13100,CLL
2023-02-20,25260,25260,25160,25160,8100,CLL
2023-02-21,25530,25530,25350,25530,22600,CLL
2023-02-22,25530,25940,25530,25890,17000,CLL
2023-02-23,25070,25800,25070,25760,3400,CLL
2023-02-24,25710,25710,24430,24430,1100,CLL
2023-02-27,24480,25710,24480,25710,5300,CLL
2023-02-28,25160,25710,25120,25260,8700,CLL
2023-03-01,25260,25390,25260,25390,1300,CLL
2023-03-02,25980,25980,25070,25390,2900,CLL
2023-03-03,26080,26080,25530,25530,20100,CLL
2023-03-06,24850,25480,24850,25350,1700,CLL
2023-03-07,24850,25480,24850,25480,6600,CLL
2023-03-08,25480,25800,25480,25480,5100,CLL
2023-03-09,25480,25530,25160,25530,1600,CLL
2023-03-10,25530,25980,24800,25890,16200,CLL
2023-03-13,25530,25530,25440,25440,15900,CLL
2023-03-14,24980,25390,24660,25390,6300,CLL
2023-03-15,25350,25530,25350,25390,1000,CLL
2023-03-16,25390,25670,25390,25670,10200,CLL
2023-03-17,25940,25940,25160,25350,5500,CLL
2023-03-20,25160,25160,25160,25160,300,CLL
2023-03-21,25160,25530,24750,25480,12000,CLL
2023-03-22,25480,25480,25480,25480,100,CLL
2023-03-23,25440,25440,25440,25440,700,CLL
2023-03-24,25980,27490,25980,27490,6200,CLL
2023-03-27,26440,26440,26440,26440,500,CLL
2023-03-28,26440,26440,26440,26440,7700,CLL
2023-03-29,26400,26400,26400,26400,100,CLL
2023-03-30,26300,26300,26300,26300,200,CLL
2023-03-31,26900,27310,26900,27310,6000,CLL
2023-04-03,26990,26990,26990,26990,100,CLL
2023-04-04,25890,25890,25890,25890,5000,CLL
2023-04-05,25850,25850,25850,25850,6000,CLL
2023-04-06,26120,26210,26120,26210,200,CLL
2023-04-07,26710,26710,26710,26710,300,CLL
2023-04-07,26710,26710,26710,26710,100,CLL
2023-04-10,26710,27350,26440,27350,10800,CLL
2023-04-11,26810,26810,26810,26810,300,CLL
2023-04-12,26990,27350,26900,27350,600,CLL
2023-04-13,26940,27350,26120,26620,10000,CLL
