time,open,high,low,close,volume,ticker
2023-01-03,46210,46300,44500,44590,700,CLM
2023-01-04,43740,44590,40220,40220,8400,CLM
2023-01-05,44210,44210,44210,44210,400,CLM
2023-01-06,44690,44690,44690,44690,1800,CLM
2023-01-09,48490,48970,45830,45830,400,CLM
2023-01-10,41460,50390,41460,50390,3400,CLM
2023-01-11,54670,54670,54200,54670,700,CLM
2023-01-12,59240,59240,59240,59240,200,CLM
2023-01-16,53720,58760,53720,58000,500,CLM
2023-01-19,56760,56760,55530,55530,1200,CLM
2023-01-27,60660,61040,59900,61040,5600,CLM
2023-01-30,67130,67130,64660,67130,3800,CLM
2023-01-31,64660,64660,64660,64660,100,CLM
2023-02-01,64849,70550,64660,65040,3000,CLM
2023-02-03,64660,64660,64660,64660,400,CLM
2023-02-06,64660,64660,64660,64660,1700,CLM
2023-02-13,58950,58950,58190,58190,1300,CLM
2023-02-15,52490,63700,52490,62850,1500,CLM
2023-02-20,62750,62750,62280,62750,1000,CLM
2023-02-22,61710,61710,61710,61710,300,CLM
2023-02-24,60850,60850,60760,60760,400,CLM
2023-02-27,60380,60380,60380,60380,200,CLM
2023-03-02,58950,58950,57810,58950,2800,CLM
2023-03-08,63610,63610,63610,63610,100,CLM
2023-03-13,66940,66940,66940,66940,100,CLM
2023-03-17,69030,69030,69030,69030,100,CLM
2023-03-24,62180,62180,62180,62180,100,CLM
2023-04-04,62750,62750,62750,62750,200,CLM
2023-04-05,64660,64660,64660,64660,200,CLM
2023-04-10,68740,68740,68740,68740,100,CLM
2023-04-12,69220,69220,69220,69220,100,CLM
2023-04-19,64660,64660,64660,64660,100,CLM
2023-04-24,61800,61800,59900,59900,14900,CLM
2023-04-25,59900,59900,59900,59900,9000,CLM
2023-04-26,59900,59900,59430,59430,12900,CLM
2023-04-27,59900,64560,59900,64560,700,CLM
2023-04-28,61800,61800,61800,61800,5300,CLM
2023-05-04,59900,59900,59900,59900,4000,CLM
2023-05-05,59810,59810,58480,58480,1200,CLM
2023-05-08,58000,58000,58000,58000,11800,CLM
2023-05-09,58000,58000,58000,58000,13500,CLM
2023-05-10,57900,57900,57900,57900,3900,CLM
2023-05-11,56100,56100,55620,55620,4000,CLM
2023-05-12,55910,62660,55720,62660,7300,CLM
2023-05-15,61800,61800,59140,59140,400,CLM
2023-05-16,58400,58500,58400,58500,500,CLM
2023-05-17,58100,58100,55000,55000,300,CLM
2023-05-18,58400,58400,58400,58400,200,CLM
2023-05-19,57900,57900,57800,57800,1200,CLM
2023-05-22,57800,57800,57800,57800,100,CLM
2023-05-23,57900,57900,57900,57900,100,CLM
2023-05-24,57800,57800,57800,57800,800,CLM
2023-05-25,57000,57000,57000,57000,1400,CLM
2023-05-26,57000,57700,52200,57700,1100,CLM
2023-05-30,56100,57000,56000,57000,1500,CLM
2023-05-31,56700,56700,56500,56500,600,CLM
2023-06-01,56400,56400,56400,56400,100,CLM
2023-06-02,56000,56700,56000,56700,900,CLM
2023-06-06,54500,54500,54500,54500,200,CLM
2023-06-07,54900,55500,54900,55500,400,CLM
2023-06-12,55500,56400,55500,56300,3800,CLM
2023-06-13,56100,56100,56000,56100,2100,CLM
2023-06-14,56100,56500,56100,56200,800,CLM
2023-06-15,61000,61000,61000,61000,500,CLM
2023-06-19,58700,58700,57400,58700,3500,CLM
2023-06-21,57800,57800,57800,57800,200,CLM
2023-06-22,60000,60000,58100,59500,1900,CLM
2023-06-26,59000,60000,59000,59000,1100,CLM
2023-06-28,62500,62500,62500,62500,200,CLM
2023-06-29,58500,58500,58300,58300,400,CLM
2023-07-03,58400,58600,58400,58600,500,CLM
2023-07-04,58700,59000,58700,59000,1400,CLM
2023-07-10,59000,59000,59000,59000,600,CLM
2023-07-12,55200,59000,55200,59000,400,CLM
2023-07-13,60000,60000,60000,60000,200,CLM
2023-07-14,58500,58500,58000,58000,600,CLM
2023-07-17,61900,61900,61900,61900,100,CLM
2023-07-18,61900,61900,57300,58000,1700,CLM
2023-07-19,58000,58000,58000,58000,200,CLM
2023-07-20,58500,58800,58300,58800,2100,CLM
2023-07-21,58800,58800,58800,58800,300,CLM
2023-07-24,58000,58000,58000,58000,4500,CLM
2023-07-25,56000,58800,56000,58300,400,CLM
2023-07-26,58100,58100,58100,58100,5300,CLM
2023-07-27,59900,59900,59900,59900,300,CLM
2023-07-28,59900,59900,59900,59900,300,CLM
2023-07-31,59700,59800,59600,59600,1600,CLM
2023-08-01,59300,59400,57100,59400,4900,CLM
2023-08-02,60400,60400,60400,60400,100,CLM
2023-08-04,60500,60500,60500,60500,1600,CLM
2023-08-07,60500,60500,58300,60400,1300,CLM
2023-08-08,58400,58400,58400,58400,1100,CLM
2023-08-09,58500,60400,58500,60400,1000,CLM
2023-08-10,60400,60400,58600,58600,1700,CLM
2023-08-11,61900,61900,61900,61900,100,CLM
2023-08-14,58400,58400,58000,58000,2500,CLM
2023-08-15,58600,58600,57200,57200,1900,CLM
2023-08-16,62800,62800,59000,60400,600,CLM
2023-08-18,59600,59600,55100,55100,200,CLM
2023-08-21,58500,58800,58400,58800,400,CLM
2023-08-22,58800,58800,58800,58800,100,CLM
2023-08-23,59800,59800,59800,59800,100,CLM
2023-08-24,63000,63000,61000,61000,200,CLM
2023-08-25,62400,62400,55200,60400,2500,CLM
2023-08-28,60400,60400,60400,60400,200,CLM
2023-08-31,59100,59400,55300,55300,6500,CLM
2023-09-05,60000,60000,55300,55300,5100,CLM
2023-09-06,55600,56200,55600,56200,500,CLM
2023-09-07,57800,57800,57800,57800,300,CLM
2023-09-08,57700,57700,57700,57700,600,CLM
2023-09-11,58000,58000,57000,57000,3400,CLM
2023-09-12,56100,57900,56100,57900,300,CLM
2023-09-15,59000,59000,58900,58900,1000,CLM
2023-09-18,58600,58600,58600,58600,500,CLM
2023-09-19,58200,58200,58200,58200,300,CLM
2023-09-20,58200,58200,58200,58200,300,CLM
2023-09-22,58000,58000,58000,58000,100,CLM
2023-09-25,58000,58000,58000,58000,300,CLM
2023-09-26,58000,58000,58000,58000,200,CLM
2023-10-06,58000,58000,58000,58000,5000,CLM
2023-10-09,63700,63700,63700,63700,300,CLM
