time,open,high,low,close,volume,ticker
2023-01-12,22200,22200,22200,22200,100,CLW
2023-01-16,21240,21240,21240,21240,100,CLW
2023-02-06,20080,20130,20080,20130,200,CLW
2023-02-21,21530,21530,21530,21530,100,CLW
2023-02-22,23020,23020,23020,23020,100,CLW
2023-02-23,24610,24610,24610,24610,400,CLW
2023-02-24,26300,26300,26300,26300,100,CLW
2023-02-27,28130,28130,28130,28130,100,CLW
2023-02-28,30050,30050,30050,30050,500,CLW
2023-03-01,27980,27980,27980,27980,100,CLW
2023-03-02,26100,26100,26050,26050,1500,CLW
2023-03-06,27840,27840,27840,27840,100,CLW
2023-03-07,29760,29760,29760,29760,5500,CLW
2023-03-08,27840,27840,27840,27840,100,CLW
2023-03-13,26200,26200,26200,26200,100,CLW
2023-03-15,24510,24510,24510,24510,100,CLW
2023-03-31,26200,26200,26200,26200,100,CLW
2023-04-03,28030,28030,28030,28030,100,CLW
2023-04-04,29960,29960,29960,29960,700,CLW
2023-04-05,28030,28030,28030,28030,100,CLW
2023-04-10,29960,29960,29960,29960,600,CLW
2023-04-13,27980,27980,27980,27980,100,CLW
2023-04-14,28750,28750,28750,28750,100,CLW
2023-04-17,26870,26870,26870,26870,100,CLW
2023-04-18,26920,26920,26920,26920,100,CLW
2023-04-20,27930,27930,27930,27930,100,CLW
2023-04-21,29860,29860,29860,29860,100,CLW
2023-04-27,29860,29860,29860,29860,100,CLW
2023-05-04,27790,27790,27790,27790,100,CLW
2023-05-05,25860,25860,25860,25860,100,CLW
2023-05-09,24180,27640,24180,27640,200,CLW
2023-05-11,29570,29570,29570,29570,600,CLW
2023-05-12,30820,30820,30820,30820,300,CLW
2023-05-18,31790,31790,31790,31790,200,CLW
2023-05-19,29570,29570,29570,29570,100,CLW
2023-05-30,29380,29380,29380,29380,100,CLW
2023-06-02,31400,31400,31400,31400,200,CLW
2023-06-05,30400,30400,30400,30400,100,CLW
2023-06-08,32500,32500,32500,32500,200,CLW
2023-06-09,30250,30250,30250,30250,100,CLW
2023-06-12,30250,30250,30250,30250,5100,CLW
2023-06-14,32350,32350,32000,32000,200,CLW
2023-06-15,31500,34200,31500,34200,5100,CLW
2023-06-16,31850,31850,31850,31850,5600,CLW
2023-06-22,32049,32049,32049,32049,100,CLW
2023-06-23,33000,34250,33000,34250,800,CLW
2023-06-26,31950,31950,31950,31950,100,CLW
2023-06-30,31950,31950,31950,31950,100,CLW
2023-07-12,31000,31000,31000,31000,500,CLW
2023-07-14,31000,31000,31000,31000,4000,CLW
2023-07-21,33150,33150,33150,33150,1100,CLW
2023-07-24,35450,35450,35450,35450,2100,CLW
2023-07-25,33000,33000,33000,33000,100,CLW
2023-08-08,30750,30750,30750,30750,100,CLW
2023-08-09,32900,32900,32900,32900,200,CLW
2023-08-10,32950,32950,30700,30700,200,CLW
2023-08-11,31000,31000,30700,30700,2600,CLW
2023-08-14,28750,28750,28750,28750,100,CLW
2023-08-16,30750,30750,30750,30750,100,CLW
2023-08-17,30100,32900,30100,32900,200,CLW
2023-08-18,35200,35200,35200,35200,2700,CLW
2023-08-21,32800,32800,32800,32800,100,CLW
2023-08-22,30700,30700,30700,30700,200,CLW
2023-08-23,28600,28600,28600,28600,100,CLW
2023-09-12,30600,30600,30600,30600,100,CLW
2023-09-15,32700,32700,32700,32700,100,CLW
2023-09-18,34950,34950,34950,34950,400,CLW
2023-09-19,34950,34950,34950,34950,100,CLW
2023-09-20,34950,34950,34950,34950,100,CLW
2023-09-21,33000,33000,33000,33000,100,CLW
2023-09-25,31050,31050,31050,31050,100,CLW
2023-09-26,33200,33200,28950,33200,2800,CLW
2023-09-27,33200,35500,33200,35500,200,CLW
2023-09-28,33100,35000,33100,35000,2200,CLW
2023-09-29,33100,33100,33100,33100,100,CLW
2023-10-03,35400,35400,34900,34900,200,CLW
2023-10-04,32500,36900,32500,36900,1200,CLW
2023-10-05,35200,35200,35200,35200,200,CLW
2023-10-06,32800,37400,32800,35000,2300,CLW
2023-10-09,32700,36600,32700,36600,3100,CLW
2023-10-10,36500,36500,36500,36500,1000,CLW
2023-10-11,36400,36500,36300,36500,4500,CLW
