time,open,high,low,close,volume,ticker
2023-01-03,39000,41500,39000,41500,74900,CMG
2023-01-04,41950,41950,38600,41100,40700,CMG
2023-01-05,40950,41200,40200,41200,62800,CMG
2023-01-06,41500,41500,39700,40950,39900,CMG
2023-01-09,40900,40900,38800,40000,78500,CMG
2023-01-10,42000,42050,39500,41400,66700,CMG
2023-01-11,41050,41050,39000,40850,102700,CMG
2023-01-12,40800,40800,39300,40500,21800,CMG
2023-01-13,39400,41000,39400,40250,77900,CMG
2023-01-16,40500,40500,39200,40300,7400,CMG
2023-01-17,40550,40550,39800,40500,14800,CMG
2023-01-18,40500,41000,40200,41000,54400,CMG
2023-01-19,40950,41900,40250,41600,61400,CMG
2023-01-27,42000,43500,42000,43500,192500,CMG
2023-01-30,43500,43900,42450,43000,34300,CMG
2023-01-31,43000,43100,41500,43100,54200,CMG
2023-02-01,42100,43300,41350,41600,46800,CMG
2023-02-02,40200,42850,40150,42400,42700,CMG
2023-02-03,42000,43000,41850,43000,40200,CMG
2023-02-06,42950,43000,42000,42500,11800,CMG
2023-02-07,42000,43000,41300,41300,117100,CMG
2023-02-08,42450,42500,40300,41950,32100,CMG
2023-02-09,41950,42400,41700,41950,13800,CMG
2023-02-10,41900,41900,40200,41500,18000,CMG
2023-02-13,40250,41900,39250,41900,36100,CMG
2023-02-14,41900,41900,40000,41900,21100,CMG
2023-02-15,40350,41800,40250,41600,26700,CMG
2023-02-16,41600,41600,40100,41300,13500,CMG
2023-02-17,40350,41250,40350,41250,37800,CMG
2023-02-20,41350,41900,40700,41900,44300,CMG
2023-02-21,41200,42400,41200,41900,12900,CMG
2023-02-22,40600,40950,40000,40000,97600,CMG
2023-02-23,39950,40900,39500,40900,45600,CMG
2023-02-24,41400,41400,39750,40550,19000,CMG
2023-02-27,39100,40400,38550,39900,20400,CMG
2023-02-28,40150,41000,39000,40600,44600,CMG
2023-03-01,39900,40900,39900,40900,20600,CMG
2023-03-02,40950,40950,40000,40450,11300,CMG
2023-03-03,40100,40100,39200,39300,20800,CMG
2023-03-06,40300,40800,39150,40450,41600,CMG
2023-03-07,40450,40450,39900,40350,12000,CMG
2023-03-08,39200,40700,39200,40700,18100,CMG
2023-03-09,40600,40600,40000,40500,14500,CMG
2023-03-10,40450,41300,39950,41000,87700,CMG
2023-03-13,40100,40950,39600,40800,23300,CMG
2023-03-14,40000,40300,39400,39400,62000,CMG
2023-03-15,40800,41300,40000,41300,88300,CMG
2023-03-16,40500,41200,39900,41000,25600,CMG
2023-03-17,40850,41400,40350,41100,24300,CMG
2023-03-20,41400,41400,40050,40300,28700,CMG
2023-03-21,40950,41000,39950,40950,18400,CMG
2023-03-22,41100,41100,40950,40950,600,CMG
2023-03-23,40200,40200,39650,39650,2400,CMG
2023-03-24,41000,41000,40650,40650,5500,CMG
2023-03-27,40550,40550,39700,39700,16100,CMG
2023-03-28,40400,40450,39900,39900,11100,CMG
2023-03-29,39800,39800,39700,39800,8200,CMG
2023-03-30,39600,39600,39600,39600,1000,CMG
2023-03-31,40100,40200,40100,40200,500,CMG
2023-04-03,39900,40850,39900,40000,1000,CMG
2023-04-04,39700,39700,39700,39700,1000,CMG
2023-04-05,40800,41000,40200,41000,90900,CMG
2023-04-06,42000,42000,42000,42000,4000,CMG
2023-04-07,41500,41850,40400,41700,4600,CMG
