time,open,high,low,close,volume,ticker
2023-01-03,54070,73020,54070,54160,4700,CMN
2023-01-04,61340,61340,61340,61340,100,CMN
2023-01-09,52150,52150,52150,52150,100,CMN
2023-01-10,59810,59810,59810,59810,100,CMN
2023-01-16,57420,57420,57420,57420,800,CMN
2023-01-19,48800,48800,48800,48800,100,CMN
2023-02-07,56080,56080,56080,56080,100,CMN
2023-02-08,64400,64400,64400,64400,100,CMN
2023-02-15,64120,67940,64120,67940,300,CMN
2023-02-17,74550,74550,74550,74550,100,CMN
2023-02-24,63450,63450,63450,63450,400,CMN
2023-02-27,54070,54070,54070,54070,500,CMN
2023-03-01,46510,46510,46510,46510,100,CMN
2023-03-15,53400,53400,53400,53400,100,CMN
2023-03-23,56460,56460,56460,56460,100,CMN
2023-03-27,62580,62580,62580,62580,100,CMN
2023-04-03,71870,71870,71870,71870,100,CMN
2023-04-05,61150,61150,61150,61150,100,CMN
2023-04-06,61150,61150,61150,61150,200,CMN
2023-04-12,61150,61150,61150,61150,100,CMN
2023-04-21,53590,53590,53590,53590,900,CMN
2023-04-24,45650,45650,45650,45650,100,CMN
2023-05-05,52440,52440,52440,52440,100,CMN
2023-05-11,49760,49760,49760,49760,400,CMN
2023-05-15,49760,49760,49760,49760,300,CMN
2023-05-17,57230,57230,57230,57230,400,CMN
2023-05-19,64590,64590,64590,64590,100,CMN
2023-05-23,54930,54930,54930,54930,100,CMN
2023-05-24,67940,67940,67940,67940,100,CMN
2023-05-25,57800,57800,57800,57800,600,CMN
2023-05-30,57800,57800,50100,50100,800,CMN
2023-05-31,49600,49600,49600,49600,100,CMN
2023-06-06,50100,50100,50100,50100,100,CMN
2023-06-07,57000,57600,57000,57600,300,CMN
2023-06-08,62000,65900,62000,65900,200,CMN
2023-06-14,54400,54400,54400,54400,100,CMN
2023-06-27,62500,62500,54500,54500,1100,CMN
2023-06-28,61800,71000,61800,61900,6500,CMN
2023-06-29,58900,58900,58900,58900,100,CMN
2023-07-07,58900,58900,58900,58900,200,CMN
2023-07-17,67700,67700,59000,59000,1100,CMN
2023-07-18,76900,76900,57200,57200,400,CMN
2023-07-19,75000,75000,61700,61700,200,CMN
2023-07-20,70000,70000,60200,60200,1200,CMN
2023-07-21,60300,60300,60000,60000,600,CMN
2023-07-24,69000,69000,55100,55100,300,CMN
2023-07-25,55300,73400,55300,55500,300,CMN
2023-07-26,53200,53200,53200,53200,100,CMN
2023-07-27,52600,60400,52600,60400,200,CMN
2023-08-16,56500,64900,56500,56500,300,CMN
2023-08-22,68100,68100,68100,68100,200,CMN
2023-08-23,58100,70000,58100,70000,200,CMN
2023-08-24,70000,70000,70000,70000,300,CMN
2023-08-25,70000,75000,70000,75000,200,CMN
2023-08-30,69000,69000,69000,69000,400,CMN
2023-08-31,69000,69000,69000,69000,100,CMN
2023-09-06,68000,68000,68000,68000,100,CMN
2023-09-20,77000,77000,60100,60100,2200,CMN
2023-09-21,65500,65500,65500,65500,100,CMN
2023-09-22,55700,55700,55700,55700,100,CMN
2023-09-25,47400,47400,47400,47400,100,CMN
2023-09-28,40300,54500,40300,54500,1100,CMN
2023-10-02,53100,53100,53100,53100,100,CMN
2023-10-03,61000,61000,61000,61000,200,CMN
2023-10-04,70100,70100,69700,70000,600,CMN
2023-10-05,70000,70000,70000,70000,100,CMN
2023-10-06,70000,70000,70000,70000,400,CMN
