time,open,high,low,close,volume,ticker
2023-01-03,12100,12100,11900,12000,7400,CMT
2023-01-04,12500,12500,12500,12500,500,CMT
2023-01-06,12300,12300,11100,11100,3000,CMT
2023-01-09,12500,12500,12500,12500,100,CMT
2023-01-11,12300,12300,12300,12300,3700,CMT
2023-01-13,11600,11600,11500,11500,1500,CMT
2023-01-16,11500,11600,11500,11600,400,CMT
2023-01-17,12900,12900,11600,11600,1100,CMT
2023-01-18,11900,12900,11900,12900,6400,CMT
2023-01-19,12800,12900,12500,12500,9500,CMT
2023-01-27,12500,14200,12500,14200,1200,CMT
2023-01-30,13700,13700,12100,12100,3600,CMT
2023-01-31,12000,12600,12000,12600,3800,CMT
2023-02-01,12200,13100,11800,13100,11600,CMT
2023-02-02,11700,11800,11700,11700,15000,CMT
2023-02-03,11800,11800,11800,11800,3500,CMT
2023-02-06,12200,12300,12000,12000,3200,CMT
2023-02-07,13000,13000,13000,13000,100,CMT
2023-02-08,12500,13800,12500,13800,200,CMT
2023-02-13,12000,12800,11800,12800,1300,CMT
2023-02-14,11800,12500,11800,11900,3100,CMT
2023-02-15,12900,12900,12900,12900,100,CMT
2023-02-17,12000,12600,12000,12600,200,CMT
2023-02-21,13300,13300,12800,12800,600,CMT
2023-02-22,12700,12700,12700,12700,300,CMT
2023-02-23,11800,12000,11800,12000,600,CMT
2023-02-24,12700,12700,12700,12700,100,CMT
2023-02-27,12500,12500,12500,12500,100,CMT
2023-03-01,12200,12500,12200,12500,5600,CMT
2023-03-02,13500,13500,13500,13500,100,CMT
2023-03-03,11900,11900,11900,11900,500,CMT
2023-03-08,11900,11900,11800,11900,16300,CMT
2023-03-13,11900,12000,11900,12000,5400,CMT
2023-03-15,11900,11900,11900,11900,6300,CMT
2023-03-17,11500,11700,11500,11700,300,CMT
2023-03-20,12500,12500,11200,11300,2900,CMT
2023-03-21,11100,11600,11100,11600,300,CMT
2023-03-22,11700,11700,11700,11700,100,CMT
2023-03-23,12400,12400,12400,12400,100,CMT
2023-03-27,11500,11500,11500,11500,100,CMT
2023-03-28,10700,10700,10700,10700,4700,CMT
2023-03-29,11200,11200,11200,11200,5000,CMT
2023-03-30,11200,11200,11200,11200,500,CMT
2023-03-31,12000,12800,12000,12800,17200,CMT
2023-04-03,13000,13000,13000,13000,100,CMT
2023-04-04,12400,12400,12400,12400,500,CMT
2023-04-05,12300,12300,12300,12300,600,CMT
2023-04-06,11900,11900,11900,11900,800,CMT
2023-04-07,11600,11600,11400,11400,10300,CMT
2023-04-10,11800,11800,11500,11500,1500,CMT
2023-04-11,11700,11700,11700,11700,200,CMT
2023-04-12,11700,11900,11700,11900,4300,CMT
2023-04-13,11600,11600,11600,11600,200,CMT
2023-04-14,11500,11500,11500,11500,1100,CMT
2023-04-17,11400,11400,11400,11400,800,CMT
2023-04-19,11600,11600,11200,11200,6800,CMT
2023-04-20,11400,12100,11400,12100,300,CMT
2023-04-25,11300,11300,11300,11300,700,CMT
2023-04-26,12000,12000,11900,11900,500,CMT
2023-04-27,11600,11700,11600,11700,3200,CMT
2023-05-05,11500,11500,11500,11500,500,CMT
2023-05-08,11500,11500,11500,11500,100,CMT
2023-05-09,11500,11500,11400,11400,4000,CMT
2023-05-10,11500,11500,11500,11500,1100,CMT
