time,open,high,low,close,volume,ticker
2023-01-03,7690,8130,7680,8130,1353200,CMX
2023-01-04,8350,8360,8100,8180,610700,CMX
2023-01-05,8300,8300,8109,8189,489100,CMX
2023-01-06,8250,8450,8080,8140,1859800,CMX
2023-01-09,8300,8380,8140,8210,550300,CMX
2023-01-10,8210,8300,8100,8180,640700,CMX
2023-01-11,8200,8380,8150,8150,547600,CMX
2023-01-12,8300,8650,8090,8450,1272100,CMX
2023-01-13,8520,8550,8270,8290,1005400,CMX
2023-01-16,8200,8300,8150,8150,676600,CMX
2023-01-17,8150,8360,8150,8330,764500,CMX
2023-01-18,8330,8720,8280,8720,1609900,CMX
2023-01-19,8700,8770,8670,8750,739600,CMX
2023-01-27,8770,8990,8770,8780,843000,CMX
2023-01-30,8750,8800,8610,8680,1111300,CMX
2023-01-31,8610,9000,8490,9000,1103600,CMX
2023-02-01,9030,9030,8500,8900,1026900,CMX
2023-02-02,8870,8870,8500,8600,702300,CMX
2023-02-03,8600,8740,8300,8740,1358900,CMX
2023-02-06,8570,8710,8450,8710,520900,CMX
2023-02-07,8700,9030,8590,8800,1044500,CMX
2023-02-08,8800,8900,8500,8900,489600,CMX
2023-02-09,8900,9520,8900,9520,4789000,CMX
2023-02-10,10150,10150,9700,9760,2014000,CMX
2023-02-13,9760,9770,9080,9100,3687700,CMX
2023-02-14,9200,9250,9090,9160,1046100,CMX
2023-02-15,9100,9490,9100,9300,1195300,CMX
2023-02-16,9480,9850,9350,9850,1570000,CMX
2023-02-17,9950,10050,9550,9580,1198200,CMX
2023-02-20,9500,9950,9490,9950,1025000,CMX
2023-02-21,10000,10200,9630,9700,2005400,CMX
2023-02-22,9530,9640,9200,9200,1177100,CMX
2023-02-23,9190,9350,8660,9200,1098300,CMX
2023-02-24,9240,9240,8750,8800,749200,CMX
2023-02-27,8500,8620,8350,8480,741900,CMX
2023-02-28,8510,8700,8400,8540,345200,CMX
2023-03-01,8500,8850,8450,8850,436900,CMX
2023-03-02,8800,8880,8400,8750,307500,CMX
2023-03-03,8630,8780,8500,8500,267300,CMX
2023-03-06,8550,8650,8440,8440,361700,CMX
2023-03-07,8300,8500,8300,8400,295400,CMX
2023-03-08,8350,8490,8300,8490,314600,CMX
2023-03-09,8550,8650,8530,8570,358800,CMX
2023-03-10,8570,8870,8500,8680,455500,CMX
2023-03-13,8600,8600,8450,8460,301900,CMX
2023-03-14,8470,8530,8180,8180,609000,CMX
2023-03-15,8450,8480,8330,8470,287700,CMX
2023-03-16,8410,8410,8240,8300,244300,CMX
2023-03-17,8320,8430,8260,8260,187700,CMX
2023-03-20,8240,8260,7850,7870,567100,CMX
2023-03-21,7970,8000,7860,7950,304700,CMX
2023-03-22,8119,8119,7950,8000,177900,CMX
2023-03-23,7810,8050,7800,8039,246900,CMX
2023-03-24,8050,8150,8000,8100,290800,CMX
2023-03-27,8140,8260,8119,8170,199700,CMX
2023-03-28,8200,8360,8200,8330,463500,CMX
2023-03-29,8300,8450,8180,8320,243100,CMX
2023-03-30,8360,8400,8230,8360,193800,CMX
2023-03-31,8270,8300,8180,8270,183400,CMX
2023-04-03,8500,8500,8300,8450,386300,CMX
2023-04-04,8530,8690,8420,8650,540000,CMX
2023-04-05,8680,8860,8610,8800,386600,CMX
2023-04-06,8950,9000,8730,8780,436200,CMX
2023-04-07,8520,8590,8410,8500,145300,CMX
2023-04-10,8500,8600,8400,8450,324000,CMX
2023-04-11,8490,8850,8490,8700,462800,CMX
2023-04-12,8850,8850,8640,8710,245900,CMX
2023-04-13,8700,8850,8690,8810,442900,CMX
2023-04-14,8850,9150,8850,9000,1137800,CMX
2023-04-17,8980,8980,8820,8890,216400,CMX
2023-04-18,8760,9100,8760,8900,424900,CMX
2023-04-19,8930,9060,8590,8600,442500,CMX
2023-04-20,8520,8740,8520,8690,281700,CMX
2023-04-21,8690,8700,8510,8510,248600,CMX
2023-04-24,8510,8560,8320,8320,274800,CMX
2023-04-25,8210,8400,8200,8290,193100,CMX
2023-04-26,8250,8400,8250,8400,80700,CMX
2023-04-27,8350,8480,8350,8400,146500,CMX
2023-04-28,8470,8470,8360,8370,102400,CMX
2023-05-04,8310,8520,8310,8410,131800,CMX
2023-05-05,8700,8910,8650,8810,315000,CMX
2023-05-08,8800,8800,8600,8700,190300,CMX
2023-05-09,8760,8770,8630,8630,193000,CMX
2023-05-10,8600,8760,8600,8730,468700,CMX
2023-05-11,8760,9050,8760,8790,374200,CMX
2023-05-12,8780,8780,8720,8720,282300,CMX
2023-05-15,8840,8950,8750,8850,631200,CMX
2023-05-16,8890,9030,8870,8960,564200,CMX
2023-05-17,9100,9590,9100,9300,1642000,CMX
2023-05-18,9300,9400,9030,9060,430100,CMX
2023-05-19,9040,9050,8720,8800,822500,CMX
2023-05-22,8800,9000,8700,8930,417600,CMX
2023-05-23,8910,9080,8780,8790,320100,CMX
2023-05-24,9000,9000,8760,8900,341100,CMX
2023-05-25,8890,8910,8660,8660,481500,CMX
2023-05-26,8700,8900,8700,8900,262700,CMX
2023-05-29,8960,9480,8960,9410,1689400,CMX
2023-05-30,9430,9500,9230,9290,792300,CMX
2023-05-31,9300,9700,9300,9530,1157700,CMX
2023-06-01,9700,9750,9450,9450,1671500,CMX
2023-06-02,9620,9620,9300,9450,772700,CMX
2023-06-05,9550,9650,9400,9550,1165800,CMX
2023-06-06,9650,9770,9580,9660,891600,CMX
2023-06-07,9660,9750,9530,9570,1016000,CMX
2023-06-08,9660,10000,9560,9600,2322300,CMX
2023-06-09,9670,9670,9350,9500,869500,CMX
2023-06-12,9540,9740,9450,9610,1422500,CMX
2023-06-13,9740,9750,9580,9630,753900,CMX
2023-06-14,9650,9690,9350,9350,1043000,CMX
2023-06-15,9350,9390,9230,9300,801900,CMX
2023-06-16,9200,9460,9190,9250,651500,CMX
2023-06-19,9250,9350,9080,9150,616900,CMX
2023-06-20,9200,9200,9080,9200,611100,CMX
2023-06-21,9280,9500,9220,9500,778500,CMX
2023-06-22,9590,9800,9480,9680,1290500,CMX
2023-06-23,9660,9780,9500,9600,892600,CMX
2023-06-26,9600,9700,9370,9460,807500,CMX
2023-06-27,9600,10000,9500,10000,1968600,CMX
2023-06-28,10200,10400,10100,10100,2292600,CMX
2023-06-29,10200,10200,9700,9700,1520700,CMX
2023-06-30,9710,9740,9500,9550,983600,CMX
2023-07-03,9560,10000,9560,10000,1050500,CMX
2023-07-04,10050,10100,9860,9960,920400,CMX
2023-07-05,10000,10250,9940,9970,1183900,CMX
2023-07-06,10000,10000,9670,9900,709500,CMX
2023-07-07,9920,10200,9860,10150,1260100,CMX
2023-07-10,10200,10650,10200,10550,2501200,CMX
2023-07-11,10700,10700,10350,10450,1350800,CMX
2023-07-12,10400,10500,10300,10450,929900,CMX
2023-07-13,10500,10800,10400,10600,1338700,CMX
2023-07-14,10700,10900,10500,10750,1410200,CMX
2023-07-17,10800,10900,10450,10550,1306400,CMX
2023-07-18,10500,10600,10200,10300,1666700,CMX
2023-07-19,10350,10600,10300,10450,1033200,CMX
