time,open,high,low,close,volume,ticker
2023-01-03,27810,27810,27030,27030,2200,CNC
2023-01-06,27030,27030,27030,27030,2000,CNC
2023-01-09,27120,27810,27120,27710,1600,CNC
2023-01-10,27520,27520,27520,27520,600,CNC
2023-01-11,27520,27520,27520,27520,3200,CNC
2023-01-12,27520,27620,27520,27620,3500,CNC
2023-01-16,27710,27710,27710,27710,100,CNC
2023-01-17,27520,27520,27520,27520,3000,CNC
2023-01-18,27520,27520,27520,27520,12900,CNC
2023-01-19,27620,27620,27520,27520,700,CNC
2023-01-27,27710,28110,27710,27810,3500,CNC
2023-01-30,27810,28110,27810,27910,13600,CNC
2023-01-31,27910,28110,27910,28110,3000,CNC
2023-02-01,28300,29480,28300,28500,18000,CNC
2023-02-02,28600,28600,28210,28500,2300,CNC
2023-02-03,28500,28790,28500,28600,17300,CNC
2023-02-06,27910,28500,27910,28500,1100,CNC
2023-02-07,28110,29480,28110,28500,9300,CNC
2023-02-08,29090,29090,29090,29090,8200,CNC
2023-02-09,28990,29290,28790,28790,6300,CNC
2023-02-10,28300,28890,28300,28890,1200,CNC
2023-02-13,28500,28990,28110,28400,6800,CNC
2023-02-14,28700,28990,28700,28790,16700,CNC
2023-02-15,28990,28990,28990,28990,13900,CNC
2023-02-16,29290,29780,29290,29480,40400,CNC
2023-02-17,32040,32040,29480,30470,34500,CNC
2023-02-20,30070,30470,29480,30470,18400,CNC
2023-02-21,29780,29780,29480,29580,2200,CNC
2023-02-22,31350,31350,29880,30960,26100,CNC
2023-02-23,29970,30560,29970,30560,1000,CNC
2023-02-24,31350,31350,29290,30270,15500,CNC
2023-02-27,31250,31250,29880,29880,4400,CNC
2023-02-28,29970,29970,29780,29780,400,CNC
2023-03-01,34300,34300,29970,29970,1000,CNC
2023-03-02,28110,29880,28110,29380,7200,CNC
2023-03-03,30170,30170,29480,29480,3400,CNC
2023-03-06,30370,30370,29090,29090,4500,CNC
2023-03-07,29880,29880,28890,28890,7000,CNC
2023-03-08,31350,31350,29970,29970,1400,CNC
2023-03-09,28790,29680,28790,28890,6600,CNC
2023-03-10,28890,28890,28890,28890,200,CNC
2023-03-13,28890,28890,28890,28890,6000,CNC
2023-03-14,28700,28700,28500,28600,15100,CNC
2023-03-15,28990,28990,28500,28500,6200,CNC
2023-03-16,28300,28300,28210,28300,800,CNC
2023-03-17,28300,28500,28300,28500,4500,CNC
2023-03-20,28300,28300,28300,28300,2000,CNC
2023-03-22,28010,28010,28010,28010,300,CNC
2023-03-23,28500,28500,28500,28500,400,CNC
2023-03-24,28010,28010,28010,28010,200,CNC
2023-03-27,27910,27910,27910,27910,100,CNC
2023-03-28,28210,28210,28210,28210,100,CNC
2023-03-29,28210,28210,28210,28210,100,CNC
2023-03-30,28400,28400,28400,28400,100,CNC
2023-03-31,28400,28400,28400,28400,300,CNC
2023-04-03,28300,28300,28300,28300,200,CNC
2023-04-04,28500,28500,28500,28500,2000,CNC
2023-04-05,28500,28500,28500,28500,100,CNC
2023-04-07,29480,29480,28600,28600,600,CNC
2023-04-07,29480,29480,29480,29480,200,CNC
2023-04-10,28600,28600,28600,28600,3200,CNC
2023-04-11,29380,29380,28600,28600,1400,CNC
2023-04-12,28500,28500,28500,28500,1000,CNC
2023-04-13,28500,28500,28500,28500,1300,CNC
2023-04-14,28500,28500,28500,28500,200,CNC
2023-04-17,28790,28790,28790,28790,100,CNC
