time,open,high,low,close,volume,ticker
2023-01-04,12000,12000,12000,12000,500,CNT
2023-01-05,12300,12300,12300,12300,100,CNT
2023-01-06,12300,12300,12300,12300,500,CNT
2023-01-11,13500,13500,13500,13500,100,CNT
2023-01-13,15000,15000,11500,14300,3600,CNT
2023-01-16,13500,13500,11500,11500,2200,CNT
2023-01-17,12000,12000,12000,12000,100,CNT
2023-01-18,12000,12000,11800,11800,900,CNT
2023-01-19,11800,11800,11800,11800,3700,CNT
2023-01-30,13300,13300,13300,13300,100,CNT
2023-01-31,13700,13700,13500,13500,500,CNT
2023-02-01,14900,14900,13300,13300,200,CNT
2023-02-02,15300,15300,14100,14100,300,CNT
2023-02-03,12900,12900,12600,12600,2200,CNT
2023-02-06,14400,14400,12000,12100,4300,CNT
2023-02-07,13700,13700,12000,12000,800,CNT
2023-02-08,13600,13600,13600,13600,100,CNT
2023-02-09,12500,12500,12500,12500,4900,CNT
2023-02-10,12500,12500,12500,12500,200,CNT
2023-02-13,12000,12000,12000,12000,1300,CNT
2023-02-14,13600,13600,13600,13600,100,CNT
2023-02-15,13800,13800,13800,13800,100,CNT
2023-02-16,12000,12000,12000,12000,2900,CNT
2023-02-17,13000,13000,13000,13000,100,CNT
2023-02-20,13700,13700,12000,12900,1500,CNT
2023-02-21,12200,12200,12000,12000,1900,CNT
2023-02-22,12900,12900,12400,12400,700,CNT
2023-02-23,13800,13800,12300,12300,1100,CNT
2023-02-24,12000,12000,11600,11600,2800,CNT
2023-02-27,11500,12500,11500,12500,4700,CNT
2023-02-28,11900,11900,11900,11900,1500,CNT
2023-03-01,12500,12500,12500,12500,2000,CNT
2023-03-07,11300,12100,11300,12100,3500,CNT
2023-03-08,13400,13400,11700,11700,1000,CNT
2023-03-09,13400,13400,12800,12800,800,CNT
2023-03-10,12500,12500,11500,12500,1100,CNT
2023-03-13,12500,12500,12500,12500,100,CNT
2023-03-14,10800,12300,10800,12300,1800,CNT
2023-03-15,11600,12400,11600,12400,1400,CNT
2023-03-16,11600,11600,11600,11600,800,CNT
2023-03-17,13300,13300,12400,12400,400,CNT
2023-03-21,11100,12500,11100,12500,5500,CNT
2023-03-22,12400,12400,12400,12400,500,CNT
2023-03-24,11000,11000,11000,11000,100,CNT
2023-03-27,11900,11900,11900,11900,800,CNT
2023-03-28,11900,11900,11900,11900,300,CNT
2023-03-30,12900,12900,12900,12900,100,CNT
2023-04-03,12000,12000,12000,12000,100,CNT
2023-04-04,11500,11500,11500,11500,100,CNT
2023-04-05,13200,13200,13200,13200,500,CNT
2023-04-07,14500,14500,12700,12700,2800,CNT
2023-04-07,14500,14500,14500,14500,100,CNT
2023-04-10,11000,11000,11000,11000,100,CNT
2023-04-11,13200,13200,13000,13000,500,CNT
2023-04-12,13400,13400,13400,13400,600,CNT
2023-04-13,13800,13800,12800,12800,200,CNT
2023-04-17,13000,13200,12800,13200,1500,CNT
2023-04-18,12000,13500,11800,13100,3300,CNT
2023-04-19,12600,12600,12200,12200,3400,CNT
2023-04-20,13800,13800,13000,13000,1300,CNT
2023-04-21,12500,12500,12500,12500,2000,CNT
2023-04-24,12700,13000,12700,13000,500,CNT
2023-04-25,12500,12500,12500,12500,1000,CNT
2023-04-26,11800,11800,11800,11800,600,CNT
2023-04-27,12500,12900,12500,12500,2200,CNT
2023-04-28,12900,12900,12900,12900,100,CNT
2023-05-04,12500,12500,12500,12500,500,CNT
2023-05-05,13900,13900,13900,13900,100,CNT
2023-05-10,13500,13500,13500,13500,100,CNT
2023-05-11,13800,13800,12500,12500,7400,CNT
2023-05-12,13900,13900,13900,13900,200,CNT
2023-05-15,12600,12600,12600,12600,10300,CNT
2023-05-16,13900,13900,13900,13900,100,CNT
2023-05-17,14000,14000,14000,14000,100,CNT
2023-05-18,14600,14600,14600,14600,100,CNT
2023-05-19,14000,14000,14000,14000,100,CNT
2023-05-22,14000,14000,14000,14000,200,CNT
2023-05-24,12000,13700,12000,13700,1700,CNT
2023-05-25,12300,13000,12300,13000,1800,CNT
2023-05-26,12900,13000,12900,13000,800,CNT
2023-05-29,12000,13000,12000,12900,3700,CNT
2023-05-30,12100,13000,12100,12700,800,CNT
2023-05-31,12700,12700,12600,12600,1100,CNT
2023-06-01,12800,12800,12600,12800,1500,CNT
2023-06-02,13000,13000,12700,12700,200,CNT
2023-06-07,12800,12900,12300,12900,10100,CNT
2023-06-08,12500,12600,12500,12600,5800,CNT
2023-06-09,12600,12600,12600,12600,4500,CNT
2023-06-12,12400,13000,12100,13000,6000,CNT
2023-06-13,12500,12600,12500,12500,10900,CNT
2023-06-14,13000,13000,12800,12800,1800,CNT
2023-06-15,12700,12700,12700,12700,200,CNT
2023-06-16,13900,13900,13000,13000,7400,CNT
2023-06-19,13300,13500,12800,13400,8400,CNT
2023-06-20,13200,13200,13100,13100,4300,CNT
2023-06-21,13100,13200,13100,13100,8200,CNT
2023-06-22,13200,13500,13100,13500,4600,CNT
2023-06-23,13400,13400,13200,13200,3700,CNT
2023-06-26,13300,13400,13100,13100,4500,CNT
2023-06-27,13500,13500,13200,13200,1200,CNT
2023-06-28,13400,13400,13100,13100,11600,CNT
2023-06-29,13900,13900,13000,13500,15700,CNT
2023-06-30,13200,13700,13100,13300,10200,CNT
2023-07-04,13500,14900,13400,14300,23100,CNT
2023-07-05,14500,14500,14300,14300,6400,CNT
2023-07-06,13700,14500,13700,14500,4600,CNT
2023-07-07,13800,14400,13800,14200,1800,CNT
2023-07-10,14200,14500,14100,14500,2400,CNT
2023-07-11,14500,16200,14500,16200,18000,CNT
2023-07-12,15500,16100,15500,15500,2000,CNT
2023-07-13,15300,15300,15300,15300,100,CNT
2023-07-14,16000,16500,15800,16000,9400,CNT
2023-07-17,16100,16800,16100,16800,11500,CNT
2023-07-18,16600,16600,16600,16600,7000,CNT
2023-07-19,16600,16600,16000,16600,5200,CNT
2023-07-20,16700,16800,16700,16800,3700,CNT
2023-07-21,16800,16800,16000,16000,2900,CNT
2023-07-24,16200,16500,16200,16300,5900,CNT
2023-07-25,16400,16400,16000,16000,6100,CNT
2023-07-26,16400,16400,16400,16400,500,CNT
2023-07-27,15900,16400,15900,15900,15600,CNT
2023-07-28,16100,16500,15900,16500,11700,CNT
2023-07-31,17500,18600,17500,18600,33200,CNT
2023-08-01,19200,20700,19200,20200,10100,CNT
2023-08-02,21000,21000,19700,21000,20800,CNT
2023-08-03,21500,21500,20700,20700,10100,CNT
2023-08-04,22000,22000,20700,21000,19600,CNT
2023-08-07,21000,24000,21000,22000,75000,CNT
2023-08-08,22100,22100,21000,21000,8500,CNT
2023-08-09,22000,23000,21800,22300,45200,CNT
2023-08-10,22000,22600,21600,22400,16900,CNT
2023-08-11,23900,25700,23900,25700,58300,CNT
2023-08-14,26200,28000,26200,27600,74400,CNT
2023-08-15,27200,27800,23000,25000,55900,CNT
2023-08-16,25900,26100,25700,26100,35500,CNT
2023-08-17,28000,28000,24500,25400,63900,CNT
2023-08-18,25700,26900,24800,24900,104100,CNT
2023-08-21,25900,25900,23100,24000,26100,CNT
2023-08-22,23400,25900,21100,25900,46600,CNT
2023-08-23,23100,25800,23100,24000,17800,CNT
2023-08-24,23500,25000,23400,24700,4900,CNT
2023-08-25,24500,24500,23100,23100,10700,CNT
2023-08-28,22200,22600,21000,22300,30700,CNT
2023-08-29,22000,24500,21100,22300,17900,CNT
2023-08-30,21500,22000,21300,21700,84700,CNT
2023-08-31,21500,24000,21500,22000,8000,CNT
2023-09-05,22000,22800,22000,22800,7700,CNT
2023-09-06,22300,23000,22300,22500,11000,CNT
2023-09-07,22300,22500,22300,22300,9400,CNT
2023-09-08,23000,23500,22600,23500,7600,CNT
2023-09-11,23000,23000,22400,22500,3900,CNT
2023-09-12,22600,22600,22400,22600,4100,CNT
2023-09-13,22300,22500,21800,21900,20700,CNT
2023-09-14,21800,21800,20600,21400,34500,CNT
2023-09-15,21000,21100,20900,21100,7800,CNT
2023-09-18,21000,21000,20100,20500,23600,CNT
2023-09-19,20500,21000,20400,21000,27700,CNT
2023-09-20,20500,20600,20500,20600,13500,CNT
