time,open,high,low,close,volume,ticker
2023-01-03,25660,27760,25660,27760,300,COM
2023-01-04,26760,26760,26760,26760,100,COM
2023-01-05,28620,28620,28620,28620,100,COM
2023-01-06,26760,26760,26760,26760,100,COM
2023-01-11,28620,28620,28570,28570,300,COM
2023-01-13,27810,30380,27810,30380,300,COM
2023-01-16,28330,32390,28290,32390,300,COM
2023-01-17,30240,30290,30240,30290,500,COM
2023-01-18,29670,29670,29670,29670,200,COM
2023-01-19,30530,30530,30530,30530,400,COM
2023-01-27,29570,29570,29570,29570,100,COM
2023-02-02,31480,31620,31480,31620,1000,COM
2023-02-06,33390,33390,33390,33390,100,COM
2023-02-27,32439,35730,32439,35730,900,COM
2023-03-01,33250,33250,33250,33250,100,COM
2023-03-02,30960,30960,30960,30960,500,COM
2023-03-03,32439,32439,32439,32439,100,COM
2023-03-09,32439,32439,32439,32439,100,COM
2023-03-10,32240,32240,32240,32240,100,COM
2023-03-14,30000,30000,30000,30000,100,COM
2023-03-15,28090,28090,28090,28090,100,COM
2023-03-16,28090,28090,28050,28050,300,COM
2023-03-17,27520,27520,27520,27520,100,COM
2023-03-20,28910,28910,28910,28910,400,COM
2023-03-21,28670,30530,28670,30530,200,COM
2023-03-22,28720,28720,28720,28720,100,COM
2023-03-23,27280,27280,27280,27280,100,COM
2023-03-24,26760,26760,26760,26760,100,COM
2023-03-28,25380,25380,25380,25380,100,COM
2023-03-30,27330,27330,27330,27330,200,COM
2023-03-31,27330,29240,27330,29240,200,COM
2023-04-03,31240,31240,31240,31240,100,COM
2023-04-04,31240,31240,31240,31240,200,COM
2023-04-06,28860,28860,28860,28860,100,COM
2023-04-07,27380,30050,27380,28480,400,COM
2023-04-07,27380,27380,27380,27380,100,COM
2023-04-10,28620,28620,28620,28620,200,COM
2023-04-11,30530,30530,30480,30480,500,COM
2023-04-12,30290,30290,30290,30290,100,COM
2023-04-13,30190,30190,30190,30190,100,COM
2023-04-14,28520,28520,28520,28520,100,COM
2023-04-18,30000,30000,30000,30000,200,COM
2023-04-25,30530,30530,30530,30530,100,COM
2023-04-27,30720,30720,30720,30720,100,COM
2023-05-04,29140,29140,29140,29140,100,COM
2023-05-05,31150,31150,31150,31150,200,COM
2023-05-08,31000,31000,31000,31000,100,COM
2023-05-11,29050,29050,29050,29050,100,COM
2023-05-15,31000,31000,31000,31000,100,COM
2023-05-29,29350,29350,29350,29350,100,COM
2023-05-30,30000,31000,30000,31000,800,COM
2023-05-31,31950,31950,31950,31950,100,COM
2023-06-01,31950,31950,31950,31950,100,COM
2023-06-09,31900,31900,31900,31900,100,COM
2023-06-13,31900,31900,31900,31900,100,COM
2023-06-14,31900,31900,31900,31900,100,COM
2023-06-15,30000,30000,30000,30000,100,COM
2023-06-19,30000,30000,30000,30000,700,COM
2023-06-21,32100,32100,32100,32100,300,COM
2023-06-26,30000,30000,30000,30000,100,COM
2023-06-28,32100,32100,32100,32100,300,COM
2023-06-30,34300,34300,34300,34300,100,COM
2023-07-04,31900,31900,31900,31900,200,COM
2023-07-17,33900,33900,33900,33900,300,COM
2023-07-20,31800,31800,31800,31800,100,COM
2023-07-28,33500,34000,33500,33800,600,COM
2023-08-04,33800,33800,33800,33800,100,COM
2023-08-14,31800,31800,31800,31800,300,COM
2023-08-15,33900,33900,33900,33900,4800,COM
2023-08-16,33900,33900,33900,33900,100,COM
2023-08-23,31550,31550,31550,31550,4000,COM
2023-08-29,30050,33600,29350,33600,8800,COM
2023-08-31,31250,32000,31250,32000,7900,COM
2023-09-05,34000,34000,34000,34000,100,COM
2023-09-06,32000,32000,32000,32000,400,COM
2023-09-07,32000,32200,32000,32200,1200,COM
2023-09-19,33000,34000,33000,34000,14600,COM
2023-09-20,32000,32000,32000,32000,600,COM
2023-09-26,30050,30050,30050,30050,100,COM
2023-09-27,32150,32150,32000,32000,500,COM
2023-10-06,31000,31000,30050,30050,200,COM
2023-10-10,32150,32150,32150,32150,400,COM
2023-10-12,30200,34400,30200,34400,200,COM
2023-10-13,32500,32500,32000,32000,300,COM
