time,open,high,low,close,volume,ticker
2023-01-03,27470,28420,27470,28420,195700,CSV
2023-01-04,28780,29050,28420,28420,139800,CSV
2023-01-05,28420,28780,28370,28500,139500,CSV
2023-01-06,28540,28780,27960,28220,123900,CSV
2023-01-09,28220,28590,27780,28050,233500,CSV
2023-01-10,27690,28050,27640,27780,111200,CSV
2023-01-11,28050,28150,27870,27960,116800,CSV
2023-01-12,28460,28680,27960,28500,164300,CSV
2023-01-13,28500,29050,28500,28680,327700,CSV
2023-01-16,28680,28860,28540,28860,121900,CSV
2023-01-17,28810,29130,28640,29050,218100,CSV
2023-01-18,28950,29000,28150,28590,518900,CSV
2023-01-19,28500,29680,28500,29590,336800,CSV
2023-01-27,30030,30220,29490,29590,253700,CSV
2023-01-30,29710,30220,29590,29860,697600,CSV
2023-01-31,30230,30510,29760,30320,220400,CSV
2023-02-01,30510,31300,29810,29810,508300,CSV
2023-02-02,29810,29810,28740,28740,397700,CSV
2023-02-03,28830,29020,28040,28740,215200,CSV
2023-02-06,28740,28740,27900,28180,183900,CSV
2023-02-07,28270,28500,27620,27670,250500,CSV
2023-02-08,27720,28180,27160,27720,207200,CSV
2023-02-09,27720,27900,27250,27340,155000,CSV
2023-02-10,27340,27440,27010,27010,126400,CSV
2023-02-13,27060,27060,25770,26130,251000,CSV
2023-02-14,26320,27620,26320,27440,200600,CSV
2023-02-15,27440,27810,26970,27390,87100,CSV
2023-02-16,27440,27620,26970,27620,156200,CSV
2023-02-17,27620,27810,27290,27530,84500,CSV
2023-02-20,27570,27990,27530,27990,157500,CSV
2023-02-21,28090,28270,27160,27670,292000,CSV
2023-02-22,27440,27530,27210,27210,148800,CSV
2023-02-23,27160,27250,26180,26830,470500,CSV
2023-02-24,26930,27060,26360,26410,76000,CSV
2023-02-27,26230,26230,25580,25580,196600,CSV
2023-02-28,25670,26230,24640,25160,373000,CSV
2023-03-01,25110,25810,25020,25670,92200,CSV
2023-03-02,25670,26050,25300,25620,150800,CSV
2023-03-03,25770,25850,25480,25480,31700,CSV
2023-03-06,25770,26000,25250,25250,96400,CSV
2023-03-07,25390,25480,24510,25300,205300,CSV
2023-03-08,25110,25350,25070,25300,93400,CSV
2023-03-09,25390,26050,25390,25950,285900,CSV
2023-03-10,25580,26050,25580,25720,109700,CSV
2023-03-13,25530,25580,25250,25390,104500,CSV
2023-03-14,25300,25390,24640,24970,249900,CSV
2023-03-15,25160,25620,25110,25620,110900,CSV
2023-03-16,25390,25580,25020,25110,124000,CSV
2023-03-17,25200,25440,25020,25300,104300,CSV
2023-03-20,25390,25480,24970,24970,86200,CSV
2023-03-21,25160,25160,24790,25110,111200,CSV
2023-03-22,25110,25580,25110,25350,103800,CSV
2023-03-23,25250,25300,25160,25160,34200,CSV
2023-03-24,25720,25770,25530,25530,54900,CSV
2023-03-27,25900,25900,25480,25480,145700,CSV
2023-03-28,25770,26080,25440,25480,235300,CSV
2023-03-29,25770,25770,25580,25670,46200,CSV
2023-03-30,25620,25670,25480,25480,67500,CSV
2023-03-31,25670,25670,25440,25440,49200,CSV
2023-04-03,25770,26080,25530,25720,154400,CSV
2023-04-04,26130,26830,26050,26740,298500,CSV
2023-04-05,26650,27440,26600,27010,234800,CSV
2023-04-06,27210,27530,26780,26780,282000,CSV
2023-04-07,27210,27250,26740,26880,72500,CSV
2023-04-10,27250,27250,26460,26740,337400,CSV
2023-04-11,26650,27210,26650,27060,238700,CSV
2023-04-12,27290,27530,27060,27110,221600,CSV
2023-04-13,27160,29020,27160,29020,745100,CSV
2023-04-14,28920,29900,28600,28600,490700,CSV
2023-04-17,28880,28880,27810,28370,522400,CSV
2023-04-18,28370,28780,27900,28180,275800,CSV
2023-04-19,28370,29070,28090,28460,529700,CSV
2023-04-20,28780,28830,28180,28780,379400,CSV
2023-04-21,28830,29300,28320,28650,437400,CSV
2023-04-24,28740,28740,28270,28600,182000,CSV
2023-04-25,29110,29250,28500,28740,366600,CSV
2023-04-26,28880,29020,28460,28690,221000,CSV
2023-04-27,28740,29300,28600,29020,375700,CSV
2023-04-28,29110,29390,28690,28740,314600,CSV
2023-05-04,28500,28740,27620,27620,503200,CSV
2023-05-05,27720,27810,27290,27490,326200,CSV
2023-05-08,27440,27990,27440,27760,131700,CSV
2023-05-09,27760,28180,27760,27810,134700,CSV
2023-05-10,27760,28220,27760,28090,346100,CSV
2023-05-11,28090,28550,28040,28090,227600,CSV
2023-05-12,28220,28370,28040,28270,203000,CSV
2023-05-15,28420,28650,28090,28090,173200,CSV
2023-05-16,28460,28460,27530,27670,221100,CSV
2023-05-17,27720,28040,27570,27620,179500,CSV
2023-05-18,27810,28180,27810,27950,118900,CSV
2023-05-19,28270,28270,27670,27720,170900,CSV
2023-05-22,27860,27950,27670,27810,205200,CSV
2023-05-23,28180,28550,27950,28500,247100,CSV
2023-05-24,28920,29020,28600,28600,301800,CSV
2023-05-25,28550,28600,28180,28370,206500,CSV
2023-05-26,28460,28740,28420,28550,146700,CSV
2023-05-29,28780,29900,28650,29670,753500,CSV
2023-05-30,29860,30460,29480,29670,616900,CSV
2023-05-31,29670,29990,29430,29580,396600,CSV
2023-06-01,29670,30460,29580,30130,615900,CSV
2023-06-02,30810,30810,29850,30280,426100,CSV
2023-06-05,30710,31480,29940,31190,1190900,CSV
2023-06-06,30900,31290,30710,30950,338400,CSV
2023-06-07,30950,31290,30610,30950,537800,CSV
2023-06-08,30950,31240,30130,30130,642000,CSV
2023-06-09,30130,31670,29750,31570,878800,CSV
2023-06-12,31860,32530,31670,32250,664400,CSV
2023-06-13,32290,32340,31430,31670,462800,CSV
2023-06-14,32100,32100,31190,31190,497500,CSV
2023-06-15,31190,31480,30850,31190,407000,CSV
2023-06-16,31290,31670,30950,30950,342700,CSV
2023-06-19,31000,31000,30280,30330,293800,CSV
2023-06-20,30330,30810,30330,30710,250000,CSV
2023-06-21,31140,31380,30710,31330,428300,CSV
2023-06-22,31530,33490,31290,33490,1272200,CSV
2023-06-23,34360,34640,33490,33830,570700,CSV
2023-06-26,33830,34550,33250,34500,772700,CSV
2023-06-27,34740,34930,34020,34360,371900,CSV
2023-06-28,34360,34360,33590,33680,540000,CSV
2023-06-29,33680,34260,32820,32820,490200,CSV
2023-06-30,32870,33200,32490,33060,391600,CSV
2023-07-03,33880,34260,33300,33590,542300,CSV
2023-07-04,33590,33880,33400,33880,311300,CSV
2023-07-05,34070,36080,33920,34790,1115800,CSV
2023-07-06,34840,35320,34070,35030,541200,CSV
2023-07-07,35510,36520,35360,35600,518400,CSV
2023-07-10,35600,35800,35220,35410,379700,CSV
2023-07-11,35510,35510,35120,35220,376300,CSV
2023-07-12,35510,36420,35220,35890,542200,CSV
2023-07-13,36130,37910,35940,37040,681900,CSV
2023-07-14,37280,37280,36230,36800,451400,CSV
2023-07-17,36850,36850,36040,36080,463100,CSV
2023-07-18,36080,36800,35990,36080,330800,CSV
2023-07-19,36320,36320,35030,35270,619100,CSV
2023-07-20,35030,35890,35030,35750,645200,CSV
2023-07-21,35800,36180,35650,35990,345200,CSV
2023-07-24,36180,36370,35320,35320,538300,CSV
2023-07-25,35220,37280,35170,37280,828400,CSV
2023-07-26,36420,37140,36080,36230,379700,CSV
2023-07-27,35800,36470,35410,35600,522600,CSV
2023-07-28,35940,36370,35650,36280,530700,CSV
2023-07-31,36760,36950,36280,36520,459800,CSV
2023-08-01,36710,37480,35990,36660,1261000,CSV
2023-08-02,36420,37190,36420,36850,401400,CSV
2023-08-03,36950,37380,36710,36950,639100,CSV
2023-08-04,36950,37280,36610,37040,511300,CSV
2023-08-07,37140,38000,37140,37720,562600,CSV
2023-08-08,37720,37860,36760,36800,647100,CSV
2023-08-09,36800,37430,36520,36610,331200,CSV
2023-08-10,36660,37330,36320,36320,280200,CSV
2023-08-11,36320,36370,35510,36080,459800,CSV
2023-08-14,36080,36710,35990,36320,301800,CSV
2023-08-15,36710,37190,36280,36950,335800,CSV
2023-08-16,36950,37040,36420,36470,239400,CSV
2023-08-17,36370,36470,35800,35840,490300,CSV
2023-08-18,35700,35890,33350,33350,751200,CSV
2023-08-21,33350,33970,33110,33680,284900,CSV
2023-08-22,33780,34020,33010,33010,430600,CSV
2023-08-23,33590,33880,33110,33590,222300,CSV
2023-08-24,33590,34550,33110,34160,225000,CSV
2023-08-25,34210,35700,34210,35700,429300,CSV
2023-08-28,36350,36700,35300,35900,597800,CSV
2023-08-29,36050,36250,35550,35900,375500,CSV
2023-08-30,35900,36350,35600,35600,384800,CSV
2023-08-31,35500,37000,35500,36950,671000,CSV
2023-09-05,37500,38450,37150,38450,894300,CSV
2023-09-06,38700,40000,38700,39150,841600,CSV
2023-09-07,39100,39300,38050,38050,696500,CSV
2023-09-08,39100,40350,39000,39200,1148800,CSV
2023-09-11,39500,39900,38200,38200,723800,CSV
2023-09-12,38250,39000,38200,39000,487200,CSV
2023-09-13,39600,39850,38800,39350,677400,CSV
2023-09-14,39200,39350,38450,38550,503400,CSV
2023-09-15,38850,39250,38550,38600,355200,CSV
2023-09-18,38600,38700,37350,37600,400400,CSV
2023-09-19,37950,39000,37200,38900,548200,CSV
2023-09-20,39100,40750,39100,40500,1040300,CSV
2023-09-21,40600,42900,40300,41900,1179000,CSV
2023-09-22,41200,44800,41200,44800,1889600,CSV
2023-09-25,44900,46650,41950,41950,1505300,CSV
2023-09-26,42000,43350,41000,41250,1023000,CSV
2023-09-27,41300,41800,40250,41800,995400,CSV
2023-09-28,42100,43650,42000,43150,753700,CSV
2023-09-29,44000,44100,42800,43100,691500,CSV
2023-10-02,43150,44450,42550,43900,642300,CSV
2023-10-03,43500,43500,41000,41300,943400,CSV
2023-10-04,40100,43000,40100,42800,588500,CSV
2023-10-05,43400,43400,42000,42000,523400,CSV
2023-10-06,41700,43000,41200,42800,480100,CSV
2023-10-09,43100,45750,42900,45750,2088400,CSV
2023-10-10,46200,47650,45450,45450,1128000,CSV
2023-10-11,45300,46800,45150,46000,692500,CSV
2023-10-12,46300,47400,45300,45650,995500,CSV
2023-10-13,45400,46400,44700,46400,876400,CSV
