time,open,high,low,close,volume,ticker
2023-01-06,14400,14400,14400,14400,100,CTB
2023-01-09,15790,15790,15790,15790,600,CTB
2023-01-11,15790,17370,15790,17370,700,CTB
2023-01-12,18020,18020,15790,17650,500,CTB
2023-01-13,17180,17180,16720,16720,1300,CTB
2023-01-16,16720,16720,16720,16720,400,CTB
2023-01-17,15050,15050,15050,15050,100,CTB
2023-02-03,16530,16530,16530,16530,200,CTB
2023-02-06,18020,18020,18020,18020,100,CTB
2023-02-07,19510,19510,19510,19510,100,CTB
2023-02-08,17650,17650,17650,17650,100,CTB
2023-02-09,18110,19410,18110,19410,1200,CTB
2023-02-14,20340,20340,19510,19510,1000,CTB
2023-02-15,20250,20250,20250,20250,500,CTB
2023-02-17,20160,20160,20160,20160,3200,CTB
2023-02-20,20250,20250,20250,20250,1000,CTB
2023-02-21,20250,20250,20250,20250,500,CTB
2023-02-23,21360,22200,21360,22200,1100,CTB
2023-03-07,20440,20440,20440,20440,1000,CTB
2023-03-09,18580,19410,18580,19410,1700,CTB
2023-03-13,19410,19410,19410,19410,100,CTB
2023-03-14,17650,17650,17650,17650,100,CTB
2023-03-15,17650,17650,17650,17650,2500,CTB
2023-03-23,17180,17180,17180,17180,500,CTB
2023-03-27,17650,17650,17650,17650,500,CTB
2023-03-30,18580,18580,18580,18580,100,CTB
2023-04-03,19040,19040,19040,19040,100,CTB
2023-04-04,19410,19410,19410,19410,600,CTB
2023-04-07,19410,19410,19040,19040,1100,CTB
2023-04-10,20810,20810,20810,20810,100,CTB
2023-04-13,18760,18760,18760,18760,300,CTB
2023-05-12,18670,18670,18670,18670,100,CTB
2023-05-15,19510,19510,19510,19510,200,CTB
2023-05-16,20620,20620,20620,20620,100,CTB
2023-05-17,18580,18580,18580,18580,100,CTB
2023-05-29,19970,19970,19970,19970,400,CTB
2023-05-30,19970,19970,19970,19970,600,CTB
2023-06-05,19040,19040,19040,19040,1100,CTB
2023-06-15,17740,17740,17180,17180,500,CTB
2023-06-16,18860,18860,18860,18860,7600,CTB
2023-06-19,18860,18860,18860,18860,100,CTB
2023-06-20,19410,19410,19410,19410,100,CTB
2023-06-21,19690,19790,19690,19790,200,CTB
2023-06-23,19690,19690,19690,19690,100,CTB
2023-06-28,19690,19690,19690,19690,300,CTB
2023-07-11,19040,19040,19040,19040,2000,CTB
2023-07-12,19040,19040,19040,19040,700,CTB
2023-07-13,19040,19040,19040,19040,1000,CTB
2023-07-17,19040,19040,19040,19040,1600,CTB
2023-07-24,19040,19040,18950,18950,500,CTB
2023-07-25,19040,19040,19040,19040,100,CTB
2023-07-31,19510,19510,19510,19510,100,CTB
2023-08-11,19510,19510,19510,19510,200,CTB
2023-08-14,20440,20440,20440,20440,400,CTB
2023-08-15,19970,19970,19970,19970,300,CTB
2023-08-18,19510,19510,19510,19510,100,CTB
2023-08-21,17840,17840,17840,17840,3000,CTB
2023-08-22,19600,19600,19600,19600,300,CTB
2023-08-31,19600,19600,19600,19600,100,CTB
2023-09-11,17800,17800,17800,17800,200,CTB
2023-09-14,19400,19400,19400,19400,100,CTB
2023-09-15,19400,19400,19400,19400,100,CTB
2023-09-18,19400,21000,19400,21000,300,CTB
2023-09-20,21000,21300,21000,21200,1200,CTB
2023-09-27,21500,21500,21500,21500,100,CTB
2023-09-29,19500,21900,19500,21300,1100,CTB
2023-10-02,21300,21300,21300,21300,300,CTB
2023-10-03,21300,22000,21300,22000,400,CTB
2023-10-04,20200,20200,20200,20200,700,CTB
2023-10-05,20200,22200,20200,22200,1200,CTB
2023-10-11,20000,20000,20000,20000,1000,CTB
