time,open,high,low,close,volume,ticker
2023-01-03,13200,13550,12900,13550,1039300,CTI
2023-01-04,13900,14300,13400,13400,629900,CTI
2023-01-05,13400,13600,13150,13550,544200,CTI
2023-01-06,13800,13800,12900,13000,529700,CTI
2023-01-09,13150,13300,13050,13100,576500,CTI
2023-01-10,13050,13850,12950,13750,698500,CTI
2023-01-11,13600,13850,13150,13150,943100,CTI
2023-01-12,13100,13800,13000,13650,659500,CTI
2023-01-13,13700,13900,13150,13150,418300,CTI
2023-01-16,13200,13600,13100,13300,584800,CTI
2023-01-17,13300,14200,13300,14200,901900,CTI
2023-01-18,14400,14450,13950,14100,465000,CTI
2023-01-19,13400,14100,13400,13950,279200,CTI
2023-01-27,14200,14450,13850,13900,626200,CTI
2023-01-30,14000,14400,13900,14000,875200,CTI
2023-01-31,14000,14100,13550,14000,694900,CTI
2023-02-01,14000,14200,13050,13050,985700,CTI
2023-02-02,13050,13200,12700,13150,590500,CTI
2023-02-03,13100,13700,13050,13350,370900,CTI
2023-02-06,13350,13450,13000,13200,170900,CTI
2023-02-07,13350,13350,12500,12500,548100,CTI
2023-02-08,12050,12800,12050,12600,382100,CTI
2023-02-09,12650,12900,12400,12500,363200,CTI
2023-02-10,12500,12700,12450,12500,150000,CTI
2023-02-13,12450,12450,11900,12300,258100,CTI
2023-02-14,12200,12450,12200,12300,114900,CTI
2023-02-15,12050,13100,12050,12750,368800,CTI
2023-02-16,12800,13000,12750,12850,170500,CTI
2023-02-17,12850,13050,12650,12650,312700,CTI
2023-02-20,12950,13200,12900,13150,313200,CTI
2023-02-21,13350,13500,12850,13100,396200,CTI
2023-02-22,12800,13300,12700,12800,326400,CTI
2023-02-23,12700,12900,12400,12800,304300,CTI
2023-02-24,12900,13000,12750,12900,241000,CTI
2023-02-27,12550,12700,12000,12050,838300,CTI
2023-02-28,12050,12400,11950,12200,469500,CTI
2023-03-01,11900,12550,11900,12550,264500,CTI
2023-03-02,12400,12600,12350,12500,138900,CTI
2023-03-03,12500,12650,12350,12500,83200,CTI
2023-03-06,12600,12850,12350,12350,143200,CTI
2023-03-07,12500,12600,12350,12350,67300,CTI
2023-03-08,12250,12500,12250,12500,127900,CTI
2023-03-09,12500,12700,12450,12600,228700,CTI
2023-03-10,12400,12600,12300,12300,144700,CTI
2023-03-13,12300,12300,12050,12200,178500,CTI
2023-03-14,12150,12150,11750,11900,403900,CTI
2023-03-15,12400,12500,12150,12300,240300,CTI
2023-03-16,12000,12200,11900,12150,125800,CTI
2023-03-17,12300,12300,12000,12150,91100,CTI
2023-03-20,12100,12250,11850,11850,185200,CTI
2023-03-21,12100,12100,11700,11950,87000,CTI
2023-03-22,12150,12150,11900,11950,38600,CTI
2023-03-23,11850,11950,11800,11900,93000,CTI
2023-03-24,11900,12100,11900,12000,90700,CTI
2023-03-27,12050,12050,11950,12000,85500,CTI
2023-03-28,12200,12400,12050,12300,187400,CTI
2023-03-29,12250,12250,12100,12250,67700,CTI
2023-03-30,12350,12450,12300,12300,164500,CTI
2023-03-31,12300,12350,12200,12200,35600,CTI
2023-04-03,12450,12600,12400,12500,237700,CTI
2023-04-04,12650,12650,12300,12500,220500,CTI
2023-04-05,12400,12900,12400,12850,369100,CTI
2023-04-06,13000,13100,12700,13000,340600,CTI
2023-04-07,12600,12800,12550,12700,38300,CTI
2023-04-10,12600,13200,12600,12750,367700,CTI
2023-04-11,12700,12950,12500,12950,232800,CTI
2023-04-12,13150,13150,12800,12800,215100,CTI
2023-04-13,12900,12950,12600,12650,154900,CTI
2023-04-14,12650,12800,12400,12400,221200,CTI
2023-04-17,12400,12600,12200,12450,151200,CTI
2023-04-18,12750,12750,12450,12550,109500,CTI
2023-04-19,12650,12650,12100,12100,295100,CTI
2023-04-20,12350,12350,12000,12150,125000,CTI
2023-04-21,12200,12300,12000,12000,90500,CTI
2023-04-24,12150,12250,12000,12050,90900,CTI
2023-04-25,12250,12250,12050,12100,49100,CTI
2023-04-26,12100,12200,12000,12150,135800,CTI
2023-04-27,12200,12450,12100,12300,252900,CTI
2023-04-28,12350,12500,12200,12200,116500,CTI
2023-05-04,12250,12250,12000,12000,332000,CTI
2023-05-05,12100,12100,11900,11950,420000,CTI
2023-05-08,11950,12150,11900,12000,54200,CTI
2023-05-09,12150,12150,12000,12000,275000,CTI
2023-05-10,12100,12250,12050,12200,430000,CTI
2023-05-11,12400,12450,12250,12300,328700,CTI
2023-05-12,12250,12600,12200,12500,784800,CTI
2023-05-15,12550,12650,12450,12500,340500,CTI
2023-05-16,12550,12600,12400,12400,634200,CTI
2023-05-17,12450,12750,12400,12600,1179800,CTI
2023-05-18,12650,13450,12650,13450,1904000,CTI
2023-05-19,13600,13850,13000,13250,900000,CTI
2023-05-22,13450,13900,13450,13550,1147700,CTI
2023-05-23,13700,14450,13550,14300,1514300,CTI
2023-05-24,14300,14500,14100,14350,898300,CTI
2023-05-25,14250,14850,14250,14350,417100,CTI
2023-05-26,14250,14800,14250,14800,765600,CTI
2023-05-29,15000,15000,14550,14800,695100,CTI
2023-05-30,14900,14900,14550,14750,621100,CTI
2023-05-31,14750,14800,14500,14550,602400,CTI
2023-06-01,14500,14850,14500,14600,761700,CTI
2023-06-02,15200,15200,14500,14700,881100,CTI
2023-06-05,14700,14750,14400,14400,914400,CTI
2023-06-06,14300,14550,14100,14550,781800,CTI
2023-06-07,14700,14900,14500,14700,962900,CTI
2023-06-08,14850,14850,14400,14400,580900,CTI
2023-06-09,14300,14400,14000,14400,360600,CTI
2023-06-12,14600,15200,14400,15150,1094700,CTI
2023-06-13,15450,15450,14950,15100,538500,CTI
2023-06-14,15200,15250,14450,14500,550100,CTI
2023-06-15,14550,14550,14050,14300,368100,CTI
2023-06-16,14300,14650,14200,14300,612100,CTI
2023-06-19,14300,14600,14150,14350,308000,CTI
2023-06-20,14500,14900,14400,14900,361800,CTI
2023-06-21,14900,15400,14700,15300,1174500,CTI
2023-06-22,15750,15800,15300,15500,963900,CTI
2023-06-23,15500,15500,14950,14950,938600,CTI
2023-06-26,14850,15100,14500,14650,984700,CTI
2023-06-27,14700,15200,14700,15100,684800,CTI
2023-06-28,15000,15150,14700,14750,388500,CTI
2023-06-29,14700,14850,14500,14600,440700,CTI
2023-06-30,14500,14700,14400,14400,482000,CTI
2023-07-03,14500,15000,14500,14850,381200,CTI
2023-07-04,15000,15500,14950,15150,1275200,CTI
2023-07-05,15250,15300,15000,15050,506900,CTI
2023-07-06,15050,15050,14500,14650,549600,CTI
2023-07-07,14650,15400,14500,15200,1261500,CTI
2023-07-10,15450,16250,15400,16250,1611000,CTI
2023-07-11,16500,16700,16149,16200,1223800,CTI
2023-07-12,16350,16900,16000,16700,1546200,CTI
2023-07-13,16700,16850,16400,16500,1039400,CTI
2023-07-14,16600,16750,16400,16650,1105600,CTI
2023-07-17,16650,16750,16350,16400,970400,CTI
2023-07-18,16400,16600,16100,16200,1040500,CTI
2023-07-19,16400,16550,16149,16250,899700,CTI
2023-07-20,16300,17000,16200,16700,1138800,CTI
2023-07-21,16700,16950,16550,16800,1121500,CTI
2023-07-24,16950,17250,16600,16900,1138000,CTI
2023-07-25,17000,17000,16250,16400,933000,CTI
2023-07-26,16400,16550,16350,16400,712800,CTI
2023-07-27,16550,16550,16000,16200,1450700,CTI
2023-07-28,16300,16450,16200,16300,672900,CTI
2023-07-31,16500,16750,16250,16700,965900,CTI
2023-08-01,16800,16950,16400,16700,1174700,CTI
2023-08-02,16700,16950,16550,16950,1476900,CTI
2023-08-03,17200,17950,17150,17300,1505000,CTI
2023-08-04,17500,17500,17200,17300,686200,CTI
2023-08-07,17500,17600,17100,17150,1090700,CTI
2023-08-08,17200,17300,17000,17000,891800,CTI
2023-08-09,17100,17200,16900,17000,551000,CTI
2023-08-10,17000,17450,16950,17250,1079000,CTI
2023-08-11,17250,17300,16100,16400,2306900,CTI
2023-08-14,16600,16800,16350,16550,1100400,CTI
2023-08-15,16500,16900,16500,16750,781900,CTI
2023-08-16,16750,16750,16450,16550,638300,CTI
