time,open,high,low,close,volume,ticker
2023-01-03,3800,3920,3600,3920,180700,DAG
2023-01-04,3930,3930,3830,3840,293600,DAG
2023-01-05,3900,3900,3790,3830,123000,DAG
2023-01-06,3750,3870,3750,3800,118300,DAG
2023-01-09,3800,3840,3780,3780,79700,DAG
2023-01-10,3780,3830,3770,3810,141100,DAG
2023-01-11,3860,3900,3810,3860,134600,DAG
2023-01-12,3910,3910,3800,3830,73500,DAG
2023-01-13,3880,3880,3570,3800,73400,DAG
2023-01-16,3690,3830,3690,3760,56100,DAG
2023-01-17,3800,3800,3760,3800,56400,DAG
2023-01-18,3840,3880,3770,3870,105600,DAG
2023-01-19,3870,3930,3820,3860,164900,DAG
2023-01-27,3890,4000,3860,3970,192700,DAG
2023-01-30,4010,4160,3980,4110,492800,DAG
2023-01-31,4190,4190,3930,4070,209000,DAG
2023-02-01,4190,4350,4050,4260,1107700,DAG
2023-02-02,4260,4310,4100,4120,207900,DAG
2023-02-03,4090,4190,4000,4010,376600,DAG
2023-02-06,4010,4150,3960,4000,279200,DAG
2023-02-07,4100,4100,3970,3980,204900,DAG
2023-02-08,4040,4070,3850,3980,138500,DAG
2023-02-09,3960,4070,3960,4070,127000,DAG
2023-02-10,4070,4080,3980,3980,106400,DAG
2023-02-13,3980,4019,3760,3770,185100,DAG
2023-02-14,3710,3820,3710,3710,108600,DAG
2023-02-15,3660,3800,3660,3750,197900,DAG
2023-02-16,3750,3900,3700,3800,172300,DAG
2023-02-17,3800,4040,3800,4000,236000,DAG
2023-02-20,4080,4090,4000,4080,284600,DAG
2023-02-21,4019,4180,4000,4000,237400,DAG
2023-02-22,4000,4000,3800,3940,131000,DAG
2023-02-23,3940,3960,3800,3880,130600,DAG
2023-02-24,3880,3960,3830,3860,142000,DAG
2023-02-27,3860,3930,3800,3820,107500,DAG
2023-02-28,3850,3890,3760,3760,68200,DAG
2023-03-01,3760,3840,3760,3820,111000,DAG
2023-03-02,3850,3900,3750,3800,85000,DAG
2023-03-03,3800,3870,3770,3800,103000,DAG
2023-03-06,3800,3860,3800,3810,84200,DAG
2023-03-07,3900,3900,3800,3810,57200,DAG
2023-03-08,3800,3840,3770,3810,68900,DAG
2023-03-09,3810,4070,3810,4070,632400,DAG
2023-03-10,4190,4200,4070,4120,559000,DAG
2023-03-13,4090,4150,4010,4030,562200,DAG
2023-03-14,4030,4100,3800,3820,351600,DAG
2023-03-15,3860,4000,3700,3860,474200,DAG
2023-03-16,3860,4000,3800,3810,209400,DAG
2023-03-17,3890,3890,3800,3820,189000,DAG
2023-03-20,3820,3850,3780,3790,194300,DAG
2023-03-21,3800,3830,3750,3800,132600,DAG
2023-03-22,3880,3880,3780,3830,103800,DAG
2023-03-23,3820,3820,3780,3800,49000,DAG
2023-03-24,3800,3810,3780,3790,57500,DAG
2023-03-27,3830,3850,3800,3810,146700,DAG
2023-03-28,3810,3840,3800,3800,254800,DAG
2023-03-29,3800,3820,3750,3750,213400,DAG
2023-03-30,3800,3810,3780,3790,177800,DAG
2023-03-31,3820,3820,3780,3780,70400,DAG
2023-04-03,3820,3890,3810,3850,65000,DAG
2023-04-04,3850,3930,3850,3900,240200,DAG
2023-04-05,3900,4050,3890,3950,876500,DAG
2023-04-06,3940,4100,3940,3990,445500,DAG
2023-04-07,3950,4080,3890,3910,197600,DAG
2023-04-10,4180,4180,4130,4180,1022500,DAG
2023-04-11,4450,4450,4260,4450,1490600,DAG
2023-04-12,4550,4650,4380,4460,758000,DAG
2023-04-13,4500,4500,4200,4200,627700,DAG
2023-04-14,4400,4400,4100,4160,225300,DAG
2023-04-17,4100,4130,4030,4090,181000,DAG
2023-04-18,4100,4160,4030,4090,159800,DAG
2023-04-19,4110,4200,4090,4090,273900,DAG
2023-04-20,4150,4200,4090,4200,208900,DAG
2023-04-21,4300,4440,4200,4420,996200,DAG
2023-04-24,4410,4430,4310,4320,261100,DAG
2023-04-25,4450,4450,4300,4300,316400,DAG
2023-04-26,4210,4630,4210,4630,1786700,DAG
2023-04-27,4950,4950,4950,4950,706300,DAG
2023-04-28,5010,5080,4700,4960,1537200,DAG
2023-05-04,4880,5220,4870,5220,926300,DAG
2023-05-05,5400,5500,5060,5120,1373300,DAG
2023-05-08,5210,5230,5000,5050,669400,DAG
2023-05-09,5080,5350,4870,5350,1310700,DAG
2023-05-10,5280,5400,5110,5280,689900,DAG
2023-05-11,5300,5330,5010,5160,1325600,DAG
2023-05-12,5040,5230,5010,5010,704700,DAG
2023-05-15,5080,5280,4960,5050,1044000,DAG
