time,open,high,low,close,volume,ticker
2023-01-03,24100,25000,24100,24600,155300,DCL
2023-01-04,25000,25000,24200,24200,107600,DCL
2023-01-05,24250,24600,23750,24400,53700,DCL
2023-01-06,24000,24800,24000,24600,55000,DCL
2023-01-09,24100,24600,23800,23800,45000,DCL
2023-01-10,23250,24000,23150,23900,37200,DCL
2023-01-11,23600,24100,23600,24000,109300,DCL
2023-01-12,24000,24700,23550,24100,79500,DCL
2023-01-13,24200,24600,24050,24300,97800,DCL
2023-01-16,24450,24750,24000,24300,61200,DCL
2023-01-17,24300,24450,23900,24200,43200,DCL
2023-01-18,24200,24500,24000,24200,52100,DCL
2023-01-19,24000,24600,24000,24400,85500,DCL
2023-01-27,24400,24500,24400,24400,35200,DCL
2023-01-30,24000,24900,23050,24000,50800,DCL
2023-01-31,23600,24450,23600,24300,45900,DCL
2023-02-01,24500,24800,24200,24400,83500,DCL
2023-02-02,24400,25000,23950,24400,33900,DCL
2023-02-03,24450,24450,24000,24300,91600,DCL
2023-02-06,24450,24600,24000,24600,159200,DCL
2023-02-07,24600,26300,24600,26300,301900,DCL
2023-02-08,26650,28100,26650,28100,387600,DCL
2023-02-09,29400,29400,27000,27000,230900,DCL
2023-02-10,27000,28300,26500,27550,100700,DCL
2023-02-13,27700,28100,26200,27500,183300,DCL
2023-02-14,27100,27950,26000,27100,96800,DCL
2023-02-15,27100,27600,26500,27200,121100,DCL
2023-02-16,28000,28000,27000,27450,108700,DCL
2023-02-17,27000,27700,26850,27450,73600,DCL
2023-02-20,27700,27900,27000,27450,86000,DCL
2023-02-21,27700,27700,26900,27250,108400,DCL
2023-02-22,27000,27250,26000,26850,125500,DCL
2023-02-23,26850,26850,25100,25950,93700,DCL
2023-02-24,25900,25900,25000,25050,78900,DCL
2023-02-27,25100,25450,24550,25450,93300,DCL
2023-02-28,25450,27200,25450,26400,141800,DCL
2023-03-01,26500,26950,26300,26900,275900,DCL
2023-03-02,26900,27300,26000,26000,92000,DCL
2023-03-03,26000,26200,25400,25500,42500,DCL
2023-03-06,26000,26350,25300,25900,44300,DCL
2023-03-07,25850,25850,25050,25050,121600,DCL
