time,open,high,low,close,volume,ticker
2023-01-03,24170,25220,23940,24850,2295800,DCM
2023-01-04,24900,25860,24900,24990,2285800,DCM
2023-01-05,25450,25450,24670,24810,1654300,DCM
2023-01-06,24850,25450,23900,24170,2777600,DCM
2023-01-09,24210,24900,24210,24310,1029800,DCM
2023-01-10,24490,24490,23900,23940,1490300,DCM
2023-01-11,24120,24260,23900,23900,1516900,DCM
2023-01-12,24080,24080,23620,23710,1563300,DCM
2023-01-13,23990,24170,23390,23530,2587300,DCM
2023-01-16,23530,23710,23350,23350,1505600,DCM
2023-01-17,23440,23940,23260,23940,1911300,DCM
2023-01-18,23940,24530,23940,24210,1903200,DCM
2023-01-19,24120,24530,23900,24350,2872500,DCM
2023-01-27,24620,24990,24490,24760,2834700,DCM
2023-01-30,24900,25260,24440,24990,3492600,DCM
2023-01-31,25080,25900,25080,25540,4947700,DCM
2023-02-01,25950,25950,24170,24310,4971300,DCM
2023-02-02,24310,24620,23990,24400,2493200,DCM
2023-02-03,24400,24810,24080,24310,1922200,DCM
2023-02-06,24490,24530,24210,24260,1637600,DCM
2023-02-07,24400,24530,23710,23710,2302300,DCM
2023-02-08,23710,24080,22850,23990,3297900,DCM
2023-02-09,23990,24080,23530,23620,1300700,DCM
2023-02-10,23620,23620,22890,22980,2154400,DCM
2023-02-13,22980,23620,22660,22710,2742300,DCM
2023-02-14,22980,23120,22800,22940,860100,DCM
2023-02-15,22980,23350,22890,23170,1046700,DCM
2023-02-16,23260,23530,23070,23170,2138300,DCM
2023-02-17,23170,23350,23030,23120,2033500,DCM
2023-02-20,23070,23900,23070,23800,4335400,DCM
2023-02-21,23800,24120,23480,23480,3579000,DCM
2023-02-22,23440,23440,22620,22620,3103200,DCM
2023-02-23,22800,22890,21890,22800,3008200,DCM
2023-02-24,22800,23300,22340,22480,1828800,DCM
2023-02-27,22070,22210,21520,21520,1510500,DCM
2023-02-28,21980,22070,20750,21430,2977600,DCM
2023-03-01,21160,21610,20890,21520,1989600,DCM
2023-03-02,21800,22160,21610,21890,1581700,DCM
2023-03-03,22030,22120,21340,21520,1518600,DCM
2023-03-06,21890,21890,21020,21160,2130500,DCM
2023-03-07,21300,21390,20750,21160,2827700,DCM
2023-03-08,21070,21110,20570,21110,1244000,DCM
2023-03-09,21250,21480,21110,21250,3982600,DCM
2023-03-10,21250,21930,21160,21660,3595000,DCM
2023-03-13,21340,22210,21340,22030,3871000,DCM
2023-03-14,22070,22160,21520,21610,2962100,DCM
2023-03-15,21930,22070,21750,21890,2609300,DCM
2023-03-16,21570,21840,21250,21340,1817000,DCM
2023-03-17,21710,21890,21340,21890,6927700,DCM
2023-03-20,21890,22530,21610,22440,3692700,DCM
2023-03-21,22570,22620,22030,22340,2889200,DCM
2023-03-22,22480,22890,22340,22620,3800100,DCM
2023-03-23,22530,22710,22390,22480,1588900,DCM
2023-03-24,22710,22710,22160,22160,2708300,DCM
2023-03-27,22160,22440,21980,22340,1391200,DCM
