time,open,high,low,close,volume,ticker
2023-01-12,5700,5700,5700,5700,100,DCR
2023-01-16,6400,6400,6400,6400,100,DCR
2023-01-17,5500,5500,5500,5500,900,DCR
2023-01-18,5900,5900,5900,5900,1500,DCR
2023-01-30,5000,5000,5000,5000,2300,DCR
2023-02-01,5700,5700,5700,5700,100,DCR
2023-02-02,6300,6300,6300,6300,100,DCR
2023-02-03,5400,6300,5400,6300,500,DCR
2023-02-15,5300,5300,5100,5100,300,DCR
2023-02-17,5800,5800,4500,4500,600,DCR
2023-02-20,4700,5700,4700,5700,400,DCR
2023-02-21,5300,5300,5300,5300,100,DCR
2023-02-23,5700,5700,5700,5700,200,DCR
2023-02-24,5500,5500,5500,5500,100,DCR
2023-03-02,5100,5100,5100,5100,300,DCR
2023-03-03,5400,5400,5100,5100,200,DCR
2023-03-06,4600,5700,4600,5700,400,DCR
2023-03-13,5900,5900,5900,5900,100,DCR
2023-03-21,5800,5800,5200,5200,8300,DCR
2023-03-22,6400,6400,6400,6400,100,DCR
2023-03-23,7100,7100,7100,7100,100,DCR
2023-03-27,7100,7100,7100,7100,100,DCR
2023-03-31,6100,6100,6100,6100,100,DCR
2023-04-04,5200,5200,5200,5200,700,DCR
2023-04-05,6100,6100,6100,6100,200,DCR
2023-04-06,6100,6100,6100,6100,100,DCR
2023-04-11,7000,7000,7000,7000,100,DCR
2023-04-12,6500,6500,6500,6500,200,DCR
2023-04-13,7000,7000,6100,6100,200,DCR
2023-04-17,7100,7100,7100,7100,100,DCR
2023-04-18,7100,7100,7100,7100,100,DCR
2023-04-20,7000,7000,7000,7000,100,DCR
2023-04-21,6200,6200,6200,6200,100,DCR
2023-04-24,7100,7100,5300,5300,8600,DCR
2023-04-25,5300,5300,5000,5000,6600,DCR
2023-04-26,5700,5700,5700,5700,300,DCR
2023-04-27,6300,6300,6300,6300,100,DCR
2023-04-28,6200,6200,6200,6200,200,DCR
2023-05-04,7100,7100,7100,7100,300,DCR
2023-05-05,7300,7300,7300,7300,1000,DCR
2023-05-08,8000,8000,8000,8000,1000,DCR
2023-05-09,8800,8800,8800,8800,2700,DCR
2023-05-10,7400,7400,7400,7400,100,DCR
2023-05-11,6300,6300,6300,6300,100,DCR
2023-05-16,5600,5600,5600,5600,100,DCR
2023-05-17,5700,5800,5700,5800,2300,DCR
2023-05-18,5800,5800,5800,5800,200,DCR
2023-05-19,6000,6000,6000,6000,600,DCR
2023-05-22,5500,6000,5500,6000,4100,DCR
2023-05-23,5900,5900,5900,5900,100,DCR
2023-05-25,6100,6100,6100,6100,100,DCR
2023-05-30,6000,6000,6000,6000,200,DCR
2023-06-05,5500,5900,5400,5500,11100,DCR
2023-06-06,5500,5700,5500,5700,900,DCR
2023-06-09,5600,5800,5600,5800,6500,DCR
2023-06-12,6300,6300,6300,6300,100,DCR
2023-06-22,6200,6200,6200,6200,200,DCR
2023-06-30,6000,6000,6000,6000,4200,DCR
2023-07-03,6800,6800,6800,6800,100,DCR
2023-07-11,6500,6500,6500,6500,100,DCR
2023-07-14,5600,5600,5600,5600,15100,DCR
2023-07-17,5600,5700,5600,5700,3300,DCR
2023-07-18,6400,6400,6400,6400,100,DCR
2023-07-21,5500,5800,5500,5800,1500,DCR
2023-07-24,5700,5700,5700,5700,300,DCR
2023-07-25,6500,6500,5700,5700,200,DCR
2023-08-02,6000,6000,6000,6000,100,DCR
2023-08-03,6000,6000,6000,6000,600,DCR
2023-08-04,6100,6100,6000,6000,2700,DCR
2023-08-07,6900,6900,6900,6900,100,DCR
2023-08-10,6000,6000,6000,6000,800,DCR
2023-08-11,6300,6300,6000,6000,1200,DCR
2023-08-14,6900,6900,6900,6900,100,DCR
2023-09-21,6900,6900,5900,5900,3500,DCR
2023-09-22,6700,6700,6400,6400,200,DCR
2023-10-09,6600,6600,6600,6600,300,DCR
2023-10-12,5700,5700,5700,5700,200,DCR
2023-10-13,6500,6500,6500,6500,100,DCR
