time,open,high,low,close,volume,ticker
2023-01-03,40200,40400,40100,40300,169600,DDG
2023-01-04,40200,40400,39900,40200,521700,DDG
2023-01-05,40000,40400,39900,40100,233600,DDG
2023-01-06,40100,40300,40000,40300,117200,DDG
2023-01-09,40100,40400,40000,40300,875600,DDG
2023-01-10,40200,40400,40200,40400,145000,DDG
2023-01-11,40300,40300,40000,40200,173200,DDG
2023-01-12,40200,40300,39900,40200,180300,DDG
2023-01-13,40200,40200,39900,40000,239200,DDG
2023-01-16,40000,40000,39700,39800,162100,DDG
2023-01-17,39500,39900,35900,39900,142100,DDG
2023-01-18,39900,40000,39600,39900,191700,DDG
2023-01-19,39900,40000,39500,40000,197100,DDG
2023-01-27,40000,40300,40000,40300,149700,DDG
2023-01-30,40300,40400,40000,40200,236400,DDG
2023-01-31,40200,40200,40000,40200,174300,DDG
2023-02-01,40200,40600,40200,40500,402900,DDG
2023-02-02,40500,40900,40500,40800,234900,DDG
2023-02-03,40800,41500,40800,41500,441100,DDG
2023-02-06,41500,41900,41100,41700,232000,DDG
2023-02-07,41700,41800,41400,41800,187000,DDG
2023-02-08,41800,42200,41700,42200,182400,DDG
2023-02-09,42200,42500,42000,42500,166700,DDG
2023-02-10,42000,42900,41700,42800,220900,DDG
2023-02-13,42700,42800,42500,42600,140000,DDG
2023-02-14,42300,43100,41900,43000,281100,DDG
2023-02-15,42900,43300,42800,43200,153700,DDG
2023-02-16,42900,43100,42100,42500,242600,DDG
2023-02-17,42500,42600,42200,42500,207100,DDG
2023-02-20,42000,42700,41700,42500,208800,DDG
2023-02-21,42300,42500,41700,41700,203300,DDG
2023-02-22,41700,42400,41500,42000,265300,DDG
2023-02-23,42000,42200,42000,42100,109900,DDG
2023-02-24,42100,42500,42100,42400,136900,DDG
2023-02-27,42400,42500,42100,42200,182000,DDG
2023-02-28,42000,42800,41800,42400,194900,DDG
2023-03-01,42400,42500,42300,42500,232700,DDG
2023-03-02,42400,43000,42200,42500,167700,DDG
2023-03-03,42500,42800,42500,42800,511000,DDG
2023-03-06,42800,43500,42400,43300,234700,DDG
2023-03-07,43200,43500,42900,43300,142200,DDG
2023-03-08,43300,43500,43100,43100,128000,DDG
2023-03-09,43100,43700,42700,43300,208400,DDG
2023-03-10,43200,43400,43000,43000,132000,DDG
2023-03-13,43000,43100,42800,43000,209300,DDG
2023-03-14,42900,43000,42600,42800,213600,DDG
2023-03-15,42800,43000,42000,42500,220500,DDG
2023-03-16,42400,42500,42100,42400,184400,DDG
2023-03-17,42200,43000,42200,43000,116400,DDG
2023-03-20,43000,43100,42800,42900,162000,DDG
2023-03-21,42900,43400,42600,43000,164700,DDG
2023-03-22,42800,43300,42600,43300,51700,DDG
2023-03-23,42900,43000,42900,43000,34300,DDG
2023-03-24,42800,42900,42800,42900,16200,DDG
2023-03-27,42900,42900,42700,42800,12000,DDG
2023-03-28,42500,42500,42100,42100,70900,DDG
2023-03-29,42000,42500,41900,42000,137400,DDG
2023-03-30,42100,42300,42100,42200,19200,DDG
2023-03-31,42000,42200,41800,42100,67500,DDG
2023-04-03,42100,42200,41700,41900,137500,DDG
