time,open,high,low,close,volume,ticker
2023-01-03,7330,8330,7330,8330,371800,DDV
2023-01-04,8330,8610,8240,8420,398400,DDV
2023-01-05,8420,8610,8160,8240,548900,DDV
2023-01-06,8330,8420,8060,8240,549500,DDV
2023-01-09,8330,8510,8240,8330,363200,DDV
2023-01-10,8420,8420,8240,8420,314600,DDV
2023-01-11,8420,8510,8330,8420,403100,DDV
2023-01-12,8240,8610,8240,8510,476500,DDV
2023-01-13,8810,8810,8420,8520,263700,DDV
2023-01-16,8620,8710,8330,8420,440600,DDV
2023-01-17,8420,8620,8330,8620,509300,DDV
2023-01-18,8620,8710,8520,8710,583600,DDV
2023-01-19,8710,8810,8620,8710,434100,DDV
2023-01-27,8810,8900,8710,8900,595500,DDV
2023-01-30,8900,9570,8810,9480,1962400,DDV
2023-01-31,9480,9480,9090,9380,964500,DDV
2023-02-01,9480,9570,8710,8900,1245100,DDV
2023-02-02,9000,9000,8620,8710,557600,DDV
2023-02-03,8620,8900,8620,8900,339600,DDV
2023-02-06,8900,8900,8620,8710,316600,DDV
2023-02-07,8810,8900,8330,8420,662000,DDV
2023-02-08,8420,8520,8230,8420,673300,DDV
2023-02-09,8420,8520,8330,8420,255000,DDV
2023-02-10,8420,8420,8140,8230,599900,DDV
2023-02-13,8230,8230,7750,8039,1221100,DDV
2023-02-14,8039,8039,7850,8039,1548500,DDV
2023-02-15,8039,8330,7950,8140,905100,DDV
2023-02-16,8140,8420,8140,8420,1240600,DDV
2023-02-17,8420,8420,8230,8330,584800,DDV
2023-02-20,8330,8620,8330,8520,756000,DDV
2023-02-21,8520,8620,8420,8520,325600,DDV
2023-02-22,8420,8520,8140,8230,498400,DDV
2023-02-23,8230,8330,7850,8140,443700,DDV
2023-02-24,8140,8230,7950,7950,479300,DDV
2023-02-27,7850,8039,7850,7950,317200,DDV
2023-02-28,7950,8140,7950,7950,304900,DDV
2023-03-01,7950,8140,7850,8039,501800,DDV
2023-03-02,8140,8330,7950,8230,1060500,DDV
2023-03-03,8330,8330,8039,8039,420400,DDV
2023-03-06,8140,8230,8039,8140,379700,DDV
2023-03-07,8140,8230,7950,7950,519900,DDV
2023-03-08,7950,8140,7950,8039,455000,DDV
2023-03-09,8039,8230,8039,8230,519700,DDV
2023-03-10,8230,8420,8140,8230,679900,DDV
2023-03-13,8230,8330,8140,8230,428900,DDV
2023-03-14,8230,8230,7950,7950,571600,DDV
2023-03-15,8140,8230,7950,8140,310000,DDV
2023-03-16,8140,8140,7950,8140,223700,DDV
2023-03-17,8140,8140,7950,8039,261000,DDV
2023-03-20,8039,8039,7850,7950,254600,DDV
2023-03-21,7850,8140,7850,7950,299500,DDV
2023-03-22,8039,8039,7950,8039,15800,DDV
2023-03-23,7750,7950,7750,7850,65800,DDV
2023-03-24,8140,8230,8039,8140,217300,DDV
2023-03-27,8039,8140,8039,8140,19000,DDV
2023-03-28,8230,8230,8140,8140,74100,DDV
2023-03-29,8140,8230,8039,8039,27000,DDV
2023-03-30,8140,8230,8140,8230,157900,DDV
2023-03-31,8140,8140,8140,8140,4000,DDV
2023-04-03,8039,8230,8039,8039,303300,DDV
2023-04-04,8140,8330,8140,8330,440100,DDV
2023-04-05,8330,9000,8330,8710,1816400,DDV
2023-04-06,8810,8900,8520,8520,958800,DDV
2023-04-07,8520,8620,8420,8420,94300,DDV
2023-04-10,8620,8900,8620,8710,1165400,DDV
2023-04-11,8810,8810,8520,8810,511300,DDV
2023-04-12,8810,8810,8620,8710,616200,DDV
2023-04-13,8710,8900,8620,8620,592100,DDV
2023-04-14,8900,8900,8520,8620,720500,DDV
2023-04-17,8620,8620,8420,8520,278300,DDV
2023-04-18,8420,8620,8330,8420,277900,DDV
2023-04-19,8330,8520,8230,8330,427300,DDV
2023-04-20,8330,8420,8330,8330,179500,DDV
2023-04-21,8330,8520,8230,8330,302500,DDV
2023-04-24,8330,8330,7950,8039,435800,DDV
2023-04-25,8140,8140,7950,7950,493500,DDV
2023-04-26,7950,8039,7850,7950,395500,DDV
2023-04-27,7950,8039,7950,8039,303500,DDV
2023-04-28,8039,8039,7950,7950,150200,DDV
2023-05-04,7950,8039,7850,7950,150500,DDV
2023-05-05,7950,8039,7950,8039,157600,DDV
2023-05-08,8039,8810,7950,8620,1246000,DDV
2023-05-09,8520,8710,8420,8520,312000,DDV
2023-05-10,8520,8620,8420,8520,425800,DDV
2023-05-11,8620,9090,8520,8900,1340400,DDV
2023-05-12,8810,8900,8620,8710,428900,DDV
2023-05-15,9090,9190,8710,8810,1008400,DDV
2023-05-16,8900,8900,8620,8710,367900,DDV
2023-05-17,8620,9190,8620,9000,1337400,DDV
2023-05-18,9000,9000,8710,8810,292300,DDV
2023-05-19,8810,8900,8620,8810,546900,DDV
2023-05-22,8900,8900,8620,8710,401900,DDV
2023-05-23,8900,9190,8900,9000,1301100,DDV
2023-05-24,9090,9480,9000,9290,1396900,DDV
2023-05-25,9290,9290,9000,9190,569100,DDV
2023-05-26,9000,9290,9000,9190,757500,DDV
2023-05-29,9190,9480,9090,9290,855100,DDV
2023-05-30,9290,9860,9290,9670,2529500,DDV
2023-05-31,9670,9960,9480,9670,1530900,DDV
2023-06-01,9670,9760,9380,9670,2069100,DDV
2023-06-02,9670,9760,9480,9670,1463500,DDV
2023-06-05,9860,10150,9760,9860,1823200,DDV
2023-06-06,9860,9960,9670,9760,1477700,DDV
2023-06-07,9760,9760,9570,9760,1529400,DDV
2023-06-08,9760,9960,9570,9670,1438600,DDV
2023-06-09,9670,9960,9570,9960,1096400,DDV
2023-06-12,9860,10340,9860,10150,1711000,DDV
2023-06-13,10240,10340,9760,9860,1093100,DDV
2023-06-14,9960,10050,9480,9570,1478200,DDV
2023-06-15,9570,9760,9480,9570,1011300,DDV
2023-06-16,9570,9670,9380,9570,1085900,DDV
2023-06-19,9570,9570,9090,9290,1232000,DDV
2023-06-20,9290,9480,9190,9480,674700,DDV
2023-06-21,9380,9570,9380,9570,641600,DDV
2023-06-22,9480,9960,9480,9760,1639700,DDV
2023-06-23,9760,9860,9570,9670,852000,DDV
2023-06-26,9670,9670,9380,9570,1155300,DDV
2023-06-27,9570,9670,9480,9670,722500,DDV
2023-06-28,9670,10240,9570,10150,4300200,DDV
2023-06-29,10050,10240,9760,9860,2161600,DDV
2023-06-30,9960,9960,9670,9760,1302600,DDV
2023-07-03,9860,10430,9860,10150,2813300,DDV
2023-07-04,10240,10240,9860,10050,1597400,DDV
2023-07-05,10050,10240,9860,10050,2717800,DDV
2023-07-06,10050,10240,9670,9860,1501800,DDV
2023-07-07,9960,10050,9860,10050,1187800,DDV
2023-07-10,10150,10340,10050,10240,3053200,DDV
2023-07-11,10240,11010,10240,10820,3659200,DDV
2023-07-12,10820,10910,10530,10720,1818300,DDV
2023-07-13,10720,11010,10630,10820,2008600,DDV
2023-07-14,10820,11100,10530,10820,2386400,DDV
2023-07-17,11010,11010,10630,10720,1613600,DDV
2023-07-18,10630,10820,10630,10630,1874800,DDV
2023-07-19,10630,10720,10050,10240,4409600,DDV
2023-07-20,10240,10340,10050,10340,1140500,DDV
2023-07-21,10340,10340,10050,10240,1185400,DDV
2023-07-24,10150,10340,10050,10240,1809900,DDV
2023-07-25,10240,10530,10150,10530,1836000,DDV
2023-07-26,10530,10630,10340,10430,854100,DDV
2023-07-27,10430,10430,10050,10340,1968200,DDV
2023-07-28,10340,10530,10150,10530,1404900,DDV
2023-07-31,10530,10910,10530,10720,3180100,DDV
2023-08-01,10820,10910,10430,10430,1986700,DDV
2023-08-02,10430,10630,10430,10530,1217300,DDV
2023-08-03,10530,10720,10240,10530,2396700,DDV
2023-08-04,10530,11010,10430,10910,4343400,DDV
2023-08-07,10720,11490,10720,11390,3138300,DDV
2023-08-08,11490,11680,11100,11300,2387700,DDV
2023-08-09,11300,11390,11100,11300,1456000,DDV
2023-08-10,11390,11390,11010,11100,1595700,DDV
2023-08-11,11100,11200,10820,11010,1782500,DDV
2023-08-14,11100,11770,11010,11390,2264500,DDV
2023-08-15,11680,11680,11300,11490,1145100,DDV
2023-08-16,11390,11490,11100,11300,985400,DDV
2023-08-17,11300,11300,11100,11200,1192500,DDV
2023-08-18,11400,11700,10000,10200,2536100,DDV
2023-08-21,10300,10600,9800,10000,1619200,DDV
2023-08-22,10100,10500,9900,10200,974800,DDV
2023-08-23,10200,10400,10000,10200,362700,DDV
2023-08-24,10200,10400,10100,10400,563500,DDV
2023-08-25,10200,10400,10200,10400,838800,DDV
2023-08-28,10400,10800,10400,10700,1337000,DDV
2023-08-29,10700,10700,10400,10500,548600,DDV
2023-08-30,10500,10700,10300,10500,837900,DDV
2023-08-31,10500,10600,10400,10600,1475600,DDV
2023-09-05,10600,10800,10600,10800,1053200,DDV
2023-09-06,10700,11000,10700,11000,1741200,DDV
2023-09-07,11000,11300,10800,11000,1345000,DDV
2023-09-08,11400,12600,11100,12600,5454100,DDV
2023-09-11,13000,13600,12400,12500,4715700,DDV
2023-09-12,12500,12900,12100,12500,2822000,DDV
2023-09-13,12600,12900,12200,12300,2663900,DDV
2023-09-14,12400,12400,11900,12100,2103300,DDV
2023-09-15,12200,12400,11800,12100,1471100,DDV
2023-09-18,11900,12200,11600,11900,1581500,DDV
2023-09-19,11800,12000,11400,11800,1639100,DDV
2023-09-20,11800,12400,11800,12200,1357300,DDV
2023-09-21,12300,12400,11900,11900,1205700,DDV
2023-09-22,11800,12000,11200,11600,2464000,DDV
2023-09-25,11600,11900,10700,11000,1713300,DDV
2023-09-26,11200,11300,10700,10900,899300,DDV
2023-09-27,10900,11200,10500,11100,918900,DDV
2023-09-28,11300,11300,10800,11100,643100,DDV
2023-09-29,11000,11200,10900,11000,392400,DDV
2023-10-02,11000,11500,11000,11400,975100,DDV
2023-10-03,11400,11400,10700,10900,1173700,DDV
2023-10-04,10700,11500,10500,11300,1379300,DDV
2023-10-05,11300,11500,11000,11000,658500,DDV
2023-10-06,11000,11300,10900,11300,682600,DDV
2023-10-09,11300,11800,11200,11500,2142100,DDV
2023-10-10,11700,11800,11400,11500,1029900,DDV
2023-10-11,11500,11600,11300,11600,772900,DDV
2023-10-12,11500,11700,11400,11700,1060600,DDV
