time,open,high,low,close,volume,ticker
2023-01-03,8300,8300,8300,8300,138500,DGT
2023-01-04,9500,9500,7300,8100,206900,DGT
2023-01-05,8100,8100,7500,7700,106400,DGT
2023-01-06,8500,8500,7500,7700,46700,DGT
2023-01-09,7500,8100,7500,7700,32400,DGT
2023-01-10,7600,7900,7500,7800,41600,DGT
2023-01-11,8000,8000,7600,7700,28300,DGT
2023-01-12,7700,7900,7400,7900,17400,DGT
2023-01-13,7800,7800,7500,7500,24700,DGT
2023-01-16,7600,7600,7300,7400,8600,DGT
2023-01-17,7400,8100,7400,7900,58800,DGT
2023-01-18,7900,8100,7700,7900,33500,DGT
2023-01-19,7900,7900,7500,7800,20600,DGT
2023-01-27,7700,7800,7500,7500,19400,DGT
2023-01-30,7700,7700,7500,7600,21800,DGT
2023-01-31,7600,8700,7500,8700,90700,DGT
2023-02-01,9500,9500,8000,8300,155700,DGT
2023-02-02,8000,8700,8000,8100,76300,DGT
2023-02-03,7900,8300,7800,7900,30100,DGT
2023-02-06,7900,8300,7700,7800,10300,DGT
2023-02-07,7600,7900,7600,7800,32400,DGT
2023-02-08,7800,7900,7800,7800,14600,DGT
2023-02-09,7900,7900,7700,7900,11300,DGT
2023-02-10,7800,7900,7800,7900,2900,DGT
2023-02-13,7800,7800,7500,7500,18500,DGT
2023-02-14,7700,7700,7400,7500,1300,DGT
2023-02-15,7500,7900,7500,7700,15400,DGT
2023-02-16,8000,8000,7300,7700,56000,DGT
2023-02-17,7800,8600,7700,8300,372300,DGT
2023-02-20,8700,8700,8200,8400,30400,DGT
2023-02-21,8500,8600,8000,8400,81700,DGT
2023-02-22,8200,8400,8100,8200,24100,DGT
2023-02-23,8200,8300,7900,8300,15800,DGT
2023-02-24,8300,8300,7900,8000,11300,DGT
2023-02-27,8000,8000,7800,8000,10300,DGT
2023-02-28,7900,8000,7900,8000,4700,DGT
2023-03-01,7900,8200,7900,8200,11600,DGT
2023-03-02,8000,8100,7700,8100,24600,DGT
2023-03-03,7800,8100,7500,8100,36500,DGT
2023-03-06,8200,8200,7800,7800,3900,DGT
2023-03-07,8000,8000,7800,7900,4500,DGT
2023-03-08,8000,8100,7600,7900,7100,DGT
2023-03-09,7900,8100,7500,7700,52600,DGT
2023-03-10,7600,7800,7600,7800,4000,DGT
2023-03-13,7700,7800,7300,7300,67700,DGT
2023-03-14,7600,7700,7400,7600,9200,DGT
2023-03-15,7600,7900,7500,7800,14200,DGT
2023-03-16,8100,8100,7700,7800,1600,DGT
2023-03-17,7500,7800,7500,7800,6700,DGT
