time,open,high,low,close,volume,ticker
2023-01-03,31340,31880,31340,31730,101900,DHC
2023-01-04,32110,32110,31440,31490,127200,DHC
2023-01-05,31640,32549,31540,32549,307300,DHC
2023-01-06,32740,33220,32549,33220,150300,DHC
2023-01-09,33700,35540,33700,35540,303000,DHC
2023-01-10,36110,36260,35580,35730,150200,DHC
2023-01-11,35580,35730,35240,35240,197800,DHC
2023-01-12,37370,37370,35240,36640,115500,DHC
2023-01-13,36980,37270,36110,37170,206200,DHC
2023-01-16,37550,37550,36110,37370,82700,DHC
2023-01-17,37500,37500,36600,36830,65600,DHC
2023-01-18,36600,37270,36010,36500,157900,DHC
2023-01-19,36160,37030,36160,36550,126200,DHC
2023-01-27,36400,37170,36400,37080,158600,DHC
2023-01-30,37170,37370,36600,37270,95600,DHC
2023-01-31,36600,37370,36600,37170,91600,DHC
2023-02-01,37170,37370,35830,35830,188000,DHC
2023-02-02,35730,35730,35060,35490,151000,DHC
2023-02-03,35490,36060,35440,35630,100100,DHC
2023-02-06,36400,36400,35290,36010,110100,DHC
2023-02-07,36310,36310,35150,35340,136600,DHC
2023-02-08,35340,35730,34960,35580,49800,DHC
2023-02-09,34860,36010,34860,35630,66000,DHC
2023-02-10,35240,35440,34770,35150,137500,DHC
2023-02-13,34770,35010,33510,33610,265000,DHC
2023-02-14,33560,35100,33560,35100,109000,DHC
2023-02-15,35100,35630,34960,35240,41800,DHC
2023-02-16,35240,35630,35240,35440,39000,DHC
2023-02-17,35240,35490,35150,35440,43800,DHC
2023-02-20,35580,36400,35490,36060,106100,DHC
2023-02-21,36400,37550,36110,37120,216200,DHC
2023-02-22,36400,37460,36310,36310,85500,DHC
2023-02-23,36500,36500,35920,36310,75000,DHC
2023-02-24,36600,36600,36160,36400,44600,DHC
2023-02-27,36210,36210,35150,35150,105500,DHC
2023-02-28,35540,35920,35340,35730,197100,DHC
2023-03-01,35870,36310,34720,36310,88600,DHC
2023-03-02,36500,38470,36110,38230,320700,DHC
2023-03-03,39190,39190,37750,37750,96500,DHC
2023-03-06,37800,39290,37800,37940,127300,DHC
2023-03-07,38660,38660,38040,38320,82100,DHC
2023-03-08,38040,38470,37940,38230,149100,DHC
2023-03-09,38420,39390,38140,39010,217200,DHC
2023-03-10,39050,40400,38520,39910,165900,DHC
2023-03-13,39480,39960,38760,39480,167400,DHC
2023-03-14,39140,39290,37500,37650,244900,DHC
2023-03-15,38230,38910,38230,38320,107300,DHC
2023-03-16,37850,38320,37550,38140,124200,DHC
2023-03-17,38760,38810,38040,38140,77200,DHC
2023-03-20,38090,38090,37460,37550,85400,DHC
2023-03-21,37600,37990,37500,37750,43600,DHC
2023-03-22,37750,37750,36930,36930,48700,DHC
2023-03-23,37080,38140,37080,37890,10000,DHC
2023-03-24,37320,38420,37320,38420,78400,DHC
2023-03-27,38320,38710,38320,38470,83300,DHC
2023-03-28,38420,38660,38320,38520,93200,DHC
2023-03-29,38140,38710,38140,38190,73300,DHC
2023-03-30,38520,38910,38470,38620,32000,DHC
2023-03-31,38810,38810,37750,37750,10200,DHC
2023-04-03,38810,38810,38190,38470,187500,DHC
2023-04-04,38570,38810,38270,38620,137200,DHC
2023-04-05,39010,39010,37550,38190,78300,DHC
2023-04-06,38660,38710,38040,38230,129900,DHC
2023-04-07,38420,38420,37750,37850,23700,DHC
2023-04-10,38040,38760,37550,38520,172600,DHC
2023-04-11,38040,38470,38040,38270,74900,DHC
2023-04-12,38320,38960,38190,38860,232500,DHC
2023-04-13,39010,40250,39010,39860,365100,DHC
2023-04-14,39780,39780,38520,38620,204400,DHC
2023-04-17,38620,39780,38230,39290,126400,DHC
2023-04-18,39780,39820,39010,39780,181700,DHC
2023-04-19,39860,39860,39050,39050,86700,DHC
2023-04-20,39090,39680,38810,39190,248000,DHC
2023-04-21,39340,39390,38710,39010,92000,DHC
2023-04-24,39390,39440,39010,39010,88200,DHC
2023-04-25,38910,39190,38190,38810,85900,DHC
2023-04-26,37750,38470,37750,37990,64500,DHC
2023-04-27,38420,39090,37940,39050,80400,DHC
2023-04-28,38960,39480,38620,38620,81400,DHC
2023-05-04,38520,39240,37750,37940,84700,DHC
2023-05-05,38570,38570,37750,37890,43300,DHC
2023-05-08,37940,38760,37940,38140,104000,DHC
2023-05-09,38520,38520,37370,38230,154100,DHC
2023-05-10,38270,38370,37940,38230,25700,DHC
2023-05-11,38420,38420,37370,37800,437000,DHC
2023-05-12,38270,38270,37550,37700,192100,DHC
2023-05-15,37700,38040,37550,37600,166800,DHC
2023-05-16,37270,37940,37270,37460,117500,DHC
2023-05-17,37850,38040,37370,37850,94200,DHC
2023-05-18,37940,38320,37890,38040,111500,DHC
2023-05-19,38190,38320,37990,37990,92600,DHC
2023-05-22,38230,38520,38190,38470,108100,DHC
2023-05-23,38470,38910,38370,38860,59500,DHC
2023-05-24,39190,39190,38570,38860,63800,DHC
2023-05-25,39400,39400,38510,39200,44000,DHC
2023-05-26,39200,39500,38810,39400,145200,DHC
2023-05-29,39500,39790,39300,39700,304900,DHC
2023-05-30,40090,40090,38510,40040,180300,DHC
2023-05-31,39550,40190,39550,40190,127300,DHC
2023-06-01,40290,42070,40190,41280,210600,DHC
2023-06-02,41370,41820,40880,41470,100600,DHC
2023-06-05,42120,42120,41420,41620,108500,DHC
2023-06-06,41720,42610,41670,42360,268400,DHC
2023-06-07,42950,42950,41870,42260,139400,DHC
2023-06-08,42410,42410,41180,41970,269100,DHC
2023-06-09,41970,41970,40980,41570,109200,DHC
2023-06-12,41370,42410,41080,42260,255400,DHC
2023-06-13,42460,42460,41870,41870,59300,DHC
2023-06-14,42460,42460,41670,41920,21900,DHC
2023-06-15,41470,42360,41470,41620,40300,DHC
2023-06-16,42120,42210,41620,41670,70000,DHC
2023-06-19,42120,42120,41620,41970,103800,DHC
2023-06-20,42360,42360,41670,41970,11200,DHC
2023-06-21,41970,41970,41670,41970,30400,DHC
2023-06-22,42020,42160,41470,41970,93900,DHC
2023-06-23,41920,42020,41520,41970,440000,DHC
2023-06-26,41870,42020,41080,41970,91600,DHC
2023-06-27,41620,41670,41180,41420,68000,DHC
2023-06-28,41370,41470,41080,41470,77200,DHC
2023-06-29,41280,41470,39990,40290,176700,DHC
2023-06-30,40930,40930,39700,40390,53100,DHC
2023-07-03,40880,40880,39940,40040,33800,DHC
2023-07-04,40040,40090,39890,39990,178000,DHC
2023-07-05,39990,40090,39890,39990,63800,DHC
2023-07-06,40490,40490,38810,39500,134900,DHC
2023-07-07,39790,39990,39200,39990,174200,DHC
2023-07-10,39990,40190,38810,39940,410000,DHC
2023-07-11,39940,40190,39790,39990,155300,DHC
2023-07-12,40090,41570,39990,41280,441900,DHC
2023-07-13,41470,41720,41180,41280,124300,DHC
2023-07-14,41370,42610,41230,42160,406500,DHC
2023-07-17,41770,42950,40930,42160,542900,DHC
2023-07-18,42260,42310,41770,42160,139000,DHC
2023-07-19,42410,42410,41670,41820,107300,DHC
2023-07-20,41280,42020,41180,41970,147900,DHC
2023-07-21,41670,41920,41330,41720,157000,DHC
2023-07-24,42160,42310,41770,41870,185800,DHC
2023-07-25,41870,42020,41280,41770,123500,DHC
2023-07-26,41280,41770,41030,41470,167400,DHC
2023-07-27,41770,41770,40240,41470,293400,DHC
2023-07-28,41620,41620,40680,41280,304900,DHC
2023-07-31,40830,41470,40830,40980,200100,DHC
2023-08-01,41370,41370,40730,40780,142000,DHC
2023-08-02,40780,40780,40490,40490,185100,DHC
2023-08-03,40490,40680,39350,39350,204200,DHC
2023-08-04,39840,40490,39840,40140,202500,DHC
2023-08-07,40190,40290,40140,40290,71100,DHC
2023-08-08,40290,40830,40290,40780,112500,DHC
2023-08-09,40880,40880,39990,40290,125400,DHC
2023-08-10,40630,40630,40140,40240,167700,DHC
2023-08-11,40490,40490,40040,40490,143600,DHC
2023-08-14,40540,40680,40190,40540,74300,DHC
