time,open,high,low,close,volume,ticker
2023-01-09,15190,15190,15190,15190,800,DHD
2023-01-13,15920,15920,15920,15920,2600,DHD
2023-01-19,15920,15990,15920,15920,3700,DHD
2023-02-15,17370,17370,17370,17370,800,DHD
2023-02-16,17370,17370,17370,17370,1400,DHD
2023-02-21,18240,18240,18240,18240,6700,DHD
2023-02-27,18810,18810,18810,18810,5000,DHD
2023-02-28,18810,18810,18810,18810,5000,DHD
2023-03-03,18810,18810,18810,18810,5400,DHD
2023-03-07,18810,18810,18810,18810,800,DHD
2023-03-08,18450,18670,18450,18670,600,DHD
2023-03-09,18670,19180,18670,18810,3900,DHD
2023-03-10,19180,19180,19180,19180,3000,DHD
2023-03-13,19180,19180,19180,19180,4800,DHD
2023-03-20,19180,19180,19180,19180,2000,DHD
2023-03-21,19180,19180,19180,19180,1500,DHD
2023-03-23,18810,18810,18810,18810,1400,DHD
2023-03-27,18810,18810,18810,18810,1300,DHD
2023-03-30,18960,18960,18960,18960,100,DHD
2023-04-03,18810,18810,18810,18810,2000,DHD
2023-04-06,18810,18810,18810,18810,5000,DHD
2023-04-10,18090,18090,18090,18090,300,DHD
2023-04-25,15440,15440,15440,15440,4800,DHD
2023-04-27,17650,17650,17650,17650,100,DHD
2023-05-04,17650,17650,17650,17650,3200,DHD
2023-05-09,18380,18380,18380,18380,200,DHD
2023-05-11,15660,15660,15660,15660,2000,DHD
2023-05-12,15810,15810,15810,15810,3900,DHD
2023-05-19,18100,18100,18100,18100,200,DHD
2023-05-22,20800,20800,20800,20800,200,DHD
2023-05-24,21000,21000,21000,21000,100,DHD
2023-05-26,21100,21100,21000,21000,1000,DHD
2023-06-05,21000,21000,21000,21000,4200,DHD
2023-06-07,21000,21000,21000,21000,100,DHD
2023-06-08,21200,21200,21100,21100,700,DHD
2023-06-12,21100,21100,21100,21100,500,DHD
2023-06-14,22000,22000,21100,21100,1100,DHD
2023-06-16,21100,21100,21100,21100,1000,DHD
2023-06-19,21100,21100,21100,21100,300,DHD
2023-06-23,22000,22000,22000,22000,500,DHD
2023-06-29,23500,23500,23500,23500,200,DHD
2023-07-05,22000,22000,22000,22000,5600,DHD
2023-07-06,22000,22000,22000,22000,2500,DHD
2023-07-07,22000,22000,22000,22000,200,DHD
2023-07-11,22000,22000,22000,22000,3700,DHD
2023-07-13,22000,22000,22000,22000,5500,DHD
2023-07-18,22000,22000,22000,22000,11400,DHD
2023-07-25,22000,22000,22000,22000,1000,DHD
2023-07-27,22000,22000,22000,22000,900,DHD
2023-08-03,22000,22000,22000,22000,2900,DHD
2023-08-07,19200,19200,19200,19200,100,DHD
2023-08-08,22000,22000,22000,22000,1500,DHD
2023-08-09,20000,20000,20000,20000,100,DHD
2023-08-10,22000,22000,20100,22000,2800,DHD
2023-08-11,21900,22000,21900,21900,1200,DHD
2023-08-14,22000,22000,22000,22000,1200,DHD
2023-08-15,22000,22000,22000,22000,1700,DHD
2023-08-16,22000,22000,22000,22000,400,DHD
2023-08-18,20100,20100,20100,20100,500,DHD
2023-08-23,22000,22000,22000,22000,500,DHD
2023-08-25,22000,22000,22000,22000,1000,DHD
2023-08-29,20200,22000,20200,20200,900,DHD
2023-08-30,22000,22000,22000,22000,100,DHD
2023-08-31,22000,22000,22000,22000,1800,DHD
2023-09-06,22000,22000,22000,22000,1000,DHD
2023-09-08,22000,22000,22000,22000,1000,DHD
2023-09-11,22000,22000,22000,22000,500,DHD
2023-09-13,22000,22000,22000,22000,5000,DHD
2023-09-19,23500,23500,23500,23500,100,DHD
2023-09-27,23500,23500,23000,23000,1100,DHD
2023-10-05,22500,22500,22500,22500,3000,DHD
2023-10-10,22500,22500,22500,22500,10200,DHD
