time,open,high,low,close,volume,ticker
2023-01-03,14400,15300,14400,15300,6305000,DIG
2023-01-04,15700,16149,15600,15700,11586000,DIG
2023-01-05,15750,16100,15250,15850,8350100,DIG
2023-01-06,15800,16149,15100,15100,9497200,DIG
2023-01-09,15400,15500,14800,14800,6428600,DIG
2023-01-10,14900,15300,14450,15100,5990500,DIG
2023-01-11,15300,16000,15250,15500,7319300,DIG
2023-01-12,15700,15700,15200,15200,4787500,DIG
2023-01-13,15350,15600,15150,15250,5968300,DIG
2023-01-16,15250,15300,14900,14900,5251200,DIG
2023-01-17,14900,15500,14900,15500,7543300,DIG
2023-01-18,15800,16550,15600,16550,13970400,DIG
2023-01-19,16600,16900,16300,16500,9266900,DIG
2023-01-27,16800,16950,16149,16149,9192900,DIG
2023-01-30,16100,17250,15900,17000,17889700,DIG
2023-01-31,17100,17500,16850,17500,13722400,DIG
2023-02-01,17750,17900,16300,16300,19788500,DIG
2023-02-02,16350,16500,15300,15600,13078700,DIG
2023-02-03,15900,16050,15300,15650,9380200,DIG
2023-02-06,15500,16000,15250,15900,5357700,DIG
2023-02-07,15850,16000,15000,15000,9213900,DIG
2023-02-08,15100,15300,14300,14950,8538700,DIG
2023-02-09,14950,15300,14800,14800,4938500,DIG
2023-02-10,14850,14850,14100,14200,7574400,DIG
2023-02-13,14000,14000,13250,13250,15149100,DIG
2023-02-14,13250,13500,13100,13250,4773100,DIG
2023-02-15,13250,14150,13200,14000,6964400,DIG
2023-02-16,14250,14350,13900,14200,4815300,DIG
2023-02-17,14300,14850,14200,14200,7747100,DIG
2023-02-20,14400,15150,14400,15150,12463900,DIG
2023-02-21,15500,15800,15300,15300,10776500,DIG
2023-02-22,14950,15200,14300,14300,11554000,DIG
2023-02-23,14300,14500,13400,14250,10161100,DIG
2023-02-24,14300,14450,13750,13800,4404800,DIG
2023-02-27,13750,13750,13200,13200,6986400,DIG
2023-02-28,13400,13650,13300,13500,4492300,DIG
2023-03-01,12600,13000,12600,12600,34561000,DIG
2023-03-02,12600,13100,12500,12600,6189000,DIG
2023-03-03,12400,12700,11750,11750,22838300,DIG
2023-03-06,12200,12550,12100,12550,12765400,DIG
2023-03-07,12650,12650,11850,11950,10806300,DIG
2023-03-08,11700,12400,11700,12200,8567400,DIG
2023-03-09,12400,12500,12050,12100,6709300,DIG
2023-03-10,11900,12050,11750,11800,9150400,DIG
2023-03-13,11500,11950,11500,11600,6801800,DIG
2023-03-14,11600,11700,10850,11000,11710100,DIG
2023-03-15,11500,11750,11300,11750,9494000,DIG
2023-03-16,11700,12200,11500,12000,12886200,DIG
2023-03-17,12350,12600,12100,12450,17506700,DIG
2023-03-20,12300,12500,11700,11700,10261400,DIG
2023-03-21,11900,12150,11600,12050,11349400,DIG
2023-03-22,12400,12600,12200,12200,10460800,DIG
2023-03-23,12100,12400,12050,12350,8955700,DIG
2023-03-24,12600,13000,12400,12800,18495500,DIG
2023-03-27,12900,13300,12800,13250,16542800,DIG
2023-03-28,13500,13550,12900,12900,14259900,DIG
2023-03-29,13000,13200,12750,13100,8042900,DIG
2023-03-30,13500,13500,12950,12950,10623500,DIG
2023-03-31,12950,13600,12800,13400,13796000,DIG
2023-04-03,14100,14400,13950,14400,20364100,DIG
2023-04-04,14600,15150,14600,14900,16534900,DIG
2023-04-05,14750,15400,14650,15350,18105800,DIG
2023-04-06,15800,16550,15600,16500,29345300,DIG
2023-04-07,16200,17000,15950,17000,27647400,DIG
2023-04-10,17600,17800,17050,17350,25900200,DIG
2023-04-11,17050,17500,16200,17250,39693100,DIG
2023-04-12,17550,17850,16850,17450,19738700,DIG
2023-04-13,17500,17950,17050,17400,23382100,DIG
2023-04-14,17500,17600,16200,16200,39681600,DIG
2023-04-17,16200,16350,15800,16100,13660500,DIG
2023-04-18,16300,17400,15900,17400,33217500,DIG
2023-04-19,17750,17950,17100,17200,23473600,DIG
2023-04-20,17200,17450,16650,17200,13865900,DIG
2023-04-21,17200,17750,16950,17250,18295000,DIG
2023-04-24,17200,17350,16450,17050,15553600,DIG
2023-04-25,17150,17400,16200,16250,21785300,DIG
2023-04-26,16350,16900,16250,16850,11570800,DIG
2023-04-27,16950,17900,16900,17500,32165900,DIG
2023-04-28,17700,18700,17500,18650,32818300,DIG
