time,open,high,low,close,volume,ticker
2023-01-09,8830,9300,8830,9300,1900,DNE
2023-01-10,7690,9020,7690,9020,1900,DNE
2023-01-11,9210,9210,9210,9210,100,DNE
2023-01-12,10060,10060,10060,10060,100,DNE
2023-01-13,10160,10160,10160,10160,100,DNE
2023-01-16,8640,8640,8640,8640,900,DNE
2023-01-30,9300,9300,9300,9300,200,DNE
2023-01-31,8540,8540,8540,8540,200,DNE
2023-02-01,8540,8640,8350,8640,1800,DNE
2023-02-06,8830,8830,8830,8830,400,DNE
2023-02-17,9110,9110,9110,9110,400,DNE
2023-02-20,9300,9300,8640,8640,900,DNE
2023-02-21,8640,8640,8640,8640,900,DNE
2023-02-24,9020,9020,9020,9020,200,DNE
2023-02-28,8260,8260,8260,8260,200,DNE
2023-03-01,7970,7970,7590,7590,2800,DNE
2023-03-02,8920,8920,8920,8920,400,DNE
2023-03-06,8920,8920,8920,8920,500,DNE
2023-03-07,7780,7780,7780,7780,700,DNE
2023-03-08,8540,8540,8540,8540,600,DNE
2023-03-09,8540,8540,7880,8540,1200,DNE
2023-03-13,8920,8920,8920,8920,100,DNE
2023-03-14,7780,7780,7780,7780,100,DNE
2023-03-16,8830,8920,8830,8920,900,DNE
2023-03-20,9210,9210,9210,9210,100,DNE
2023-03-21,9400,9400,9400,9400,100,DNE
2023-03-22,8160,8160,8160,8160,300,DNE
2023-03-23,9210,9210,9210,9210,1100,DNE
2023-03-24,8350,8350,8350,8350,100,DNE
2023-03-27,8350,8350,8350,8350,200,DNE
2023-03-30,9110,9110,9110,9110,200,DNE
2023-03-31,8350,8350,8350,8350,100,DNE
2023-04-04,8920,8920,8920,8920,200,DNE
2023-04-05,8920,8920,8920,8920,300,DNE
2023-04-06,9020,9020,9020,9020,100,DNE
2023-04-07,9020,9020,9020,9020,100,DNE
2023-04-07,9020,9020,9020,9020,100,DNE
2023-04-11,7780,7780,7780,7780,900,DNE
2023-04-13,9020,9020,9020,9020,100,DNE
2023-04-14,8920,8920,8920,8920,400,DNE
2023-04-17,8540,8540,8540,8540,1100,DNE
2023-05-08,8920,8920,8920,8920,1000,DNE
2023-05-10,8350,8350,8350,8350,900,DNE
2023-05-11,8450,8450,8450,8450,700,DNE
2023-05-15,8540,8540,8540,8540,100,DNE
2023-05-16,8730,8730,8730,8730,1100,DNE
2023-05-17,7780,7780,7780,7780,1300,DNE
2023-05-22,8160,8160,8160,8160,100,DNE
2023-05-23,8260,8260,8260,8260,500,DNE
2023-05-25,8260,8350,8260,8350,2100,DNE
2023-05-31,8260,8260,8260,8260,1600,DNE
2023-06-08,8260,8260,8260,8260,5200,DNE
2023-06-15,8260,8260,8260,8260,2100,DNE
2023-06-19,8260,8260,8260,8260,900,DNE
2023-06-22,8730,8730,8540,8540,1100,DNE
2023-06-23,8640,8730,8640,8640,1300,DNE
2023-06-27,8730,8730,8730,8730,100,DNE
2023-06-29,8350,8350,8350,8350,3100,DNE
2023-07-03,8350,8350,8350,8350,300,DNE
2023-07-06,8350,8350,8350,8350,1800,DNE
2023-07-11,8540,8540,8540,8540,500,DNE
2023-07-13,8540,8540,8540,8540,600,DNE
2023-07-14,8540,8540,8540,8540,200,DNE
2023-07-17,8640,8640,8350,8350,3500,DNE
2023-07-18,8450,8450,8350,8350,400,DNE
2023-07-19,8540,8540,8540,8540,1100,DNE
2023-07-24,8540,8540,8540,8540,500,DNE
2023-07-26,8540,8540,8540,8540,400,DNE
2023-07-28,8540,9020,8540,9020,5700,DNE
2023-07-31,8830,8830,8830,8830,2100,DNE
2023-08-01,9020,9020,9020,9020,200,DNE
2023-08-02,9020,9020,9020,9020,900,DNE
2023-08-03,8830,8830,8830,8830,5000,DNE
2023-08-04,8920,9020,8920,9020,600,DNE
2023-08-07,9210,9210,9210,9210,300,DNE
2023-08-08,9210,9300,9210,9300,2400,DNE
2023-08-10,9400,9400,9300,9300,500,DNE
2023-08-14,9000,9400,9000,9400,300,DNE
2023-08-15,9100,9100,9000,9000,2300,DNE
2023-08-16,9300,9300,9300,9300,100,DNE
2023-08-18,9100,9100,9100,9100,500,DNE
2023-08-21,8900,8900,8900,8900,100,DNE
2023-08-22,9100,9100,9100,9100,2900,DNE
2023-08-29,9400,10400,9400,10400,19600,DNE
2023-08-30,10200,10200,10200,10200,300,DNE
2023-08-31,10200,10200,10200,10200,1000,DNE
2023-09-05,10900,10900,10200,10200,500,DNE
2023-09-07,9200,10300,9200,9200,400,DNE
2023-09-08,9800,9800,9800,9800,300,DNE
2023-09-12,10200,10200,10200,10200,100,DNE
2023-09-13,10200,10400,10200,10200,2000,DNE
2023-09-14,10400,10400,10400,10400,1500,DNE
2023-09-15,10600,10600,9300,9300,3500,DNE
2023-09-18,9200,9200,9200,9200,600,DNE
2023-09-19,9700,9700,9700,9700,100,DNE
2023-09-21,9700,10000,9700,10000,1500,DNE
2023-09-25,9500,9500,9500,9500,900,DNE
2023-09-27,8800,8800,8800,8800,900,DNE
2023-09-28,8800,8800,8800,8800,100,DNE
2023-09-29,8800,8800,8800,8800,100,DNE
2023-10-04,8800,8800,8800,8800,700,DNE
2023-10-06,9600,9600,8800,8800,1200,DNE
2023-10-09,8600,8600,8600,8600,900,DNE
2023-10-10,9600,9600,9600,9600,500,DNE
2023-10-11,9600,9600,9600,9600,1000,DNE
2023-10-12,9000,9100,9000,9100,500,DNE
2023-10-13,9300,9600,9000,9000,1200,DNE
