time,open,high,low,close,volume,ticker
2023-01-03,38580,38580,36750,36750,400,DNH
2023-01-05,37660,37660,37200,37200,600,DNH
2023-01-11,37200,37200,37200,37200,500,DNH
2023-01-12,41330,41330,41330,41330,100,DNH
2023-01-17,41330,41330,41330,41330,100,DNH
2023-01-18,36280,45930,36280,36380,400,DNH
2023-01-19,40420,45930,40420,45930,300,DNH
2023-01-27,47770,47770,47770,47770,100,DNH
2023-01-30,47770,47770,47770,47770,100,DNH
2023-02-03,44080,44080,44080,44080,400,DNH
2023-02-09,42220,42220,42220,42220,300,DNH
2023-02-10,35930,35930,35930,35930,100,DNH
2023-02-14,40460,40460,40460,40460,100,DNH
2023-02-20,40460,40460,40460,40460,100,DNH
2023-02-21,34390,34670,34390,34670,2100,DNH
2023-02-23,37760,37760,37760,37760,100,DNH
2023-02-24,32360,34770,32360,34770,200,DNH
2023-02-28,33620,37370,33620,37370,200,DNH
2023-03-01,32360,37570,32360,37570,1900,DNH
2023-03-02,37470,37470,37470,37470,100,DNH
2023-03-03,32360,40940,32360,40940,500,DNH
2023-03-06,33230,38720,33230,38720,200,DNH
2023-03-07,31600,38340,31600,38340,300,DNH
2023-03-08,36600,38240,36600,38240,200,DNH
2023-03-09,32750,37470,32750,37470,1600,DNH
2023-03-14,36700,36700,36700,36700,100,DNH
2023-03-15,36600,40460,36600,40460,200,DNH
2023-03-16,43150,43150,43150,43150,100,DNH
2023-03-17,42390,42390,36700,41420,3200,DNH
2023-03-20,41810,41810,41810,41810,600,DNH
2023-03-21,42000,42000,42000,42000,100,DNH
2023-03-22,35730,35730,35730,35730,100,DNH
2023-03-23,33810,33810,33810,33810,100,DNH
2023-03-24,33810,33810,33810,33810,100,DNH
2023-03-28,38440,38440,38440,38440,100,DNH
2023-03-29,34190,34190,34190,34190,100,DNH
2023-03-31,38920,38920,38920,38920,100,DNH
2023-04-03,33520,33520,33520,33520,100,DNH
2023-04-04,37370,37370,37370,37370,300,DNH
2023-04-05,34770,34770,34770,34770,100,DNH
2023-04-07,38530,39500,38530,39500,900,DNH
2023-04-10,34390,34390,34390,34390,100,DNH
2023-04-12,34870,34870,34870,34870,1000,DNH
2023-04-17,38530,38530,38530,38530,100,DNH
2023-04-18,32940,32940,32940,32940,100,DNH
2023-04-19,37860,37860,37860,37860,200,DNH
2023-04-20,32840,32840,32840,32840,100,DNH
2023-04-21,37470,37470,37470,37470,100,DNH
2023-04-24,32840,32840,32840,32840,100,DNH
2023-05-09,35150,35150,35150,35150,300,DNH
2023-05-10,29960,29960,29960,29960,100,DNH
2023-05-11,34390,34390,34390,34390,100,DNH
2023-05-12,34390,34390,34390,34390,100,DNH
2023-05-23,33600,33600,33600,33600,200,DNH
2023-06-01,37340,37340,37340,37340,400,DNH
2023-06-06,37730,37730,37340,37340,2200,DNH
2023-06-08,37830,37830,37830,37830,400,DNH
2023-06-13,37340,37340,37340,37340,500,DNH
2023-06-15,37830,37830,37830,37830,200,DNH
2023-06-20,36350,36350,36350,36350,100,DNH
2023-06-22,36350,36350,36350,36350,100,DNH
2023-06-23,37830,37830,37830,37830,100,DNH
2023-06-26,37830,37830,37830,37830,1400,DNH
2023-06-28,37830,37830,37830,37830,300,DNH
2023-07-03,37830,39300,37830,39300,600,DNH
2023-07-04,39100,39100,39100,39100,1200,DNH
2023-07-05,39300,39300,39300,39300,300,DNH
2023-07-06,39300,39300,39300,39300,200,DNH
2023-07-10,39300,39300,39300,39300,100,DNH
2023-07-13,40280,40280,40280,40280,200,DNH
2023-07-14,39300,39300,39300,39300,500,DNH
2023-07-17,39300,39300,39300,39300,100,DNH
2023-07-19,40000,40000,40000,40000,100,DNH
2023-07-24,34500,34500,34500,34500,100,DNH
2023-07-26,39600,39600,39600,39600,400,DNH
2023-07-27,34900,34900,34900,34900,100,DNH
2023-07-28,40000,40000,40000,40000,800,DNH
2023-08-01,40000,40000,40000,40000,100,DNH
2023-08-02,40000,40000,40000,40000,100,DNH
2023-08-08,40000,40000,40000,40000,100,DNH
2023-08-21,40000,40000,40000,40000,100,DNH
2023-08-22,40000,40000,40000,40000,100,DNH
2023-08-24,40000,40000,40000,40000,100,DNH
2023-08-25,40500,40500,40500,40500,500,DNH
2023-08-28,40000,40000,40000,40000,500,DNH
2023-09-06,40400,40500,40400,40500,1000,DNH
2023-09-19,42900,42900,42900,42900,100,DNH
2023-09-20,43000,43000,43000,43000,900,DNH
2023-09-21,42500,42500,42500,42500,200,DNH
2023-09-25,44000,44000,44000,44000,200,DNH
2023-09-29,44000,44000,44000,44000,100,DNH
2023-10-03,41400,41400,40200,40200,200,DNH
2023-10-06,45000,45000,45000,45000,600,DNH
2023-10-10,44000,44000,44000,44000,100,DNH
2023-10-12,44000,44000,44000,44000,100,DNH
2023-10-13,44000,44000,44000,44000,100,DNH
