time,open,high,low,close,volume,ticker
2023-01-03,24000,24000,24000,24000,500,DNP
2023-01-04,23300,24000,23000,24000,4600,DNP
2023-01-05,23200,24000,23200,24000,1800,DNP
2023-01-06,23800,23800,23800,23800,1500,DNP
2023-01-09,23700,23700,23700,23700,2500,DNP
2023-01-10,23700,23700,23700,23700,600,DNP
2023-01-11,23200,23700,23200,23700,1300,DNP
2023-01-12,23200,23700,23200,23700,900,DNP
2023-01-13,23700,23700,23600,23600,400,DNP
2023-01-17,23600,23600,23400,23600,1800,DNP
2023-01-18,24000,24000,23200,23600,1500,DNP
2023-01-19,23200,23200,23200,23200,400,DNP
2023-01-27,23600,24000,23600,24000,400,DNP
2023-01-30,23800,23800,23800,23800,600,DNP
2023-02-01,23400,23400,23400,23400,200,DNP
2023-02-02,23900,23900,22800,23900,600,DNP
2023-02-03,22800,23900,22500,23900,800,DNP
2023-02-06,23700,23700,22800,23700,2100,DNP
2023-02-07,23700,23700,23700,23700,600,DNP
2023-02-09,23400,23700,23400,23700,800,DNP
2023-02-10,23200,23700,23000,23700,1700,DNP
2023-02-13,23000,23800,23000,23800,3400,DNP
2023-02-14,23200,23800,23000,23800,3100,DNP
2023-02-15,23000,23500,23000,23500,4000,DNP
2023-02-16,23000,23500,22800,23500,6100,DNP
2023-02-17,23500,23500,23500,23500,2000,DNP
2023-02-20,22800,23500,22500,23500,9500,DNP
2023-02-21,23700,23700,23700,23700,1300,DNP
2023-02-22,23200,23500,22800,23500,79200,DNP
2023-02-23,23400,23400,23000,23000,1700,DNP
2023-02-24,23000,23500,23000,23500,1200,DNP
2023-02-27,23300,23500,23300,23500,1700,DNP
2023-02-28,23400,23400,23300,23400,1400,DNP
2023-03-01,22800,23300,22800,23300,1100,DNP
2023-03-02,22800,24500,22800,24500,6200,DNP
2023-03-03,24300,24300,22800,23200,2800,DNP
2023-03-06,23000,23200,23000,23200,4500,DNP
2023-03-07,24500,24500,24500,24500,1600,DNP
2023-03-08,23300,24300,22800,24300,700,DNP
2023-03-09,23200,23200,23000,23000,1000,DNP
2023-03-10,23500,23500,23500,23500,200,DNP
2023-03-13,24000,24000,24000,24000,400,DNP
2023-03-15,24000,24000,24000,24000,100,DNP
2023-03-17,23500,23900,23500,23900,700,DNP
2023-03-20,23500,23500,23500,23500,100,DNP
2023-03-21,23500,23500,23500,23500,100,DNP
2023-03-22,23100,23100,23100,23100,2200,DNP
2023-03-23,23700,23700,23700,23700,200,DNP
2023-03-24,23100,23100,23100,23100,200,DNP
2023-03-27,22900,22900,22900,22900,400,DNP
2023-03-28,23500,23500,23500,23500,300,DNP
2023-03-29,23300,23300,23000,23000,200,DNP
2023-03-31,23100,23100,23100,23100,1200,DNP
2023-04-03,22800,22800,22800,22800,700,DNP
2023-04-05,23000,23000,23000,23000,100,DNP
2023-04-06,22700,22700,22700,22700,100,DNP
2023-04-10,23000,23000,23000,23000,1400,DNP
2023-04-11,22600,23000,22600,23000,400,DNP
2023-04-12,22900,23000,22800,23000,1900,DNP
2023-04-13,22900,22900,22900,22900,100,DNP
2023-04-14,21700,22900,21700,22900,200,DNP
2023-04-17,24000,24000,24000,24000,500,DNP
2023-04-18,23800,23800,23800,23800,100,DNP
2023-04-19,23800,23800,23800,23800,300,DNP
2023-04-25,23500,23500,23500,23500,200,DNP
2023-04-26,23400,23400,23400,23400,400,DNP
2023-04-27,23300,23300,23000,23000,200,DNP
2023-05-05,22800,22800,22800,22800,100,DNP
2023-05-08,23300,23300,23300,23300,100,DNP
2023-05-09,22500,22500,22500,22500,100,DNP
2023-05-10,23000,23200,23000,23200,600,DNP
2023-05-11,23200,23200,23200,23200,200,DNP
2023-05-15,22900,23300,22900,23300,200,DNP
2023-05-17,23300,23300,23300,23300,300,DNP
2023-05-18,23700,23700,23700,23700,100,DNP
2023-05-19,24100,24100,24100,24100,100,DNP
2023-05-22,22900,22900,22900,22900,100,DNP
2023-05-23,22400,22700,22000,22000,1900,DNP
2023-05-24,23600,23600,23600,23600,200,DNP
2023-05-25,22600,23200,22600,23200,900,DNP
2023-05-26,23200,23200,23200,23200,1400,DNP
2023-05-29,23200,23200,23200,23200,400,DNP
2023-05-30,22900,23200,22900,23200,1400,DNP
2023-05-31,23200,23200,23200,23200,200,DNP
2023-06-01,23200,23200,23200,23200,500,DNP
2023-06-05,22800,23500,22800,23500,500,DNP
2023-06-06,23300,23300,23300,23300,200,DNP
2023-06-07,23300,23300,23300,23300,800,DNP
2023-06-09,22900,23200,22900,23200,600,DNP
2023-06-12,22900,23200,22900,23200,600,DNP
2023-06-13,22900,23100,22800,23100,1900,DNP
2023-06-14,23000,23200,23000,23200,700,DNP
2023-06-15,23200,23200,23200,23200,1000,DNP
2023-06-16,22800,23000,22800,23000,600,DNP
2023-06-19,23200,23200,22800,23000,500,DNP
2023-06-20,23400,25000,23400,25000,16600,DNP
2023-06-21,24800,26400,24800,26400,6100,DNP
2023-06-23,26900,26900,26600,26600,200,DNP
2023-06-26,26800,29000,26800,27500,7200,DNP
2023-06-27,24800,28000,24800,28000,1200,DNP
2023-06-28,29700,29700,29700,29700,10800,DNP
2023-06-29,28200,31500,28200,31500,67900,DNP
2023-06-30,30000,30000,29000,29000,11600,DNP
2023-07-03,29900,29900,26200,26200,3000,DNP
2023-07-04,26200,26200,26200,26200,200,DNP
2023-07-05,24700,24900,24700,24900,800,DNP
2023-07-06,25000,25000,25000,25000,100,DNP
2023-07-07,25000,25000,25000,25000,500,DNP
2023-07-10,26900,26900,26000,26000,1200,DNP
2023-07-11,27200,27200,27200,27200,100,DNP
2023-07-12,28400,28400,28400,28400,100,DNP
2023-07-13,26300,26600,26300,26600,600,DNP
2023-07-14,27400,27400,27400,27400,400,DNP
2023-07-17,27200,27200,27200,27200,1500,DNP
2023-07-18,25800,26400,25800,26400,800,DNP
2023-07-19,27400,27400,24500,24500,6400,DNP
2023-07-20,24200,24300,24200,24300,600,DNP
2023-07-21,24200,25000,24200,25000,2200,DNP
2023-07-24,24800,24800,23300,23300,1000,DNP
2023-07-25,23300,24900,23300,24900,8000,DNP
2023-07-26,24900,24900,24900,24900,700,DNP
2023-07-27,25900,25900,23700,24600,6500,DNP
2023-07-28,24600,24600,23600,24500,5700,DNP
2023-07-31,25400,25400,23600,23600,3800,DNP
2023-08-01,23100,23600,23100,23100,3500,DNP
2023-08-02,24100,24600,23500,23500,7100,DNP
2023-08-03,23500,23500,23200,23300,12500,DNP
2023-08-04,24000,24500,23300,23400,10600,DNP
2023-08-07,24000,24000,23500,23500,4300,DNP
2023-08-08,23600,23900,23600,23700,7000,DNP
2023-08-09,23500,23800,23300,23800,2100,DNP
2023-08-10,23400,23500,23400,23500,500,DNP
2023-08-11,23500,23500,23500,23500,1000,DNP
2023-08-15,23100,23100,23100,23100,3000,DNP
2023-08-16,23200,25100,23200,25100,4800,DNP
2023-08-17,24800,25000,24000,25000,6700,DNP
2023-08-18,23600,23600,23100,23100,4700,DNP
2023-08-21,23100,25000,23100,25000,8200,DNP
2023-08-22,23700,24200,23600,24200,7700,DNP
2023-08-23,24000,25000,24000,25000,8200,DNP
2023-08-24,24000,25000,24000,25000,1300,DNP
2023-08-25,24200,24200,24100,24100,4700,DNP
2023-08-28,23600,24700,23600,24700,400,DNP
2023-08-29,23900,23900,23900,23900,300,DNP
2023-08-30,24000,24000,23600,23800,1400,DNP
2023-08-31,23800,23800,23800,23800,2200,DNP
2023-09-05,23900,23900,23800,23800,600,DNP
2023-09-06,23500,24000,21500,22800,13600,DNP
2023-09-07,23800,23800,21800,23800,1318200,DNP
2023-09-08,23800,23800,23000,23100,11900,DNP
2023-09-11,22800,22800,21800,22800,1321300,DNP
2023-09-12,22700,23800,22700,23800,15300,DNP
2023-09-13,23800,23800,22600,23500,14200,DNP
2023-09-14,22600,23400,21600,23400,10100,DNP
2023-09-15,22300,22400,22300,22400,200,DNP
2023-09-18,22500,23500,21800,23400,834000,DNP
2023-09-19,23000,23400,22800,23400,1500,DNP
2023-09-20,22200,23300,22200,23100,1000,DNP
2023-09-21,23100,23200,22500,23100,4100,DNP
2023-09-22,22500,22500,22100,22500,5300,DNP
2023-09-25,22100,22100,22000,22000,1600,DNP
2023-09-26,22000,22000,21400,21500,2089400,DNP
2023-09-27,21800,22000,21800,22000,1500,DNP
2023-09-28,21100,22000,21100,22000,1200,DNP
2023-09-29,22000,22000,22000,22000,200,DNP
2023-10-02,21900,21900,21400,21900,2600,DNP
2023-10-03,21800,22300,21800,21900,4600,DNP
2023-10-04,21100,22100,21100,21900,1900,DNP
2023-10-05,22000,22000,22000,22000,100,DNP
2023-10-06,21900,22000,21500,22000,2700,DNP
2023-10-09,21900,21900,21900,21900,600,DNP
2023-10-10,21900,21900,21800,21800,600,DNP
2023-10-12,21900,21900,21600,21600,900,DNP
2023-10-13,22100,22100,22100,22100,100,DNP
