time,open,high,low,close,volume,ticker
2023-01-03,25770,26340,25770,26340,4200,DNW
2023-01-09,25770,25770,25770,25770,900,DNW
2023-01-10,25390,25390,25390,25390,1000,DNW
2023-01-11,25290,27110,25290,25960,1800,DNW
2023-01-16,25290,25390,25290,25290,3000,DNW
2023-01-17,25290,25290,25290,25290,100,DNW
2023-01-18,25290,25290,25290,25290,100,DNW
2023-01-19,25480,25480,25480,25480,400,DNW
2023-01-30,25770,25770,25390,25390,1700,DNW
2023-02-02,25770,25770,25770,25770,400,DNW
2023-02-06,25770,25770,25770,25770,100,DNW
2023-02-07,25770,25770,25770,25770,200,DNW
2023-02-13,25290,25290,25290,25290,500,DNW
2023-02-14,25290,25290,25100,25100,2900,DNW
2023-02-15,25100,25100,24820,24910,8800,DNW
2023-02-16,23000,25670,23000,25670,200,DNW
2023-02-17,21670,24820,21670,24820,8200,DNW
2023-02-20,25010,25100,23100,25100,8400,DNW
2023-02-21,23770,25770,23770,25480,5800,DNW
2023-02-22,24340,25200,24340,25010,8200,DNW
2023-02-23,25010,25010,22140,25010,9500,DNW
2023-02-24,24620,24620,24620,24620,200,DNW
2023-02-27,23000,25480,23000,23860,1300,DNW
2023-02-28,23000,23860,23000,23860,3500,DNW
2023-03-01,25290,25290,25290,25290,4400,DNW
2023-03-02,25200,25290,25200,25200,3600,DNW
2023-03-03,23860,25200,23860,25200,8100,DNW
2023-03-06,27680,27680,25200,25200,9700,DNW
2023-03-07,25670,25670,25670,25670,1500,DNW
2023-03-08,26630,26630,25290,25290,19500,DNW
2023-03-09,26630,26630,25770,25770,10200,DNW
2023-03-10,27110,27110,26060,26060,11600,DNW
2023-03-13,26820,26820,25870,25870,5100,DNW
2023-03-14,26630,26630,25390,25390,8000,DNW
2023-03-15,26630,26630,25770,25770,700,DNW
2023-03-16,25670,25670,25670,25670,100,DNW
2023-03-17,25290,25670,25290,25670,3300,DNW
2023-03-20,24820,25290,23860,25290,9400,DNW
2023-03-21,25770,25770,25770,25770,6000,DNW
2023-03-22,25670,25670,25670,25670,1000,DNW
2023-03-23,24910,25770,24910,25770,2600,DNW
2023-03-27,25670,25670,25670,25670,100,DNW
2023-03-28,25100,25100,25100,25100,1100,DNW
2023-03-29,25870,25870,25770,25770,5100,DNW
2023-03-30,25770,25770,25770,25770,100,DNW
