time,open,high,low,close,volume,ticker
2023-01-04,9020,9020,9020,9020,200,DOC
2023-01-18,9020,9020,9020,9020,300,DOC
2023-04-05,5590,5590,5590,5590,400,DOC
2023-04-06,6760,6760,6760,6760,100,DOC
2023-04-07,7760,7760,7760,7760,200,DOC
2023-04-07,7760,7760,7760,7760,200,DOC
2023-04-12,6850,6850,6850,6850,200,DOC
2023-04-13,6130,6130,6130,6130,100,DOC
2023-04-14,7030,7030,7030,7030,200,DOC
2023-04-17,8029,8029,8029,8029,100,DOC
2023-04-18,9020,9200,9020,9200,200,DOC
2023-05-12,7850,7850,7850,7850,400,DOC
2023-05-15,6760,6760,6760,6760,300,DOC
2023-06-09,6130,6130,6130,6130,1600,DOC
2023-06-12,7210,7210,7210,7210,100,DOC
2023-06-13,8300,8300,8300,8300,1300,DOC
2023-06-15,9470,9470,9470,9470,100,DOC
2023-06-16,10730,10730,10730,10730,100,DOC
2023-06-19,9200,9200,9200,9200,2100,DOC
2023-06-21,10370,10370,8390,8390,1600,DOC
2023-06-22,9110,9110,9110,9110,100,DOC
2023-06-30,9020,9110,9020,9110,300,DOC
2023-07-03,10370,10370,8210,8210,2200,DOC
2023-07-05,9560,9560,9560,9560,100,DOC
2023-07-07,9830,9830,9830,9830,100,DOC
2023-07-25,8480,8480,8390,8480,1700,DOC
2023-07-26,8119,8480,8119,8480,300,DOC
2023-07-27,8930,8930,8930,8930,100,DOC
2023-08-01,10010,10010,10010,10010,100,DOC
2023-08-02,8570,8570,8570,8570,200,DOC
2023-08-07,8480,8480,8480,8480,100,DOC
2023-08-08,9650,9650,9020,9020,400,DOC
2023-08-11,10460,10460,8930,8930,200,DOC
2023-08-14,10370,10370,10370,10370,100,DOC
2023-09-07,8840,9380,8840,9380,7700,DOC
2023-09-08,9470,10100,9470,10100,7800,DOC
2023-09-11,9920,10820,9920,10820,1800,DOC
2023-09-12,10460,10730,9920,10730,10300,DOC
2023-09-13,10370,10370,10190,10190,1500,DOC
2023-09-14,9920,10370,9020,10010,9700,DOC
2023-09-15,9200,10370,9200,9470,5200,DOC
2023-09-18,9920,9920,9740,9740,3000,DOC
2023-09-19,9740,9740,9740,9740,1800,DOC
2023-09-20,9740,10820,9560,10820,2300,DOC
2023-09-21,10640,10640,9560,9650,4100,DOC
2023-09-22,9200,9470,9020,9200,1800,DOC
2023-09-25,9900,9900,9700,9700,22500,DOC
2023-09-26,8700,8700,8700,8700,3900,DOC
2023-09-27,9600,9600,8600,8700,4500,DOC
2023-09-28,9200,9200,8700,8700,1200,DOC
2023-09-29,9100,9100,8700,8700,3100,DOC
2023-10-02,8700,8700,8700,8700,200,DOC
2023-10-03,8600,8600,8500,8500,1700,DOC
2023-10-04,9100,9100,9100,9100,200,DOC
2023-10-05,8000,8900,8000,8500,400,DOC
2023-10-06,8100,8500,8000,8500,2100,DOC
2023-10-09,7800,7800,7800,7800,100,DOC
2023-10-10,7800,8000,6800,7400,19500,DOC
2023-10-11,7300,7800,7200,7800,2400,DOC
2023-10-12,7700,8100,7700,7800,1000,DOC
2023-10-13,7900,7900,7800,7900,1400,DOC
